rep,id,eta_U,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,0,0,0,-3.63229,0,0,False,69.0|162,84
1,8|84|cc|2|1|162,0,0,0,-1.64321,0,0,False,69.0|162,84
1,8|84|cc|3|1|162,0,0,0,0.766897,0,0,False,69.0|162,84
1,8|84|cc|4|1|162,0,0,0,-0.894117,0,0,False,69.0|162,84
1,8|84|cc|5|1|162,0,0,0,-0.506114,0,0,False,69.0|162,84
1,8|84|cc|6|1|162,0,0,0,1.41431,0,0,False,69.0|162,84
1,8|84|cc|7|1|162,0,0,0,-1.70593,0,0,False,69.0|162,84
1,8|84|cc|8|1|162,0,0,0,0.382746,0,0,False,69.0|162,84
1,8|84|sample|10|162,0,0,0,-1.09961,0,0,True,32.0|162,84
1,8|84|sample|11|162,0,0,0,-1.31763,0,0,True,22.0|162,84
1,8|84|sample|12|162,0,0,0,-0.934784,0,0,True,22.0|162,84
1,8|84|sample|3|162,0,0,0,-2.74821,0,0,True,55.0|162,84
1,8|84|sample|4|162,0,0,0,-2.18749,0,0,True,55.0|162,84
1,8|84|sample|5|162,0,0,0,-3.79786,0,0,True,55.0|162,84
1,8|84|sample|6|162,0,0,0,-3.14881,0,0,True,55.0|162,84
1,8|84|sample|7|162,0,0,0,-1.24422,0,0,True,32.0|162,84
1,8|84|sample|8|162,0,0,0,-0.804701,0,0,True,32.0|162,84
1,8|84|sample|9|162,0,0,0,-1.00297,0,0,True,32.0|162,84
1,8|84|vc|1|2|162,0,0,0,-2.6747,0,0,False,69.0|162,84
1,8|84|vc|2|2|162,0,0,0,1.61105,0,0,False,69.0|162,84
1,8|84|vc|3|2|162,0,0,0,-0.678544,0,0,False,69.0|162,84
1,8|84|vc|4|2|162,0,0,0,0.136482,0,0,False,69.0|162,84
1,8|84|vc|5|2|162,0,0,0,-1.31548,0,0,False,69.0|162,84
1,8|84|vc|6|2|162,0,0,0,1.21234,0,0,False,69.0|162,84
1,8|84|vc|7|2|162,0,0,0,-2.25153,0,0,False,69.0|162,84
1,8|84|vc|8|2|162,0,0,0,2.23606,0,0,False,69.0|162,84
1,8|719|cc|1|1|274,0,0,0,-3.68078,0,0,False,69.0|274,719
1,8|719|cc|2|1|274,0,0,0,-2.23324,0,0,False,69.0|274,719
1,8|719|cc|3|1|274,0,0,0,1.57665,0,0,False,69.0|274,719
1,8|719|cc|4|1|274,0,0,0,2.05959,0,0,False,69.0|274,719
1,8|719|cc|5|1|274,0,0,0,-3.27869,0,0,False,69.0|274,719
1,8|719|cc|6|1|274,0,0,0,1.89686,0,0,False,69.0|274,719
1,8|719|cc|7|1|274,0,0,0,-1.58155,0,0,False,69.0|274,719
1,8|719|cc|8|1|274,0,0,0,-0.30207,0,0,False,69.0|274,719
1,8|719|sample|10|274,0,0,0,0.0262546,0,0,True,32.0|274,719
