parameter,value,CV
U_pop,1,
L_pop,0.00131241439181242,
beta_L_goes_down_True,-1.32064857863068e-06,
beta_L_mab_virus_55_0_65,6.34667480375072e-06,
beta_L_mab_virus_55_0_69,6.14292895559623e-07,
beta_L_mab_virus_55_0_319,-4.97560511831348e-07,
beta_L_mab_virus_55_0_162,4.24758674299152e-05,
beta_L_mab_virus_55_0_218,1.84542471095438,
beta_L_mab_virus_55_0_174,-1.93846649643545e-06,
beta_L_mab_virus_55_0_322,1.21921817224596e-06,
beta_L_mab_virus_55_0_292,3.27104320636579e-06,
beta_L_mab_virus_55_0_274,1.00805216243652e-06,
beta_L_mab_virus_55_0_103,9.55347592139592e-06,
beta_L_mab_virus_55_0_276,9.20888176190299e-06,
beta_L_mab_virus_32_0_65,2.94467680863165e-07,
beta_L_mab_virus_32_0_69,1.67552847758854e-05,
beta_L_mab_virus_32_0_319,-7.08564009320939e-06,
beta_L_mab_virus_32_0_162,1.91439870070836e-06,
beta_L_mab_virus_32_0_218,1.91042392044193,
beta_L_mab_virus_32_0_174,-7.32746426315366e-07,
beta_L_mab_virus_32_0_322,9.5972731665832e-06,
beta_L_mab_virus_32_0_292,-1.71267290246361e-06,
beta_L_mab_virus_32_0_274,-15.7194217892827,
beta_L_mab_virus_32_0_103,-3.2897967739847e-06,
beta_L_mab_virus_32_0_276,-2.37658181720589e-07,
beta_L_mab_virus_22_0_65,-8.90598006229323e-07,
beta_L_mab_virus_22_0_69,4.33714702396393e-06,
beta_L_mab_virus_22_0_319,-0.00188386719791256,
beta_L_mab_virus_22_0_162,9.36099384558269e-06,
beta_L_mab_virus_22_0_218,-4.27999419417843e-06,
beta_L_mab_virus_22_0_174,-4.74768129779571,
beta_L_mab_virus_22_0_322,1.71747978093487e-06,
beta_L_mab_virus_22_0_292,1.91439026703073e-07,
beta_L_mab_virus_22_0_274,1.69790918842401e-05,
beta_L_mab_virus_22_0_103,2.64596332450509e-05,
beta_L_mab_virus_22_0_276,5.00261685375653e-07,
beta_L_mab_virus_69_0_65,2.07823395554209e-06,
beta_L_mab_virus_69_0_69,4.1552963860233e-06,
beta_L_mab_virus_69_0_319,-8.48067688202841e-06,
beta_L_mab_virus_69_0_162,2.11161164650577e-06,
beta_L_mab_virus_69_0_218,-1.84566322796535e-06,
beta_L_mab_virus_69_0_174,4.87142816924159e-06,
beta_L_mab_virus_69_0_322,9.10579708417352e-07,
beta_L_mab_virus_69_0_292,8.59665623349403e-07,
