id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,0,0,0.121725,0,0,0,0,0,1.79122e-07,0,0,0,False,69.0|162,84
8|84|cc|2|1|162,0,0,0.158056,0,0,0,0,0,1.61276e-07,0,0,0,False,69.0|162,84
8|84|cc|3|1|162,0,0,0.115495,0,0,0,0,0,5.92347e-08,0,0,0,False,69.0|162,84
8|84|cc|4|1|162,0,0,-0.187174,0,0,0,0,0,3.27169e-08,0,0,0,False,69.0|162,84
8|84|cc|5|1|162,0,0,-0.0928717,0,0,0,0,0,-4.04925e-07,0,0,0,False,69.0|162,84
8|84|cc|6|1|162,0,0,-0.149941,0,0,0,0,0,2.97541e-09,0,0,0,False,69.0|162,84
8|84|cc|7|1|162,0,0,0.12503,0,0,0,0,0,-8.49468e-08,0,0,0,False,69.0|162,84
8|84|cc|8|1|162,0,0,0.0305707,0,0,0,0,0,-4.00904e-08,0,0,0,False,69.0|162,84
8|84|sample|10|162,0,0,-0.797957,0,0,0,0,0,-0.77242,0,0,0,True,32.0|162,84
8|84|sample|11|162,0,0,-1.02298,0,0,0,0,0,-0.961556,0,0,0,True,22.0|162,84
8|84|sample|12|162,0,0,-0.891838,0,0,0,0,0,-0.81732,0,0,0,True,22.0|162,84
8|84|sample|3|162,0,0,-1.76867,0,0,0,0,0,-1.69665,0,0,0,True,55.0|162,84
8|84|sample|4|162,0,0,-1.66519,0,0,0,0,0,-1.64542,0,0,0,True,55.0|162,84
8|84|sample|5|162,0,0,-1.6277,0,0,0,0,0,-1.56781,0,0,0,True,55.0|162,84
8|84|sample|6|162,0,0,-1.64819,0,0,0,0,0,-1.64133,0,0,0,True,55.0|162,84
8|84|sample|7|162,0,0,-0.984683,0,0,0,0,0,-0.93494,0,0,0,True,32.0|162,84
8|84|sample|8|162,0,0,-0.89216,0,0,0,0,0,-0.875678,0,0,0,True,32.0|162,84
8|84|sample|9|162,0,0,-0.799114,0,0,0,0,0,-0.764004,0,0,0,True,32.0|162,84
8|84|vc|1|2|162,0,0,-0.118925,0,0,0,0,0,-2.74029e-07,0,0,0,False,69.0|162,84
8|84|vc|2|2|162,0,0,-0.149987,0,0,0,0,0,3.80176e-07,0,0,0,False,69.0|162,84
8|84|vc|3|2|162,0,0,0.098852,0,0,0,0,0,-3.21109e-07,0,0,0,False,69.0|162,84
8|84|vc|4|2|162,0,0,0.00227193,0,0,0,0,0,-2.94075e-07,0,0,0,False,69.0|162,84
8|84|vc|5|2|162,0,0,0.0311173,0,0,0,0,0,1.85295e-07,0,0,0,False,69.0|162,84
8|84|vc|6|2|162,0,0,0.0362378,0,0,0,0,0,1.00445e-07,0,0,0,False,69.0|162,84
8|84|vc|7|2|162,0,0,0.10309,0,0,0,0,0,1.02326e-08,0,0,0,False,69.0|162,84
8|84|vc|8|2|162,0,0,0.0045275,0,0,0,0,0,-1.48561e-07,0,0,0,False,69.0|162,84
8|719|cc|1|1|274,0,0,-0.0970553,0,0,0,0,0,3.15558e-07,0,0,0,False,69.0|274,719
8|719|cc|2|1|274,0,0,0.0384551,0,0,0,0,0,1.9583e-07,0,0,0,False,69.0|274,719
8|719|cc|3|1|274,0,0,0.0348105,0,0,0,0,0,-3.37642e-07,0,0,0,False,69.0|274,719
8|719|cc|4|1|274,0,0,0.0236953,0,0,0,0,0,1.89568e-07,0,0,0,False,69.0|274,719
8|719|cc|5|1|274,0,0,-0.194473,0,0,0,0,0,-1.92922e-07,0,0,0,False,69.0|274,719
8|719|cc|6|1|274,0,0,-0.0324751,0,0,0,0,0,1.66093e-07,0,0,0,False,69.0|274,719
8|719|cc|7|1|274,0,0,0.0383769,0,0,0,0,0,1.29615e-07,0,0,0,False,69.0|274,719
8|719|cc|8|1|274,0,0,-0.0632752,0,0,0,0,0,3.43105e-07,0,0,0,False,69.0|274,719
8|719|sample|10|274,0,0,-0.291058,0,0,0,0,0,-0.293279,0,0,0,True,32.0|274,719
8|719|sample|11|274,0,0,-0.123269,0,0,0,0,0,-0.112278,0,0,0,True,22.0|274,719
8|719|sample|12|274,0,0,0.0289804,0,0,0,0,0,0.0446878,0,0,0,True,22.0|274,719
8|719|sample|3|274,0,0,-1.95361,0,0,0,0,0,-1.71307,0,0,0,True,55.0|274,719
8|719|sample|4|274,0,0,-1.87656,0,0,0,0,0,-1.73274,0,0,0,True,55.0|274,719
8|719|sample|5|274,0,0,-1.38858,0,0,0,0,0,-1.35815,0,0,0,True,55.0|274,719
8|719|sample|6|274,0,0,-1.42624,0,0,0,0,0,-1.33889,0,0,0,True,55.0|274,719
8|719|sample|7|274,0,0,-0.333425,0,0,0,0,0,-0.32211,0,0,0,True,32.0|274,719
8|719|sample|8|274,0,0,-0.364238,0,0,0,0,0,-0.31698,0,0,0,True,32.0|274,719
8|719|sample|9|274,0,0,-0.323861,0,0,0,0,0,-0.283845,0,0,0,True,32.0|274,719
8|719|vc|1|2|274,0,0,0.0820535,0,0,0,0,0,4.00022e-07,0,0,0,False,69.0|274,719
8|719|vc|2|2|274,0,0,0.10724,0,0,0,0,0,2.01561e-07,0,0,0,False,69.0|274,719
8|719|vc|3|2|274,0,0,-0.284852,0,0,0,0,0,1.30949e-07,0,0,0,False,69.0|274,719
8|719|vc|4|2|274,0,0,-0.119089,0,0,0,0,0,-2.30935e-07,0,0,0,False,69.0|274,719
8|719|vc|5|2|274,0,0,0.351876,0,0,0,0,0,-1.73387e-07,0,0,0,False,69.0|274,719
8|719|vc|6|2|274,0,0,0.0642846,0,0,0,0,0,-3.91733e-07,0,0,0,False,69.0|274,719
8|719|vc|7|2|274,0,0,0.0997755,0,0,0,0,0,3.84581e-07,0,0,0,False,69.0|274,719
