parameter,value,CV
L_goes_down_False_mab_virus_70.0|274,0.0015435414082469,
L_goes_down_False_mab_virus_55.0|65,0.0015435413170579,
L_goes_down_False_mab_virus_55.0|69,0.001543541113092,
L_goes_down_False_mab_virus_55.0|319,0.0015435572786579,
L_goes_down_False_mab_virus_55.0|162,0.0015435583502282,
L_goes_down_False_mab_virus_55.0|218,0.0015435466155811,
L_goes_down_False_mab_virus_55.0|174,0.0015436002255814,
L_goes_down_False_mab_virus_55.0|322,0.0015435417103424,
L_goes_down_False_mab_virus_55.0|292,0.0015437736698138,
L_goes_down_False_mab_virus_55.0|274,0.0015435462168016,
L_goes_down_False_mab_virus_55.0|103,0.001543541707875,
L_goes_down_False_mab_virus_55.0|276,0.0015435584155172,
L_goes_down_False_mab_virus_32.0|65,0.0015435414875895,
L_goes_down_False_mab_virus_32.0|69,0.0015435609549099,
L_goes_down_False_mab_virus_32.0|319,0.0015434320810162,
L_goes_down_False_mab_virus_32.0|162,0.0015435448248269,
L_goes_down_False_mab_virus_32.0|218,0.0015438172185169,
L_goes_down_False_mab_virus_32.0|174,0.0015435414059474,
L_goes_down_False_mab_virus_32.0|322,0.0015435423748883,
L_goes_down_False_mab_virus_32.0|292,0.001543544907275,
L_goes_down_False_mab_virus_32.0|274,0.0015435663057554,
L_goes_down_False_mab_virus_32.0|103,0.0015435528275194,
L_goes_down_False_mab_virus_32.0|276,0.0015434670986716,
L_goes_down_False_mab_virus_22.0|65,0.0015436615627443,
L_goes_down_False_mab_virus_22.0|69,0.0015434974744039,
L_goes_down_False_mab_virus_22.0|319,0.001543553720754,
L_goes_down_False_mab_virus_22.0|162,0.0015435420527161,
L_goes_down_False_mab_virus_22.0|218,0.0015435779897475,
L_goes_down_False_mab_virus_22.0|174,0.0015435415775159,
L_goes_down_False_mab_virus_22.0|322,0.0015435865401825,
L_goes_down_False_mab_virus_22.0|292,0.0015435414422453,
L_goes_down_False_mab_virus_22.0|274,0.0015435419811893,
L_goes_down_False_mab_virus_22.0|103,0.0015435443817175,
L_goes_down_False_mab_virus_22.0|276,0.0015434335303491,
L_goes_down_False_mab_virus_69.0|65,0.0015435430026688,
L_goes_down_False_mab_virus_69.0|69,0.0015435413752191,
L_goes_down_False_mab_virus_69.0|319,0.0015435335376014,
L_goes_down_False_mab_virus_69.0|162,0.001543541186643,
L_goes_down_False_mab_virus_69.0|218,0.0015435591374569,
L_goes_down_False_mab_virus_69.0|174,0.0015435431734794,
L_goes_down_False_mab_virus_69.0|322,0.0015435395850517,
L_goes_down_False_mab_virus_69.0|292,0.0015435414055587,
L_goes_down_False_mab_virus_69.0|274,0.001543541381858,
L_goes_down_False_mab_virus_69.0|103,0.0015435415525133,
L_goes_down_False_mab_virus_69.0|276,0.0015435438894587,
L_goes_down_True_mab_virus_70.0|274,0.0015435418707056,
L_goes_down_True_mab_virus_55.0|65,0.0015435417795166,
L_goes_down_True_mab_virus_55.0|69,0.0015435415755507,
L_goes_down_True_mab_virus_55.0|319,0.0015435577411214,
L_goes_down_True_mab_virus_55.0|162,0.001543558812692,
L_goes_down_True_mab_virus_55.0|218,0.0015435470780414,
L_goes_down_True_mab_virus_55.0|174,0.0015436006880578,
L_goes_down_True_mab_virus_55.0|322,0.0015435421728013,
L_goes_down_True_mab_virus_55.0|292,0.0015437741323421,
L_goes_down_True_mab_virus_55.0|274,0.0015435466792618,
L_goes_down_True_mab_virus_55.0|103,0.0015435421703339,
L_goes_down_True_mab_virus_55.0|276,0.001543558877981,
L_goes_down_True_mab_virus_32.0|65,0.0015435419500483,
L_goes_down_True_mab_virus_32.0|69,0.0015435614173745,
L_goes_down_True_mab_virus_32.0|319,0.0015434325434422,
L_goes_down_True_mab_virus_32.0|162,0.0015435452872867,
L_goes_down_True_mab_virus_32.0|218,0.0015438176810583,
L_goes_down_True_mab_virus_32.0|174,0.0015435418684061,
L_goes_down_True_mab_virus_32.0|322,0.0015435428373474,
L_goes_down_True_mab_virus_32.0|292,0.0015435453697348,
L_goes_down_True_mab_virus_32.0|274,0.0015435667682216,
L_goes_down_True_mab_virus_32.0|103,0.0015435532899816,
L_goes_down_True_mab_virus_32.0|276,0.0015434675611081,
L_goes_down_True_mab_virus_22.0|65,0.001543662025239,
L_goes_down_True_mab_virus_22.0|69,0.0015434979368495,
L_goes_down_True_mab_virus_22.0|319,0.0015435541832165,
