id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,0,0,-2.13209e-09,0,0,0,0,0,-1.62354e-11,0,0,0,False,69.0|162,84
8|84|cc|2|1|162,0,0,-1.78763e-09,0,0,0,0,0,-2.66553e-12,0,0,0,False,69.0|162,84
8|84|cc|3|1|162,0,0,2.46254e-10,0,0,0,0,0,-2.76693e-11,0,0,0,False,69.0|162,84
8|84|cc|4|1|162,0,0,-3.64896e-09,0,0,0,0,0,-2.56998e-11,0,0,0,False,69.0|162,84
8|84|cc|5|1|162,0,0,1.37136e-09,0,0,0,0,0,6.79891e-11,0,0,0,False,69.0|162,84
8|84|cc|6|1|162,0,0,-2.77357e-09,0,0,0,0,0,-3.26894e-11,0,0,0,False,69.0|162,84
8|84|cc|7|1|162,0,0,9.13044e-10,0,0,0,0,0,1.41013e-11,0,0,0,False,69.0|162,84
8|84|cc|8|1|162,0,0,-1.17886e-09,0,0,0,0,0,1.78513e-11,0,0,0,False,69.0|162,84
8|84|sample|10|162,0,0,2.83516e-09,0,0,0,0,0,-8.22575e-12,0,0,0,True,32.0|162,84
8|84|sample|11|162,0,0,-3.95204e-09,0,0,0,0,0,2.62029e-11,0,0,0,True,22.0|162,84
8|84|sample|12|162,0,0,1.41327e-09,0,0,0,0,0,2.24947e-11,0,0,0,True,22.0|162,84
8|84|sample|3|162,0,0,2.07515e-10,0,0,0,0,0,-4.07341e-12,0,0,0,True,55.0|162,84
8|84|sample|4|162,0,0,2.15242e-09,0,0,0,0,0,-1.59771e-10,0,0,0,True,55.0|162,84
8|84|sample|5|162,0,0,2.57745e-10,0,0,0,0,0,-3.46358e-11,0,0,0,True,55.0|162,84
8|84|sample|6|162,0,0,4.845e-09,0,0,0,0,0,2.82543e-11,0,0,0,True,55.0|162,84
8|84|sample|7|162,0,0,9.54374e-10,0,0,0,0,0,-3.36027e-11,0,0,0,True,32.0|162,84
8|84|sample|8|162,0,0,1.51403e-09,0,0,0,0,0,-2.36996e-11,0,0,0,True,32.0|162,84
8|84|sample|9|162,0,0,1.42988e-09,0,0,0,0,0,2.95865e-11,0,0,0,True,32.0|162,84
8|84|vc|1|2|162,0,0,3.30809e-09,0,0,0,0,0,-1.74006e-11,0,0,0,False,69.0|162,84
8|84|vc|2|2|162,0,0,2.13617e-09,0,0,0,0,0,2.39537e-11,0,0,0,False,69.0|162,84
8|84|vc|3|2|162,0,0,1.6074e-09,0,0,0,0,0,9.90763e-12,0,0,0,False,69.0|162,84
8|84|vc|4|2|162,0,0,1.86793e-10,0,0,0,0,0,-1.35981e-11,0,0,0,False,69.0|162,84
8|84|vc|5|2|162,0,0,-1.98156e-09,0,0,0,0,0,2.39978e-11,0,0,0,False,69.0|162,84
8|84|vc|6|2|162,0,0,-5.3108e-09,0,0,0,0,0,3.69305e-12,0,0,0,False,69.0|162,84
8|84|vc|7|2|162,0,0,2.99639e-09,0,0,0,0,0,-7.17398e-11,0,0,0,False,69.0|162,84
8|84|vc|8|2|162,0,0,-1.61443e-09,0,0,0,0,0,2.34746e-11,0,0,0,False,69.0|162,84
8|719|cc|1|1|274,0,0,-3.6987e-10,0,0,0,0,0,-1.56133e-11,0,0,0,False,69.0|274,719
8|719|cc|2|1|274,0,0,-3.57611e-09,0,0,0,0,0,2.23388e-11,0,0,0,False,69.0|274,719
8|719|cc|3|1|274,0,0,-2.79086e-09,0,0,0,0,0,-1.63365e-11,0,0,0,False,69.0|274,719
8|719|cc|4|1|274,0,0,1.80606e-09,0,0,0,0,0,-2.48113e-12,0,0,0,False,69.0|274,719
8|719|cc|5|1|274,0,0,3.39591e-09,0,0,0,0,0,4.25182e-11,0,0,0,False,69.0|274,719
8|719|cc|6|1|274,0,0,-1.95884e-09,0,0,0,0,0,4.32621e-11,0,0,0,False,69.0|274,719
8|719|cc|7|1|274,0,0,-3.81556e-10,0,0,0,0,0,2.41955e-11,0,0,0,False,69.0|274,719
8|719|cc|8|1|274,0,0,9.85881e-10,0,0,0,0,0,1.26343e-12,0,0,0,False,69.0|274,719
8|719|sample|10|274,0,0,-7.55369e-10,0,0,0,0,0,-2.57134e-11,0,0,0,True,32.0|274,719
8|719|sample|11|274,0,0,3.60561e-09,0,0,0,0,0,2.48673e-11,0,0,0,True,22.0|274,719
8|719|sample|12|274,0,0,-3.13311e-09,0,0,0,0,0,3.53967e-11,0,0,0,True,22.0|274,719
8|719|sample|3|274,0,0,1.55434e-09,0,0,0,0,0,-1.11488e-10,0,0,0,True,55.0|274,719
8|719|sample|4|274,0,0,-3.00542e-10,0,0,0,0,0,2.14488e-11,0,0,0,True,55.0|274,719
8|719|sample|5|274,0,0,-2.95979e-09,0,0,0,0,0,-2.52371e-11,0,0,0,True,55.0|274,719
8|719|sample|6|274,0,0,-1.07566e-09,0,0,0,0,0,-1.53353e-11,0,0,0,True,55.0|274,719
8|719|sample|7|274,0,0,2.18207e-09,0,0,0,0,0,-1.00229e-11,0,0,0,True,32.0|274,719
8|719|sample|8|274,0,0,-1.77473e-09,0,0,0,0,0,-5.27759e-11,0,0,0,True,32.0|274,719
8|719|sample|9|274,0,0,1.83013e-09,0,0,0,0,0,2.39223e-11,0,0,0,True,32.0|274,719
8|719|vc|1|2|274,0,0,2.23578e-09,0,0,0,0,0,1.52829e-11,0,0,0,False,69.0|274,719
8|719|vc|2|2|274,0,0,-1.00791e-09,0,0,0,0,0,1.57863e-11,0,0,0,False,69.0|274,719
8|719|vc|3|2|274,0,0,1.20776e-09,0,0,0,0,0,1.71581e-11,0,0,0,False,69.0|274,719
8|719|vc|4|2|274,0,0,-7.82544e-10,0,0,0,0,0,-1.63261e-11,0,0,0,False,69.0|274,719
8|719|vc|5|2|274,0,0,-4.92644e-10,0,0,0,0,0,1.60969e-11,0,0,0,False,69.0|274,719
8|719|vc|6|2|274,0,0,2.06704e-09,0,0,0,0,0,-5.04667e-11,0,0,0,False,69.0|274,719
8|719|vc|7|2|274,0,0,5.55014e-10,0,0,0,0,0,-1.76421e-11,0,0,0,False,69.0|274,719
8|719|vc|8|2|274,0,0,-2.50072e-09,0,0,0,0,0,1.63338e-11,0,0,0,False,69.0|274,719
8|488|cc|1|1|322,0,0,-9.68797e-10,0,0,0,0,0,1.78441e-11,0,0,0,False,69.0|322,488
8|488|cc|2|1|322,0,0,1.00449e-09,0,0,0,0,0,-6.02451e-12,0,0,0,False,69.0|322,488
8|488|cc|3|1|322,0,0,-4.03218e-09,0,0,0,0,0,-6.86505e-11,0,0,0,False,69.0|322,488
8|488|cc|4|1|322,0,0,2.31154e-09,0,0,0,0,0,-1.78466e-11,0,0,0,False,69.0|322,488
8|488|cc|5|1|322,0,0,8.01094e-10,0,0,0,0,0,1.66731e-11,0,0,0,False,69.0|322,488
8|488|cc|6|1|322,0,0,1.51216e-10,0,0,0,0,0,-3.02904e-11,0,0,0,False,69.0|322,488
8|488|cc|7|1|322,0,0,-6.38772e-09,0,0,0,0,0,-1.25256e-11,0,0,0,False,69.0|322,488
8|488|cc|8|1|322,0,0,2.62216e-09,0,0,0,0,0,2.8994e-11,0,0,0,False,69.0|322,488
8|488|sample|10|322,0,0,-9.29405e-10,0,0,0,0,0,3.73747e-11,0,0,0,True,32.0|322,488
8|488|sample|11|322,0,0,1.08631e-09,0,0,0,0,0,-5.42251e-11,0,0,0,True,22.0|322,488
8|488|sample|12|322,0,0,4.33514e-09,0,0,0,0,0,1.01046e-11,0,0,0,True,22.0|322,488
