id,importanceSampling
8|84|cc|1|1|162,-10.016353
8|84|cc|2|1|162,-10.076908
8|84|cc|3|1|162,-10.013762
8|84|cc|4|1|162,-9.944649
8|84|cc|5|1|162,-9.840051
8|84|cc|6|1|162,-9.854395
8|84|cc|7|1|162,-9.847612
8|84|cc|8|1|162,-10.128661
8|84|sample|10|162,-27.560635
8|84|sample|11|162,-23.593151
8|84|sample|12|162,-18.978276
8|84|sample|3|162,-11.088751
8|84|sample|4|162,-12.532377
8|84|sample|5|162,-19.335151
8|84|sample|6|162,-20.569466
8|84|sample|7|162,-16.415206
8|84|sample|8|162,-19.254965
8|84|sample|9|162,-27.395116
8|84|vc|1|2|162,-2.04442
8|84|vc|2|2|162,-1.742938
8|84|vc|3|2|162,-1.719904
8|84|vc|4|2|162,-1.86263
8|84|vc|5|2|162,-1.738059
8|84|vc|6|2|162,-1.438171
8|84|vc|7|2|162,-2.010656
8|84|vc|8|2|162,-0.530204
8|719|cc|1|1|274,-10.162871
8|719|cc|2|1|274,-10.092564
8|719|cc|3|1|274,-9.990961
8|719|cc|4|1|274,-9.776737
8|719|cc|5|1|274,-9.902027
8|719|cc|6|1|274,-9.762907
8|719|cc|7|1|274,-9.673776
8|719|cc|8|1|274,-9.835845
8|719|sample|10|274,-31.414348
8|719|sample|11|274,-34.078942
8|719|sample|12|274,-31.936777
8|719|sample|3|274,-15.081526
8|719|sample|4|274,-14.773631
8|719|sample|5|274,-25.196246
8|719|sample|6|274,-22.748206
8|719|sample|7|274,-23.305282
8|719|sample|8|274,-23.769942
8|719|sample|9|274,-31.131814
8|719|vc|1|2|274,-1.375412
8|719|vc|2|2|274,-1.891132
8|719|vc|3|2|274,-2.092187
8|719|vc|4|2|274,-2.124362
8|719|vc|5|2|274,-2.089077
8|719|vc|6|2|274,-2.108686
8|719|vc|7|2|274,-1.867631
8|719|vc|8|2|274,-1.734776
8|488|cc|1|1|322,-10.216191
8|488|cc|2|1|322,-10.112527
8|488|cc|3|1|322,-10.235978
8|488|cc|4|1|322,-10.237025
8|488|cc|5|1|322,-10.243373
8|488|cc|6|1|322,-10.21093
8|488|cc|7|1|322,-10.185678
8|488|cc|8|1|322,-10.218402
8|488|sample|10|322,-23.85066
8|488|sample|11|322,-29.794779
8|488|sample|12|322,-28.896042
8|488|sample|3|322,-12.461286
8|488|sample|4|322,-12.26526
8|488|sample|5|322,-17.817497
8|488|sample|6|322,-18.016885
8|488|sample|7|322,-17.989676
8|488|sample|8|322,-16.400686
8|488|sample|9|322,-25.586962
8|488|vc|1|2|322,-2.014774
8|488|vc|2|2|322,-1.86429
8|488|vc|3|2|322,-2.021089
8|488|vc|4|2|322,-2.008316
8|488|vc|5|2|322,-2.014303
8|488|vc|6|2|322,-1.9984
8|488|vc|7|2|322,-1.95521
8|488|vc|8|2|322,-1.742789
8|847|cc|1|1|69,-10.028795
8|847|cc|2|1|69,-9.863045
8|847|cc|3|1|69,-9.72595
8|847|cc|4|1|69,-9.953647
8|847|cc|5|1|69,-9.887208
8|847|cc|6|1|69,-9.887703
8|847|cc|7|1|69,-9.981236
8|847|cc|8|1|69,-9.447334
8|847|sample|10|69,-34.353055
8|847|sample|11|69,-23.487013
8|847|sample|12|69,-23.775218
8|847|sample|3|69,-11.147542
8|847|sample|4|69,-12.482245
8|847|sample|5|69,-18.933358
8|847|sample|6|69,-17.111465
8|847|sample|7|69,-26.774368
8|847|sample|8|69,-27.086068
8|847|sample|9|69,-34.18011
8|847|vc|1|2|69,-2.13543
8|847|vc|2|2|69,-1.754009
8|847|vc|3|2|69,-2.075619
8|847|vc|4|2|69,-1.454485
8|847|vc|5|2|69,-0.673306
8|847|vc|6|2|69,-1.558519
8|847|vc|7|2|69,-2.127503
8|847|vc|8|2|69,-1.823276
8|474|cc|1|1|276,-10.225837
8|474|cc|2|1|276,-10.18274
8|474|cc|3|1|276,-10.183877
8|474|cc|4|1|276,-10.158485
8|474|cc|5|1|276,-10.176877
8|474|cc|6|1|276,-10.02132
8|474|cc|7|1|276,-9.988111
8|474|cc|8|1|276,-10.20813
8|474|sample|10|276,-41.263012
8|474|sample|11|276,-33.459408
8|474|sample|12|276,-35.265105
8|474|sample|3|276,-12.793589
8|474|sample|4|276,-15.097958
8|474|sample|5|276,-24.500111
8|474|sample|6|276,-24.455657
8|474|sample|7|276,-31.104999
8|474|sample|8|276,-31.796281
8|474|sample|9|276,-41.682498
8|474|vc|1|2|276,-1.793307
8|474|vc|2|2|276,-1.885292
8|474|vc|3|2|276,-1.16221
8|474|vc|4|2|276,-1.688322
8|474|vc|5|2|276,-1.882433
8|474|vc|6|2|276,-1.672655
8|474|vc|7|2|276,-1.986487
8|474|vc|8|2|276,-1.962179
8|462|cc|1|1|292,-10.193554
8|462|cc|2|1|292,-10.19422
8|462|cc|3|1|292,-10.173448
8|462|cc|4|1|292,-10.00449
8|462|cc|5|1|292,-9.88928
8|462|cc|6|1|292,-9.853678
8|462|cc|7|1|292,-9.984149
8|462|cc|8|1|292,-9.849198
8|462|sample|10|292,-40.002387
8|462|sample|11|292,-28.862203
8|462|sample|12|292,-21.235272
8|462|sample|3|292,-12.984287
8|462|sample|4|292,-10.735929
8|462|sample|5|292,-18.348014
8|462|sample|6|292,-21.518309
8|462|sample|7|292,-33.143898
8|462|sample|8|292,-33.293218
8|462|sample|9|292,-42.71758
8|462|vc|1|2|292,-2.189766
8|462|vc|2|2|292,-0.987266
8|462|vc|3|2|292,0.522413
8|462|vc|4|2|292,-0.237717
8|462|vc|5|2|292,-1.107488
8|462|vc|6|2|292,0.03125
8|462|vc|7|2|292,-1.568579
8|462|vc|8|2|292,-1.209708
8|75|cc|1|1|65,-10.233443
8|75|cc|2|1|65,-9.6086
8|75|cc|3|1|65,-8.220875
8|75|cc|4|1|65,-9.134028
8|75|cc|5|1|65,-7.042228
8|75|cc|6|1|65,-9.528081
8|75|cc|7|1|65,-1.584372
8|75|cc|8|1|65,-8.895644
