rep,id,U,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,1,7.38465e-10,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|cc|2|1|162,1,3.5551e-12,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|cc|3|1|162,1,1.62266e-09,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|cc|4|1|162,1,2.35953e-10,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|cc|5|1|162,1,2.44218e-11,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|cc|6|1|162,1,2.77336e-10,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|cc|7|1|162,1,1.09405e-08,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|cc|8|1|162,1,4.16692e-10,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|sample|10|162,1,0.00337508,1.63661,2.59002,0.282345,1.29255e-07,True,32.0|162,84
1,8|84|sample|11|162,1,4.94709e-05,1.63657,2.59012,0.282345,1.29255e-07,True,22.0|162,84
1,8|84|sample|12|162,1,0.000721452,1.63657,2.59012,0.282345,1.29255e-07,True,22.0|162,84
1,8|84|sample|3|162,1,0.000626352,0.59773,2.58986,0.282345,1.29255e-07,True,55.0|162,84
1,8|84|sample|4|162,1,0.000996365,0.59773,2.58986,0.282345,1.29255e-07,True,55.0|162,84
1,8|84|sample|5|162,1,0.00019828,0.59773,2.58986,0.282345,1.29255e-07,True,55.0|162,84
1,8|84|sample|6|162,1,0.000105366,0.59773,2.58986,0.282345,1.29255e-07,True,55.0|162,84
1,8|84|sample|7|162,1,4.43764e-05,1.63661,2.59002,0.282345,1.29255e-07,True,32.0|162,84
1,8|84|sample|8|162,1,0.000104803,1.63661,2.59002,0.282345,1.29255e-07,True,32.0|162,84
1,8|84|sample|9|162,1,0.000114889,1.63661,2.59002,0.282345,1.29255e-07,True,32.0|162,84
1,8|84|vc|1|2|162,1,2.36354e-08,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|vc|2|2|162,1,1.50551e-09,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|vc|3|2|162,1,6.60323e-09,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|vc|4|2|162,1,6.41581e-10,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|vc|5|2|162,1,6.74603e-11,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|vc|6|2|162,1,1.23608e-08,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|vc|7|2|162,1,1.27337e-09,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|84|vc|8|2|162,1,3.00801e-10,1.63676,2.58978,0.282345,1.29255e-07,False,69.0|162,84
1,8|719|cc|1|1|274,1,8.82578e-11,1.6366,2.59022,0.282331,1.29222e-07,False,69.0|274,719
1,8|719|cc|2|1|274,1,3.22892e-12,1.6366,2.59022,0.282331,1.29222e-07,False,69.0|274,719
1,8|719|cc|3|1|274,1,1.38854e-07,1.6366,2.59022,0.282331,1.29222e-07,False,69.0|274,719
1,8|719|cc|4|1|274,1,1.22918e-10,1.6366,2.59022,0.282331,1.29222e-07,False,69.0|274,719
1,8|719|cc|5|1|274,1,1.78338e-11,1.6366,2.59022,0.282331,1.29222e-07,False,69.0|274,719
1,8|719|cc|6|1|274,1,2.02866e-10,1.6366,2.59022,0.282331,1.29222e-07,False,69.0|274,719
1,8|719|cc|7|1|274,1,2.68921e-08,1.6366,2.59022,0.282331,1.29222e-07,False,69.0|274,719
1,8|719|cc|8|1|274,1,2.93944e-10,1.6366,2.59022,0.282331,1.29222e-07,False,69.0|274,719
1,8|719|sample|10|274,1,0.000988626,1.63666,2.59004,0.282331,1.29222e-07,True,32.0|274,719
1,8|719|sample|11|274,1,0.000135984,1.63651,2.59007,0.282331,1.29222e-07,True,22.0|274,719
1,8|719|sample|12|274,1,9.73284e-06,1.63651,2.59007,0.282331,1.29222e-07,True,22.0|274,719
1,8|719|sample|3|274,1,0.00252399,1.63651,0.735365,0.282331,1.29222e-07,True,55.0|274,719
1,8|719|sample|4|274,1,5.70469e-08,1.63651,0.735365,0.282331,1.29222e-07,True,55.0|274,719
1,8|719|sample|5|274,1,1.98737e-05,1.63651,0.735365,0.282331,1.29222e-07,True,55.0|274,719
1,8|719|sample|6|274,1,0.014714,1.63651,0.735365,0.282331,1.29222e-07,True,55.0|274,719
1,8|719|sample|7|274,1,0.00048119,1.63666,2.59004,0.282331,1.29222e-07,True,32.0|274,719
1,8|719|sample|8|274,1,5.5409e-05,1.63666,2.59004,0.282331,1.29222e-07,True,32.0|274,719
1,8|719|sample|9|274,1,5.45037e-05,1.63666,2.59004,0.282331,1.29222e-07,True,32.0|274,719
1,8|719|vc|1|2|274,1,2.0299e-10,1.6366,2.59022,0.282331,1.29222e-07,False,69.0|274,719
1,8|719|vc|2|2|274,1,6.97524e-10,1.6366,2.59022,0.282331,1.29222e-07,False,69.0|274,719
