id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,1,8.18631e-07,0.495869,650.497,0.133481,4.59533e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62204e-16,False,69.0|162,84
8|84|cc|2|1|162,1,9.08382e-07,0.473166,419.694,0.133481,4.59533e-16,1,7.95394e-09,0.450058,108.894,0.134429,4.62204e-16,False,69.0|162,84
8|84|cc|3|1|162,1,5.28942e-07,0.47549,775.078,0.133481,4.59533e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62204e-16,False,69.0|162,84
8|84|cc|4|1|162,1,1.22599e-06,0.481616,404.055,0.133481,4.59533e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62204e-16,False,69.0|162,84
8|84|cc|5|1|162,1,1.50578e-06,0.476945,1004.4,0.133481,4.59533e-16,1,7.95394e-09,0.450058,108.894,0.134429,4.62204e-16,False,69.0|162,84
8|84|cc|6|1|162,1,1.33831e-06,0.479195,686.303,0.133481,4.59533e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62204e-16,False,69.0|162,84
8|84|cc|7|1|162,1,1.1948e-06,0.482122,546.905,0.133481,4.59533e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62204e-16,False,69.0|162,84
8|84|cc|8|1|162,1,1.11365e-06,0.464177,587.467,0.133481,4.59533e-16,1,7.95395e-09,0.450058,108.894,0.134429,4.62204e-16,False,69.0|162,84
8|84|sample|10|162,1,8.95372e-06,1.45763,2.73859,0.133481,4.59533e-16,1,1.59083e-06,1.4536,2.7619,0.134429,4.62204e-16,True,32.0|162,84
8|84|sample|11|162,1,1.97144e-05,1.79773,1.55817,0.133481,4.59533e-16,1,1.59058e-06,1.74336,1.62551,0.134429,4.62204e-16,True,22.0|162,84
8|84|sample|12|162,1,2.68081e-05,1.53035,2.46494,0.133481,4.59533e-16,1,1.59014e-06,1.46572,2.58361,0.134429,4.62204e-16,True,22.0|162,84
8|84|sample|3|162,1,7.309e-05,1.10768,0.844074,0.133481,4.59533e-16,1,1.60166e-06,1.11752,0.833467,0.134429,4.62204e-16,True,55.0|162,84
8|84|sample|4|162,1,9.71293e-05,1.14001,0.850697,0.133481,4.59533e-16,1,1.60167e-06,1.0746,0.957287,0.134429,4.62204e-16,True,55.0|162,84
8|84|sample|5|162,1,0.000234815,0.760202,1.17276,0.133481,4.59533e-16,1,1.60577e-06,0.75881,1.13144,0.134429,4.62204e-16,True,55.0|162,84
8|84|sample|6|162,1,2.63137e-05,0.818366,0.81813,0.133481,4.59533e-16,1,1.60257e-06,0.820797,0.826605,0.134429,4.62204e-16,True,55.0|162,84
8|84|sample|7|162,1,2.45296e-05,1.52709,2.21531,0.133481,4.59533e-16,1,1.59571e-06,1.59384,2.0664,0.134429,4.62204e-16,True,32.0|162,84
8|84|sample|8|162,1,0.00015068,1.533,2.3465,0.133481,4.59533e-16,1,1.59793e-06,1.47822,2.41681,0.134429,4.62204e-16,True,32.0|162,84
8|84|sample|9|162,1,2.5399e-05,1.62764,2.3692,0.133481,4.59533e-16,1,1.59163e-06,1.5663,2.5234,0.134429,4.62204e-16,True,32.0|162,84
