rep,id,eta_U,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,0,29.7326,-4.00505e-08,1.812,0,0,False,69.0|162,84
1,8|84|cc|2|1|162,0,20.1627,3.05338e-08,0.460522,0,0,False,69.0|162,84
1,8|84|cc|3|1|162,0,-3.07198,8.63558e-09,-1.21929,0,0,False,69.0|162,84
1,8|84|cc|4|1|162,0,-20.4624,2.25499e-08,5.14307,0,0,False,69.0|162,84
1,8|84|cc|5|1|162,0,6.452,-1.18003e-08,-1.73321,0,0,False,69.0|162,84
1,8|84|cc|6|1|162,0,-7.14539,7.22625e-08,-0.134561,0,0,False,69.0|162,84
1,8|84|cc|7|1|162,0,-9.07131,-5.85345e-08,0.659852,0,0,False,69.0|162,84
1,8|84|cc|8|1|162,0,31.8392,2.93028e-09,2.65114,0,0,False,69.0|162,84
1,8|84|sample|10|162,0,-14.4866,1.08753e-08,1.03274,0,0,True,32.0|162,84
1,8|84|sample|11|162,0,-13.585,1.89359e-08,0.607347,0,0,True,22.0|162,84
1,8|84|sample|12|162,0,-16.887,-1.77342e-08,0.756514,0,0,True,22.0|162,84
1,8|84|sample|3|162,0,-16.4393,1.75549e-08,-0.0321783,0,0,True,55.0|162,84
1,8|84|sample|4|162,0,-4.49242,8.72705e-09,0.116827,0,0,True,55.0|162,84
1,8|84|sample|5|162,0,-4.83825,-3.46342e-08,0.217951,0,0,True,55.0|162,84
1,8|84|sample|6|162,0,-4.73076,4.32463e-10,0.103691,0,0,True,55.0|162,84
1,8|84|sample|7|162,0,-9.62811,-4.30927e-08,1.02506,0,0,True,32.0|162,84
1,8|84|sample|8|162,0,-25.1571,-2.20964e-09,0.979085,0,0,True,32.0|162,84
1,8|84|sample|9|162,0,-15.9725,4.29029e-08,1.10078,0,0,True,32.0|162,84
1,8|84|vc|1|2|162,0,-16.1329,-9.65777e-09,-0.911051,0,0,False,69.0|162,84
1,8|84|vc|2|2|162,0,-15.1001,-3.74353e-08,-1.83588,0,0,False,69.0|162,84
1,8|84|vc|3|2|162,0,-28.3442,4.2462e-08,8.84223,0,0,False,69.0|162,84
1,8|84|vc|4|2|162,0,-21.864,5.74356e-08,0.454596,0,0,False,69.0|162,84
1,8|84|vc|5|2|162,0,2.6937,-4.24061e-08,1.44661,0,0,False,69.0|162,84
1,8|84|vc|6|2|162,0,-1.27044,-7.71895e-08,-6.44737,0,0,False,69.0|162,84
1,8|84|vc|7|2|162,0,4.05408,2.07603e-08,-5.16519,0,0,False,69.0|162,84
1,8|84|vc|8|2|162,0,-8.17642,4.80948e-08,-0.447065,0,0,False,69.0|162,84
1,8|719|cc|1|1|274,0,-7.18308,3.77439e-08,1.8579,0,0,False,69.0|274,719
1,8|719|cc|2|1|274,0,-9.52479,-1.84908e-08,-1.86117,0,0,False,69.0|274,719
1,8|719|cc|3|1|274,0,8.91285,-7.52373e-08,0.359028,0,0,False,69.0|274,719
1,8|719|cc|4|1|274,0,-2.31833,-1.0503e-07,3.04735,0,0,False,69.0|274,719
1,8|719|cc|5|1|274,0,-0.303465,3.36645e-08,-5.46797,0,0,False,69.0|274,719
1,8|719|cc|6|1|274,0,-19.1974,-6.50083e-09,7.71234,0,0,False,69.0|274,719
1,8|719|cc|7|1|274,0,13.7779,8.13832e-09,4.92091,0,0,False,69.0|274,719
1,8|719|cc|8|1|274,0,-2.85214,2.05197e-08,0.365632,0,0,False,69.0|274,719
1,8|719|sample|10|274,0,-25.47,1.49165e-08,1.96974,0,0,True,32.0|274,719
1,8|719|sample|11|274,0,-11.3652,8.80598e-08,2.10789,0,0,True,22.0|274,719
1,8|719|sample|12|274,0,-11.1583,-1.04152e-07,2.09743,0,0,True,22.0|274,719
1,8|719|sample|3|274,0,-6.67733,7.53249e-08,-0.257148,0,0,True,55.0|274,719
1,8|719|sample|4|274,0,-15.7801,3.74368e-08,-0.240018,0,0,True,55.0|274,719
