id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|cc|2|1|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|cc|3|1|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|cc|4|1|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|cc|5|1|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|cc|6|1|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|cc|7|1|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|cc|8|1|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|sample|10|162,1,3.09121e-07,1.47327,2.58764,0.135399,1.58173e-09,1,3.09121e-07,1.47328,2.58764,0.135396,1.58127e-09,True,32.0|162,84
8|84|sample|11|162,1,2.13163e-07,1.43431,2.23465,0.135399,1.58173e-09,1,2.13163e-07,1.43431,2.23465,0.135396,1.58127e-09,True,22.0|162,84
8|84|sample|12|162,1,2.13163e-07,1.43431,2.23465,0.135399,1.58173e-09,1,2.13163e-07,1.43431,2.23465,0.135396,1.58127e-09,True,22.0|162,84
8|84|sample|3|162,1,2.68669e-07,0.781647,1.08999,0.135399,1.58173e-09,1,2.68669e-07,0.781647,1.08999,0.135396,1.58127e-09,True,55.0|162,84
8|84|sample|4|162,1,2.68669e-07,0.781647,1.08999,0.135399,1.58173e-09,1,2.68669e-07,0.781647,1.08999,0.135396,1.58127e-09,True,55.0|162,84
8|84|sample|5|162,1,2.68669e-07,0.781647,1.08999,0.135399,1.58173e-09,1,2.68669e-07,0.781647,1.08999,0.135396,1.58127e-09,True,55.0|162,84
8|84|sample|6|162,1,2.68669e-07,0.781647,1.08999,0.135399,1.58173e-09,1,2.68669e-07,0.781647,1.08999,0.135396,1.58127e-09,True,55.0|162,84
8|84|sample|7|162,1,3.09121e-07,1.47327,2.58764,0.135399,1.58173e-09,1,3.09121e-07,1.47328,2.58764,0.135396,1.58127e-09,True,32.0|162,84
8|84|sample|8|162,1,3.09121e-07,1.47327,2.58764,0.135399,1.58173e-09,1,3.09121e-07,1.47328,2.58764,0.135396,1.58127e-09,True,32.0|162,84
8|84|sample|9|162,1,3.09121e-07,1.47327,2.58764,0.135399,1.58173e-09,1,3.09121e-07,1.47328,2.58764,0.135396,1.58127e-09,True,32.0|162,84
8|84|vc|1|2|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|vc|2|2|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|vc|3|2|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|vc|4|2|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|vc|5|2|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|vc|6|2|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|vc|7|2|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|84|vc|8|2|162,1,3.75264e-08,1.40644,90.6641,0.135399,1.58173e-09,1,3.75264e-08,1.40645,90.6641,0.135396,1.58127e-09,False,69.0|162,84
8|719|cc|1|1|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|cc|2|1|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|cc|3|1|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|cc|4|1|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|cc|5|1|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|cc|6|1|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|cc|7|1|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|cc|8|1|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|sample|10|274,1,1.50212e-06,1.51775,7.0639,0.13539,1.58165e-09,1,1.50212e-06,1.51775,7.0639,0.135387,1.58118e-09,True,32.0|274,719
8|719|sample|11|274,1,3.90798e-09,1.44404,10.2936,0.13539,1.58165e-09,1,3.90798e-09,1.44405,10.2936,0.135387,1.58118e-09,True,22.0|274,719
8|719|sample|12|274,1,3.90798e-09,1.44404,10.2936,0.13539,1.58165e-09,1,3.90798e-09,1.44405,10.2936,0.135387,1.58118e-09,True,22.0|274,719
8|719|sample|3|274,1,2.57894e-10,1.40659,0.899751,0.13539,1.58165e-09,1,2.57894e-10,1.4066,0.899751,0.135387,1.58118e-09,True,55.0|274,719
8|719|sample|4|274,1,2.57894e-10,1.40659,0.899751,0.13539,1.58165e-09,1,2.57894e-10,1.4066,0.899751,0.135387,1.58118e-09,True,55.0|274,719
8|719|sample|5|274,1,2.57894e-10,1.40659,0.899751,0.13539,1.58165e-09,1,2.57894e-10,1.4066,0.899751,0.135387,1.58118e-09,True,55.0|274,719
8|719|sample|6|274,1,2.57894e-10,1.40659,0.899751,0.13539,1.58165e-09,1,2.57894e-10,1.4066,0.899751,0.135387,1.58118e-09,True,55.0|274,719
8|719|sample|7|274,1,1.50212e-06,1.51775,7.0639,0.13539,1.58165e-09,1,1.50212e-06,1.51775,7.0639,0.135387,1.58118e-09,True,32.0|274,719
8|719|sample|8|274,1,1.50212e-06,1.51775,7.0639,0.13539,1.58165e-09,1,1.50212e-06,1.51775,7.0639,0.135387,1.58118e-09,True,32.0|274,719
8|719|sample|9|274,1,1.50212e-06,1.51775,7.0639,0.13539,1.58165e-09,1,1.50212e-06,1.51775,7.0639,0.135387,1.58118e-09,True,32.0|274,719
8|719|vc|1|2|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|vc|2|2|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|vc|3|2|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|vc|4|2|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|vc|5|2|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|vc|6|2|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|vc|7|2|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|719|vc|8|2|274,1,7.91785e-08,1.40643,16.0287,0.13539,1.58165e-09,1,7.91785e-08,1.40644,16.0287,0.135387,1.58118e-09,False,69.0|274,719
8|488|cc|1|1|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|cc|2|1|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|cc|3|1|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|cc|4|1|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|cc|5|1|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|cc|6|1|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|cc|7|1|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|cc|8|1|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|sample|10|322,1,1.05774e-06,1.4066,0.516008,0.200241,1.58163e-09,1,1.05774e-06,1.4066,0.516008,0.200245,1.58117e-09,True,32.0|322,488
8|488|sample|11|322,1,5.41048e-10,1.08362,6.95024,0.200241,1.58163e-09,1,5.41048e-10,1.08362,6.95024,0.200245,1.58117e-09,True,22.0|322,488
8|488|sample|12|322,1,5.41048e-10,1.08362,6.95024,0.200241,1.58163e-09,1,5.41048e-10,1.08362,6.95024,0.200245,1.58117e-09,True,22.0|322,488
8|488|sample|3|322,1,1.79725e-08,1.4066,0.224408,0.200241,1.58163e-09,1,1.79725e-08,1.4066,0.224408,0.200245,1.58117e-09,True,55.0|322,488
8|488|sample|4|322,1,1.79725e-08,1.4066,0.224408,0.200241,1.58163e-09,1,1.79725e-08,1.4066,0.224408,0.200245,1.58117e-09,True,55.0|322,488
8|488|sample|5|322,1,1.79725e-08,1.4066,0.224408,0.200241,1.58163e-09,1,1.79725e-08,1.4066,0.224408,0.200245,1.58117e-09,True,55.0|322,488
8|488|sample|6|322,1,1.79725e-08,1.4066,0.224408,0.200241,1.58163e-09,1,1.79725e-08,1.4066,0.224408,0.200245,1.58117e-09,True,55.0|322,488
8|488|sample|7|322,1,1.05774e-06,1.4066,0.516008,0.200241,1.58163e-09,1,1.05774e-06,1.4066,0.516008,0.200245,1.58117e-09,True,32.0|322,488
8|488|sample|8|322,1,1.05774e-06,1.4066,0.516008,0.200241,1.58163e-09,1,1.05774e-06,1.4066,0.516008,0.200245,1.58117e-09,True,32.0|322,488
8|488|sample|9|322,1,1.05774e-06,1.4066,0.516008,0.200241,1.58163e-09,1,1.05774e-06,1.4066,0.516008,0.200245,1.58117e-09,True,32.0|322,488
8|488|vc|1|2|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|vc|2|2|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|vc|3|2|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|vc|4|2|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|vc|5|2|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|vc|6|2|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|vc|7|2|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|488|vc|8|2|322,1,1.16164e-08,1.40644,3.20517,0.200241,1.58163e-09,1,1.16164e-08,1.40645,3.20517,0.200245,1.58117e-09,False,69.0|322,488
8|847|cc|1|1|69,1,1.43495e-07,1.40179,14.7121,0.164481,1.58167e-09,1,1.43495e-07,1.40179,14.7121,0.164481,1.58121e-09,False,69.0|69,847
8|847|cc|2|1|69,1,1.43495e-07,1.40179,14.7121,0.164481,1.58167e-09,1,1.43495e-07,1.40179,14.7121,0.164481,1.58121e-09,False,69.0|69,847
