rep,id,U,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,1,1.31642e-07,0.652963,28.4316,0.134353,1.04114e-15,False,69.0|162,84
1,8|84|cc|2|1|162,1,1.31642e-07,1.608,28.4316,0.134353,1.04114e-15,False,69.0|162,84
1,8|84|cc|3|1|162,1,1.31642e-07,0.569885,28.4316,0.134353,1.04114e-15,False,69.0|162,84
1,8|84|cc|4|1|162,1,1.31642e-07,0.830138,28.4316,0.134353,1.04114e-15,False,69.0|162,84
1,8|84|cc|5|1|162,1,1.31642e-07,0.569203,28.4316,0.134353,1.04114e-15,False,69.0|162,84
1,8|84|cc|6|1|162,1,1.31642e-07,0.803039,28.4316,0.134353,1.04114e-15,False,69.0|162,84
1,8|84|cc|7|1|162,1,1.31642e-07,0.810485,28.4316,0.134353,1.04114e-15,False,69.0|162,84
1,8|84|cc|8|1|162,1,1.31642e-07,2.36297,28.4316,0.134353,1.04114e-15,False,69.0|162,84
1,8|84|sample|10|162,1,1.23563e-08,1.42839,2.50334,0.134353,1.04114e-15,True,32.0|162,84
1,8|84|sample|11|162,1,1.72257e-09,1.58176,1.73633,0.134353,1.04114e-15,True,22.0|162,84
1,8|84|sample|12|162,1,1.72257e-09,1.9093,1.73633,0.134353,1.04114e-15,True,22.0|162,84
1,8|84|sample|3|162,1,3.29538e-10,1.16011,0.976352,0.134353,1.04114e-15,True,55.0|162,84
1,8|84|sample|4|162,1,3.29538e-10,1.24338,0.976352,0.134353,1.04114e-15,True,55.0|162,84
1,8|84|sample|5|162,1,3.29538e-10,0.784038,0.976352,0.134353,1.04114e-15,True,55.0|162,84
1,8|84|sample|6|162,1,3.29538e-10,0.80881,0.976352,0.134353,1.04114e-15,True,55.0|162,84
1,8|84|sample|7|162,1,1.23563e-08,1.41747,2.50334,0.134353,1.04114e-15,True,32.0|162,84
1,8|84|sample|8|162,1,1.23563e-08,1.36736,2.50334,0.134353,1.04114e-15,True,32.0|162,84
1,8|84|sample|9|162,1,1.23563e-08,1.51577,2.50334,0.134353,1.04114e-15,True,32.0|162,84
