id,importanceSampling
8|84|cc|1|1|162,-10.061772
8|84|cc|2|1|162,-9.924696
8|84|cc|3|1|162,-9.819572
8|84|cc|4|1|162,-9.702336
8|84|cc|5|1|162,-42.798521
8|84|cc|6|1|162,-41.839047
8|84|cc|7|1|162,-9.515094
8|84|cc|8|1|162,-9.98895
8|84|sample|10|162,-35.237619
8|84|sample|11|162,-31.425121
8|84|sample|12|162,-19.670521
8|84|sample|3|162,-19.202327
8|84|sample|4|162,-19.676234
8|84|sample|5|162,-26.910887
8|84|sample|6|162,-27.564705
8|84|sample|7|162,-22.228445
8|84|sample|8|162,-27.734452
8|84|sample|9|162,-34.304381
8|84|vc|1|2|162,-2.432245
8|84|vc|2|2|162,-33.908783
8|84|vc|3|2|162,-2.061681
8|84|vc|4|2|162,-36.074902
8|84|vc|5|2|162,-1.653199
8|84|vc|6|2|162,-1.394277
8|84|vc|7|2|162,-2.536044
8|84|vc|8|2|162,-0.355157
8|719|cc|1|1|274,-9.996456
8|719|cc|2|1|274,-9.813107
8|719|cc|3|1|274,-9.825017
8|719|cc|4|1|274,-9.766921
8|719|cc|5|1|274,-9.719286
8|719|cc|6|1|274,-41.85136
8|719|cc|7|1|274,-9.631653
8|719|cc|8|1|274,-9.833853
8|719|sample|10|274,-39.491699
8|719|sample|11|274,-42.495573
8|719|sample|12|274,-37.701877
8|719|sample|3|274,-23.301025
8|719|sample|4|274,-21.810514
8|719|sample|5|274,-67.386677
8|719|sample|6|274,-31.96914
8|719|sample|7|274,-32.080073
8|719|sample|8|274,-66.122748
8|719|sample|9|274,-38.631698
8|719|vc|1|2|274,-1.94147
8|719|vc|2|2|274,-36.349844
8|719|vc|3|2|274,-36.559516
8|719|vc|4|2|274,-2.638595
8|719|vc|5|2|274,-2.631564
8|719|vc|6|2|274,-2.569209
8|719|vc|7|2|274,-1.847318
8|719|vc|8|2|274,-1.486585
8|488|cc|1|1|322,-10.03682
8|488|cc|2|1|322,-44.071567
8|488|cc|3|1|322,-42.182917
8|488|cc|4|1|322,-10.053631
8|488|cc|5|1|322,-43.021284
8|488|cc|6|1|322,-10.036126
8|488|cc|7|1|322,-10.041286
8|488|cc|8|1|322,-44.1517
8|488|sample|10|322,-27.947429
8|488|sample|11|322,-40.956573
8|488|sample|12|322,-34.340206
8|488|sample|3|322,-18.31091
8|488|sample|4|322,-18.212634
8|488|sample|5|322,-59.637485
8|488|sample|6|322,-26.145734
8|488|sample|7|322,-25.95135
8|488|sample|8|322,-23.797311
8|488|sample|9|322,-32.977152
8|488|vc|1|2|322,-2.261905
8|488|vc|2|2|322,-1.411422
8|488|vc|3|2|322,-2.152732
8|488|vc|4|2|322,-36.485743
8|488|vc|5|2|322,-2.346217
8|488|vc|6|2|322,-2.548368
8|488|vc|7|2|322,-35.299306
8|488|vc|8|2|322,-35.400009
8|847|cc|1|1|69,-9.930773
8|847|cc|2|1|69,-9.875512
8|847|cc|3|1|69,-9.601994
8|847|cc|4|1|69,-9.756794
8|847|cc|5|1|69,-43.876112
8|847|cc|6|1|69,-9.756423
8|847|cc|7|1|69,-43.967508
8|847|cc|8|1|69,-9.343428
8|847|sample|10|69,-76.334994
8|847|sample|11|69,-26.017613
8|847|sample|12|69,-25.929936
8|847|sample|3|69,-12.764708
8|847|sample|4|69,-14.575021
8|847|sample|5|69,-26.7198
8|847|sample|6|69,-26.929968
8|847|sample|7|69,-65.914513
8|847|sample|8|69,-35.897577
8|847|sample|9|69,-78.414084
8|847|vc|1|2|69,-2.597954
8|847|vc|2|2|69,-34.220364
8|847|vc|3|2|69,-2.421148
