id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,1.00001,798.756,-0.385493,6.6624e+09,6.39527e-11,0.457728,1.00001,798.756,-0.385493,0.021891,6.42229e-11,0.456892,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,1.00001,798.756,-0.385493,1.61779e+06,6.39527e-11,0.457728,1.00001,798.756,-0.385493,0.0136383,6.42229e-11,0.456892,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,1.00001,798.756,-0.385493,6.35078e+18,6.39527e-11,0.457728,1.00001,798.756,-0.385493,0.0940963,6.42229e-11,0.456892,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,1.00001,798.756,-0.385493,5.05773e+12,6.39527e-11,0.457728,1.00001,798.756,-0.385493,0.201276,6.42229e-11,0.456892,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,1.00001,798.756,-0.385493,1.10954e+11,6.39527e-11,0.457728,1.00001,798.756,-0.385493,0.0129217,6.42229e-11,0.456892,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1.00001,798.756,-0.385493,1.68235e+08,6.39527e-11,0.457728,1.00001,798.756,-0.385493,0.0147505,6.42229e-11,0.456892,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,1.00001,798.756,-0.385493,1.43488e+12,6.39527e-11,0.457728,1.00001,798.756,-0.385493,0.130562,6.42229e-11,0.456892,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,1.00001,798.756,-0.385493,2.05504e+13,6.39527e-11,0.457728,1.00001,798.756,-0.385493,0.137759,6.42229e-11,0.456892,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,1.00001,798.756,-0.385493,93730.7,6.39527e-11,0.457728,1.00001,798.756,-0.385493,0.00586332,6.42229e-11,0.456892,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,1.00001,798.756,-0.385493,2.07727e+07,6.39527e-11,0.457728,1.00001,798.756,-0.385493,0.0147814,6.42229e-11,0.456892,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,1.00001,789.836,0.956537,3.11831e+12,6.39527e-11,0.457728,1.00001,789.836,0.956537,1.00001,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,1.00001,789.836,0.956537,4.39113e+16,6.39527e-11,0.457728,1.00001,789.836,0.956537,0.999989,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,1.00001,789.836,0.956537,3.67254e+12,6.39527e-11,0.457728,1.00001,789.836,0.956537,1,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,1.00001,789.836,0.956537,1.6837e+11,6.39527e-11,0.457728,1.00001,789.836,0.956537,1.00001,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,1.00001,789.836,0.956537,9.49399e+11,6.39527e-11,0.457728,1.00001,789.836,0.956537,1.00001,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,1.00001,789.836,0.956537,1.61744e+13,6.39527e-11,0.457728,1.00001,789.836,0.956537,1,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,1.00001,789.836,0.956537,1.30973e+13,6.39527e-11,0.457728,1.00001,789.836,0.956537,0.999982,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,1.00001,789.836,0.956537,2.20971e+17,6.39527e-11,0.457728,1.00001,789.836,0.956537,1.00001,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,1.00001,789.836,0.956537,2.35469e+16,6.39527e-11,0.457728,1.00001,789.836,0.956537,0.999998,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,1.00001,789.836,0.956537,9.82288e+11,6.39527e-11,0.457728,1.00001,789.836,0.956537,0.999999,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,1.00001,789.836,0.956537,5.07483e+13,6.39527e-11,0.457728,1.00001,789.836,0.956537,1.00001,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,1.00001,789.836,0.956537,6.91814e+13,6.39527e-11,0.457728,1.00001,789.836,0.956537,0.999999,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,1.00001,789.836,0.956537,4.30337e+11,6.39527e-11,0.457728,1.00001,789.836,0.956537,1,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,1.00001,789.836,0.956537,2.05024e+11,6.39527e-11,0.457728,1.00001,789.836,0.956537,1.00002,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,1.00001,789.836,0.956537,1.05605e+13,6.39527e-11,0.457728,1.00001,789.836,0.956537,0.999996,6.42229e-11,0.456892,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,1.00001,789.836,0.956537,3.73295e+12,6.39527e-11,0.457728,1.00001,789.836,0.956537,1.00001,6.42229e-11,0.456892,False,69.0|274,411
14|783|14|783|sample|3|71|3|71|6.0,1.00004,795.174,-0.77044,8.24886e+14,6.41327e-11,0.457872,1.00004,795.174,-0.77044,3.90202,6.44048e-11,0.457034,True,6.0|71,783
14|783|14|783|sample|4|71|4|71|6.0,1.00004,795.174,-0.77044,1.02862e+12,6.41327e-11,0.457872,1.00004,795.174,-0.77044,3.33785,6.44048e-11,0.457034,True,6.0|71,783
14|783|14|783|sample|5|71|5|71|6.0,1.00004,795.174,-0.77044,1.94112e+11,6.41327e-11,0.457872,1.00004,795.174,-0.77044,1.04546,6.44048e-11,0.457034,True,6.0|71,783
14|783|14|783|sample|6|71|6|71|6.0,1.00004,795.174,-0.77044,4.88063e+10,6.41327e-11,0.457872,1.00004,795.174,-0.77044,0.958405,6.44048e-11,0.457034,True,6.0|71,783
14|783|14|783|sample|7|71|7|71|6.0,1.00004,795.174,-0.77044,1.85667e+09,6.41327e-11,0.457872,1.00004,795.174,-0.77044,0.0156389,6.44048e-11,0.457034,True,6.0|71,783
14|783|14|783|sample|8|71|8|71|6.0,1.00004,795.174,-0.77044,37959,6.41327e-11,0.457872,1.00004,795.174,-0.77044,0.0177948,6.44048e-11,0.457034,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,1.00004,795.174,-0.77044,5.79684e+12,6.41327e-11,0.457872,1.00004,795.174,-0.77044,3.74099,6.44048e-11,0.457034,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,1.00004,795.174,-0.77044,2.05511e+12,6.41327e-11,0.457872,1.00004,795.174,-0.77044,3.96225,6.44048e-11,0.457034,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,1.00004,795.174,-0.77044,256.791,6.41327e-11,0.457872,1.00004,795.174,-0.77044,0.00465608,6.44048e-11,0.457034,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,1.00004,795.174,-0.77044,3.1515e+09,6.41327e-11,0.457872,1.00004,795.174,-0.77044,0.00672488,6.44048e-11,0.457034,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,1.00004,789.669,2.28475,1.22749e+10,6.41327e-11,0.457872,1.00004,789.669,2.28475,1,6.44048e-11,0.457034,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,1.00004,789.669,2.28475,2.22822e+14,6.41327e-11,0.457872,1.00004,789.669,2.28475,1,6.44048e-11,0.457034,False,69.0|71,783
