id,eta_U_SAEM,eta_L_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,-2.11921e-09,-8.81575,1.12375e-09,0,0,0,1.13687e-13,-1.47903,6.21725e-15,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,-3.91002e-09,-9.43825,-2.60186e-09,0,0,0,0,-2.47068,1.77636e-15,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,-4.53234e-11,-8.4683,1.20818e-09,0,0,0,1.13687e-13,-1.49756,2.66454e-15,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,2.2416e-10,-9.02434,-1.75878e-09,0,0,0,0,-1.62764,-8.88178e-15,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,1.43627e-09,-9.60965,1.42297e-09,0,0,0,0,-1.75215,4.44089e-15,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,2.47887e-09,-9.17655,-5.84956e-09,0,0,0,0,-1.83923,-2.66454e-15,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,-9.47922e-11,-8.26443,9.78549e-11,0,0,0,0,-1.5697,-1.59872e-14,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,-2.58592e-09,-9.73826,6.33231e-10,0,0,0,0,-1.5684,1.77636e-15,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,5.53347e-09,-8.51609,5.7386e-10,0,0,0,0,-2.03161,-2.53131e-14,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,-3.39066e-09,-8.17281,9.71787e-10,0,0,0,0,-2.06057,2.66454e-15,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,4.05329e-09,1.45005,2.83552e-10,0,0,0,0,-4.91918e-07,1.33227e-14,0,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,-6.21709e-09,-1.06071,4.22033e-09,0,0,0,0,-1.12042e-05,8.88178e-16,0,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,1.76755e-09,-1.11979,1.41092e-09,0,0,0,0,1.89591e-07,2.4869e-14,0,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,7.16637e-09,0.639852,1.46506e-09,0,0,0,0,-1.81762e-07,3.10862e-15,0,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,-2.20803e-09,0.518773,-7.5839e-10,0,0,0,0,2.37569e-06,2.84217e-14,0,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,3.08613e-09,1.87386,1.13764e-09,0,0,0,0,6.25165e-06,-5.32907e-15,0,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,-5.06668e-09,1.32372,-2.66608e-09,0,0,0,0,7.48976e-07,1.33227e-15,0,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,-3.36453e-10,-0.194456,3.18122e-09,0,0,0,0,-3.96543e-07,8.88178e-16,0,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0,9.01319e-09,1.83544,2.12061e-09,0,0,0,0,-1.38646e-05,1.59872e-14,0,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0,-2.58727e-10,-1.41588,-1.8111e-09,0,0,0,0,5.79344e-06,-3.73035e-14,0,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0,-1.03811e-09,0.534508,1.76476e-09,0,0,0,0,1.07067e-05,3.64153e-14,0,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0,1.96463e-09,-1.73467,-8.19711e-10,0,0,0,0,-4.10198e-07,3.37508e-14,0,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0,-9.56862e-09,-0.0135784,-1.39979e-10,0,0,0,-4.54747e-13,-0.0139058,3.74811e-13,0,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0,4.09487e-09,0.203466,-8.84235e-10,0,0,0,0,-1.21639e-05,-1.77636e-14,0,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0,3.78645e-09,0.568454,6.0584e-10,0,0,0,0,-3.70148e-07,2.39808e-14,0,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0,-4.19026e-09,-1.62713,1.72648e-09,0,0,0,0,6.32484e-06,1.24345e-14,0,0,False,69.0|274,411
14|783|14|783|sample|3|71|3|71|6.0,0,2.11114e-08,-7.70427,-3.97128e-09,0,0,0,-1.13687e-13,-0.254736,7.10543e-15,0,0,True,6.0|71,783
14|783|14|783|sample|4|71|4|71|6.0,0,-2.01053e-09,-7.27022,-5.32949e-10,0,0,0,-1.13687e-13,-0.289365,1.77636e-14,0,0,True,6.0|71,783
14|783|14|783|sample|5|71|5|71|6.0,0,3.94025e-09,-8.67324,6.4097e-10,0,0,0,1.13687e-13,-0.497017,9.32587e-15,0,0,True,6.0|71,783
14|783|14|783|sample|6|71|6|71|6.0,0,-1.45877e-10,-8.57176,-1.73871e-10,0,0,0,0,-0.586214,9.32587e-15,0,0,True,6.0|71,783
14|783|14|783|sample|7|71|7|71|6.0,0,8.73783e-09,-10.7401,-1.24685e-09,0,0,0,0,-2.68998,-2.57572e-14,0,0,True,6.0|71,783
14|783|14|783|sample|8|71|8|71|6.0,0,-8.98482e-09,-10.2562,2.80919e-09,0,0,0,0,-2.69283,0,0,0,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,0,-9.09587e-09,-9.69722,-7.07304e-10,0,0,0,-1.13687e-13,-0.297839,2.93099e-14,0,0,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,0,-5.63041e-09,-7.13772,-3.04513e-09,0,0,0,-1.13687e-13,-0.271898,1.5099e-14,0,0,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,0,-1.61238e-10,-8.50578,1.99472e-09,0,0,0,1.13687e-13,-2.4201,0,0,0,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,0,2.92589e-09,-9.30368,1.36322e-09,0,0,0,0,-2.46226,0,0,0,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,0,-2.11164e-09,2.86724,-1.04545e-09,0,0,0,0,3.16358e-07,-8.88178e-16,0,0,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,0,-4.17207e-09,-0.117817,8.05126e-10,0,0,0,0,3.68947e-06,-3.19744e-14,0,0,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,0,-7.33095e-09,-0.79863,1.57518e-09,0,0,0,2.27374e-13,-5.49372e-07,-1.33227e-15,0,0,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,0,4.27223e-10,0.411247,3.50224e-09,0,0,0,0,7.59947e-06,3.73035e-14,0,0,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,0,1.21083e-09,0.946523,-1.88642e-09,0,0,0,0,1.75283e-05,-1.77636e-15,0,0,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,0,9.96137e-09,-0.939703,-5.87492e-10,0,0,0,0,1.87514e-05,1.24345e-14,0,0,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,0,-2.28577e-09,-0.259775,-1.80958e-09,0,0,0,0,2.14723e-06,2.22045e-14,0,0,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,0,5.09214e-09,0.318482,9.58848e-10,0,0,0,2.27374e-13,6.94897e-08,-8.88178e-16,0,0,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,0,-8.24076e-09,-0.329612,-1.13995e-09,0,0,0,0,-8.08019e-06,-2.13163e-14,0,0,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,0,5.99274e-09,-0.522366,-2.51569e-09,0,0,0,0,6.51828e-06,2.30926e-14,0,0,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,0,-7.61831e-09,0.319672,1.01349e-09,0,0,0,0,5.08244e-07,6.21725e-15,0,0,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,0,1.78472e-09,0.74719,3.71396e-09,0,0,0,0,7.88716e-06,6.66134e-15,0,0,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,0,-6.15121e-09,-0.592256,-1.206e-09,0,0,0,0,2.9518e-06,1.64313e-14,0,0,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,0,-8.26085e-09,0.692077,5.12007e-11,0,0,0,0,-4.32446e-06,-2.4869e-14,0,0,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,0,4.61559e-09,0.444969,-8.95314e-10,0,0,0,0,6.29011e-06,-2.35367e-14,0,0,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,0,-4.52157e-09,-0.66427,-7.00425e-10,0,0,0,0,6.90686e-07,8.88178e-15,0,0,False,69.0|71,783
