parameter,value,CV
U_run_id_1017,1,
U_run_id_1042,1.00071283187457,
U_run_id_1043,0.999999964004313,
U_run_id_1056,3421.60237951093,
U_run_id_1099,0.999975513143542,
U_run_id_1159,3380.31161052549,
U_run_id_1197,1.0002707857955,
U_run_id_1241,3795.37743777802,
U_run_id_1260,1.00000001386942,
U_run_id_152,2268.56581621134,
U_run_id_183,1.00000000503555,
U_run_id_291,2278.82488137346,
U_run_id_297,1.00046530272651,
U_run_id_322,0.999999961502106,
U_run_id_394,0.999986923348218,
U_run_id_411,1.00030685752212,
U_run_id_433,1.0009078593754,
U_run_id_462,2839.01338189581,
U_run_id_474,3758.9799364311,
U_run_id_488,1.00023440951403,
U_run_id_491,1.00000976562287,
U_run_id_555,1.00000002621023,
U_run_id_611,0.999972019649803,
U_run_id_705,0.999967372816107,
U_run_id_719,2151.89483769465,
U_run_id_745,0.999997823540078,
U_run_id_75,0.999980482024859,
U_run_id_77,1.00000010791382,
U_run_id_783,1.00011520710248,
U_run_id_84,1598.20623218477,
U_run_id_847,1.00004345651932,
U_run_id_863,1.00004505745761,
U_run_id_963,1.00000141535488,
L_goes_down_False_mab_virus_22.0|103,792.406221030357,
L_goes_down_False_mab_virus_22.0|162,790.357256168041,
L_goes_down_False_mab_virus_22.0|174,793.858359289972,
L_goes_down_False_mab_virus_22.0|218,789.307120483331,
L_goes_down_False_mab_virus_22.0|274,791.428239595171,
L_goes_down_False_mab_virus_22.0|276,791.788949386997,
L_goes_down_False_mab_virus_22.0|292,793.377053657827,
L_goes_down_False_mab_virus_22.0|319,792.497970033425,
L_goes_down_False_mab_virus_22.0|322,786.764095905645,
L_goes_down_False_mab_virus_22.0|65,783.72150037136,
L_goes_down_False_mab_virus_22.0|69,791.019456774357,
L_goes_down_False_mab_virus_28.0|103,792.594452959035,
L_goes_down_False_mab_virus_28.0|162,791.171139822112,
L_goes_down_False_mab_virus_28.0|174,788.994079235284,
L_goes_down_False_mab_virus_28.0|218,794.38252783217,
L_goes_down_False_mab_virus_28.0|274,790.032277616148,
L_goes_down_False_mab_virus_28.0|276,799.521395785105,
L_goes_down_False_mab_virus_28.0|292,786.757234832353,
L_goes_down_False_mab_virus_28.0|319,789.598825630108,
L_goes_down_False_mab_virus_28.0|322,785.68524672853,
L_goes_down_False_mab_virus_28.0|65,793.990520528895,
L_goes_down_False_mab_virus_28.0|69,789.012496603313,
L_goes_down_False_mab_virus_32.0|103,795.943853642884,
L_goes_down_False_mab_virus_32.0|162,793.962884104667,
L_goes_down_False_mab_virus_32.0|174,792.738509040848,
L_goes_down_False_mab_virus_32.0|218,788.560522471738,
L_goes_down_False_mab_virus_32.0|274,789.706646340347,
L_goes_down_False_mab_virus_32.0|276,795.048467500672,
L_goes_down_False_mab_virus_32.0|292,795.952429004843,
L_goes_down_False_mab_virus_32.0|319,792.898572074705,
L_goes_down_False_mab_virus_32.0|322,793.343065549612,
L_goes_down_False_mab_virus_32.0|65,790.387958460103,
L_goes_down_False_mab_virus_32.0|69,790.747142440455,
L_goes_down_False_mab_virus_44.0|99,797.654041060907,
L_goes_down_False_mab_virus_55.0|103,792.403940500104,
L_goes_down_False_mab_virus_55.0|162,793.059690798599,
L_goes_down_False_mab_virus_55.0|174,795.649789919675,
L_goes_down_False_mab_virus_55.0|218,793.256645832823,
L_goes_down_False_mab_virus_55.0|274,793.051114553944,
L_goes_down_False_mab_virus_55.0|276,789.900733693077,
L_goes_down_False_mab_virus_55.0|292,795.942496475863,
L_goes_down_False_mab_virus_55.0|319,798.742710377994,
L_goes_down_False_mab_virus_55.0|322,793.524027294728,
L_goes_down_False_mab_virus_55.0|65,792.694969449251,
L_goes_down_False_mab_virus_55.0|69,784.582498819488,
L_goes_down_False_mab_virus_6.0|233,790.738706179421,
L_goes_down_False_mab_virus_6.0|42,790.039397639772,
L_goes_down_False_mab_virus_6.0|71,791.469606305175,
L_goes_down_False_mab_virus_6.0|73,793.727085797598,
L_goes_down_False_mab_virus_6.0|99,793.238594910085,
L_goes_down_False_mab_virus_63.0|42,782.040642339686,
L_goes_down_False_mab_virus_63.0|99,794.628273618985,
L_goes_down_False_mab_virus_65.0|103,784.829109744266,
L_goes_down_False_mab_virus_65.0|162,786.887680402241,
L_goes_down_False_mab_virus_65.0|174,789.473366368763,
L_goes_down_False_mab_virus_65.0|218,794.304710193461,
L_goes_down_False_mab_virus_65.0|274,793.539877337314,
L_goes_down_False_mab_virus_65.0|276,790.293704283529,
L_goes_down_False_mab_virus_65.0|292,790.129161708712,
L_goes_down_False_mab_virus_65.0|319,794.17584896738,
L_goes_down_False_mab_virus_65.0|322,795.551994066181,
L_goes_down_False_mab_virus_65.0|65,789.939617557652,
L_goes_down_False_mab_virus_65.0|69,795.36709978659,
L_goes_down_False_mab_virus_69.0|103,787.992971440195,
L_goes_down_False_mab_virus_69.0|162,787.199189545693,
L_goes_down_False_mab_virus_69.0|174,791.006612688439,
L_goes_down_False_mab_virus_69.0|218,787.030675566594,
L_goes_down_False_mab_virus_69.0|233,788.533229644919,
L_goes_down_False_mab_virus_69.0|274,789.31732117761,
L_goes_down_False_mab_virus_69.0|276,787.612020516409,
L_goes_down_False_mab_virus_69.0|292,789.35126972564,
L_goes_down_False_mab_virus_69.0|319,787.501424101862,
L_goes_down_False_mab_virus_69.0|322,788.134140204477,
L_goes_down_False_mab_virus_69.0|42,788.587134664752,
L_goes_down_False_mab_virus_69.0|65,787.767330222957,
L_goes_down_False_mab_virus_69.0|69,791.047544326671,
L_goes_down_False_mab_virus_69.0|71,789.717536054721,
L_goes_down_False_mab_virus_69.0|73,789.098331248951,
L_goes_down_False_mab_virus_69.0|99,787.391547613727,
L_goes_down_False_mab_virus_70.0|274,793.493642190931,
L_goes_down_True_mab_virus_22.0|103,794.117611685926,
L_goes_down_True_mab_virus_22.0|162,792.06864682361,
L_goes_down_True_mab_virus_22.0|174,795.569749945541,
L_goes_down_True_mab_virus_22.0|218,791.0185111389,
L_goes_down_True_mab_virus_22.0|274,793.13963025074,
L_goes_down_True_mab_virus_22.0|276,793.500340042567,
L_goes_down_True_mab_virus_22.0|292,795.088444313397,
L_goes_down_True_mab_virus_22.0|319,794.209360688994,
L_goes_down_True_mab_virus_22.0|322,788.475486561214,
L_goes_down_True_mab_virus_22.0|65,785.432891026929,
L_goes_down_True_mab_virus_22.0|69,792.730847429927,
L_goes_down_True_mab_virus_28.0|103,794.305843614604,
L_goes_down_True_mab_virus_28.0|162,792.882530477681,
L_goes_down_True_mab_virus_28.0|174,790.705469890853,
L_goes_down_True_mab_virus_28.0|218,796.093918487739,
L_goes_down_True_mab_virus_28.0|274,791.743668271717,
L_goes_down_True_mab_virus_28.0|276,801.232786440674,
L_goes_down_True_mab_virus_28.0|292,788.468625487922,
L_goes_down_True_mab_virus_28.0|319,791.310216285678,
L_goes_down_True_mab_virus_28.0|322,787.396637384099,
L_goes_down_True_mab_virus_28.0|65,795.701911184464,
L_goes_down_True_mab_virus_28.0|69,790.723887258883,
L_goes_down_True_mab_virus_32.0|103,797.655244298453,
L_goes_down_True_mab_virus_32.0|162,795.674274760237,
L_goes_down_True_mab_virus_32.0|174,794.449899696417,
L_goes_down_True_mab_virus_32.0|218,790.271913127308,
L_goes_down_True_mab_virus_32.0|274,791.418036995916,
L_goes_down_True_mab_virus_32.0|276,796.759858156241,
L_goes_down_True_mab_virus_32.0|292,797.663819660412,
L_goes_down_True_mab_virus_32.0|319,794.609962730274,
L_goes_down_True_mab_virus_32.0|322,795.054456205181,
L_goes_down_True_mab_virus_32.0|65,792.099349115672,
L_goes_down_True_mab_virus_32.0|69,792.458533096025,
L_goes_down_True_mab_virus_44.0|99,799.365431716476,
L_goes_down_True_mab_virus_55.0|103,794.115331155673,
L_goes_down_True_mab_virus_55.0|162,794.771081454168,
L_goes_down_True_mab_virus_55.0|174,797.361180575244,
L_goes_down_True_mab_virus_55.0|218,794.968036488392,
L_goes_down_True_mab_virus_55.0|274,794.762505209514,
L_goes_down_True_mab_virus_55.0|276,791.612124348646,
L_goes_down_True_mab_virus_55.0|292,797.653887131432,
L_goes_down_True_mab_virus_55.0|319,800.454101033564,
L_goes_down_True_mab_virus_55.0|322,795.235417950297,
L_goes_down_True_mab_virus_55.0|65,794.40636010482,
L_goes_down_True_mab_virus_55.0|69,786.293889475058,
L_goes_down_True_mab_virus_6.0|233,792.45009683499,
L_goes_down_True_mab_virus_6.0|42,791.750788295341,
L_goes_down_True_mab_virus_6.0|71,793.180996960744,
L_goes_down_True_mab_virus_6.0|73,795.438476453167,
L_goes_down_True_mab_virus_6.0|99,794.949985565654,
L_goes_down_True_mab_virus_63.0|42,783.752032995256,
L_goes_down_True_mab_virus_63.0|99,796.339664274554,
L_goes_down_True_mab_virus_65.0|103,786.540500399835,
L_goes_down_True_mab_virus_65.0|162,788.59907105781,
L_goes_down_True_mab_virus_65.0|174,791.184757024332,
L_goes_down_True_mab_virus_65.0|218,796.016100849031,
L_goes_down_True_mab_virus_65.0|274,795.251267992883,
L_goes_down_True_mab_virus_65.0|276,792.005094939098,
L_goes_down_True_mab_virus_65.0|292,791.840552364281,
L_goes_down_True_mab_virus_65.0|319,795.887239622949,
L_goes_down_True_mab_virus_65.0|322,797.26338472175,
L_goes_down_True_mab_virus_65.0|65,791.651008213221,
L_goes_down_True_mab_virus_65.0|69,797.078490442159,
L_goes_down_True_mab_virus_69.0|103,789.704362095764,
L_goes_down_True_mab_virus_69.0|162,788.910580201263,
L_goes_down_True_mab_virus_69.0|174,792.718003344008,
L_goes_down_True_mab_virus_69.0|218,788.742066222164,
L_goes_down_True_mab_virus_69.0|233,790.244620300488,
L_goes_down_True_mab_virus_69.0|274,791.02871183318,
L_goes_down_True_mab_virus_69.0|276,789.323411171978,
L_goes_down_True_mab_virus_69.0|292,791.062660381209,
L_goes_down_True_mab_virus_69.0|319,789.212814757431,
L_goes_down_True_mab_virus_69.0|322,789.845530860046,
L_goes_down_True_mab_virus_69.0|42,790.298525320321,
L_goes_down_True_mab_virus_69.0|65,789.478720878527,
L_goes_down_True_mab_virus_69.0|69,792.75893498224,
L_goes_down_True_mab_virus_69.0|71,791.42892671029,
L_goes_down_True_mab_virus_69.0|73,790.80972190452,
L_goes_down_True_mab_virus_69.0|99,789.102938269296,
L_goes_down_True_mab_virus_70.0|274,795.205032846501,
f_goes_down_False_mab_virus_22.0|103,0.000518570545688852,
f_goes_down_False_mab_virus_22.0|162,0.0399828513685283,
f_goes_down_False_mab_virus_22.0|174,1612.25944526264,
f_goes_down_False_mab_virus_22.0|218,12763.6594509932,
f_goes_down_False_mab_virus_22.0|274,0.00273276007862494,
f_goes_down_False_mab_virus_22.0|276,0.00176646480661631,
f_goes_down_False_mab_virus_22.0|292,0.0319631660320625,
