rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0,3.00635e-08,-0.00715647,-6.38532,0,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0,6.10935e-08,0.0448139,-56.5365,0,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0,-1.89266e-08,0.0796904,17.2372,0,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0,1.31104e-08,-0.072656,-3.16634,0,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0,2.96603e-08,0.00688362,-14.4992,0,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0,7.50038e-09,0.11278,-17.1498,0,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0,2.33446e-08,0.171485,-1.20216,0,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0,5.96692e-08,-0.0149223,-0.250124,0,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0,-4.84006e-08,-0.027916,-6.07674,0,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0,1.21348e-08,0.056289,-62.2137,0,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0,-4.64169e-08,0.0129173,-14.8697,0,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0,-5.25704e-08,0.0564483,96.2791,0,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0,-6.27491e-08,0.0943134,9.69062,0,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0,-6.2182e-08,-0.0312826,-38.7403,0,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0,-3.25094e-08,-0.0878372,6.93197,0,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0,-4.81643e-08,0.0134271,-3.44602,0,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0,-2.26981e-08,0.0927068,27.514,0,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0,-1.19418e-08,-0.076663,-33.3572,0,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0,-3.11155e-08,0.00334578,-8.44139,0,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0,3.0055e-08,0.038523,67.378,0,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0,2.15814e-08,-0.0409759,-21.6078,0,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0,-1.44149e-08,-0.0487639,14.0219,0,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0,-3.46703e-08,-0.108376,-8.44566,0,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0,-6.07088e-11,-0.0765602,-12.6855,0,0,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0,-3.04641e-08,-0.0273198,-7.07128,0,0,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0,-7.60099e-09,0.00985812,-34.0594,0,0,False,69.0|274,411
1,14|783|14|783|sample|3|71|3|71|6.0,0,-2.6339e-09,0.103647,20.8153,0,0,True,6.0|71,783
1,14|783|14|783|sample|4|71|4|71|6.0,0,-1.26694e-08,0.092668,34.0483,0,0,True,6.0|71,783
1,14|783|14|783|sample|5|71|5|71|6.0,0,-4.33305e-08,0.0152226,24.0496,0,0,True,6.0|71,783
1,14|783|14|783|sample|6|71|6|71|6.0,0,4.99347e-08,-0.0555791,-1.27616,0,0,True,6.0|71,783
1,14|783|14|783|sample|7|71|7|71|6.0,0,1.97598e-08,0.220637,13.6849,0,0,True,6.0|71,783
