rep,id,U,L,h,f,alpha,k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,1,794.878,-0.74903,0.00168613,1.29536e-10,0.11723,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,1,794.878,-0.697059,0,1.29536e-10,0.11723,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,1,794.878,-0.662183,3.06224e+07,1.29536e-10,0.11723,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,1,794.878,-0.814529,0.0421575,1.29536e-10,0.11723,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,1,794.878,-0.73499,5.04754e-07,1.29536e-10,0.11723,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,1,794.878,-0.629093,3.56406e-08,1.29536e-10,0.11723,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,1,794.878,-0.570388,0.300546,1.29536e-10,0.11723,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,1,794.878,-0.756796,0.778704,1.29536e-10,0.11723,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,1,794.878,-0.769789,0.00229564,1.29536e-10,0.11723,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,1,794.878,-0.685584,0,1.29536e-10,0.11723,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,1,789.313,-0.728956,3.48484e-07,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,1,789.313,-0.685425,6.50861e+41,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,1,789.313,-0.64756,16165.2,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,1,789.313,-0.773156,0,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,1,789.313,-0.829711,1024.51,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,1,789.313,-0.728446,0.0318724,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,1,789.313,-0.649167,8.89594e+11,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,1,789.313,-0.818536,3.25957e-15,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,1,789.313,-0.738528,0.000215749,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,1,789.313,-0.70335,1.82772e+29,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,1,789.313,-0.782849,4.12896e-10,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,1,789.313,-0.790637,1.22923e+06,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,1,789.313,-0.85025,0.000214831,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,1,789.313,-0.818434,3.09565e-06,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,1,789.313,-0.769193,0.000849144,1.29536e-10,0.11723,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,1,789.313,-0.732015,1.61511e-15,1.29536e-10,0.11723,False,69.0|274,411
