rep,id,U,L,h,f,alpha,k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,1.0001,794.755,-2.32625,0.254853,1.18638e-11,0.122993,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,1.0001,794.755,-4.34699,2.90503,1.18638e-11,0.122993,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,1.0001,794.755,-2.56615,11.5986,1.18638e-11,0.122993,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,1.0001,794.755,-1.71689,1.40405,1.18638e-11,0.122993,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,1.0001,794.755,4.98301,1.96991,1.18638e-11,0.122993,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,1.0001,794.755,-0.423259,0.569753,1.18638e-11,0.122993,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,1.0001,794.755,-1.08999,0.425388,1.18638e-11,0.122993,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,1.0001,794.755,1.12084,6.16373,1.18638e-11,0.122993,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,1.0001,794.755,-1.32492,0.614238,1.18638e-11,0.122993,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,1.0001,794.755,-4.97745,1.31809,1.18638e-11,0.122993,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,1.0001,789.346,1.98741,0.397409,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,1.0001,789.346,2.72109,1.13466,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,1.0001,789.346,0.505418,2.42763,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,1.0001,789.346,-3.00493,0.580792,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,1.0001,789.346,-1.56785,0.989046,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,1.0001,789.346,1.73593,26.863,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,1.0001,789.346,-0.881124,0.0239262,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,1.0001,789.346,1.8141,3.93233,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,1.0001,789.346,-1.11894,0.314847,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,1.0001,789.346,-1.787,1.01663,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,1.0001,789.346,-2.18327,1.66647,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,1.0001,789.346,2.19914,0.392185,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,1.0001,789.346,-3.6117,0.0632883,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,1.0001,789.346,-6.62531,2.10621,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,1.0001,789.346,3.94609,1.02321,1.18638e-11,0.122993,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,1.0001,789.346,0.0124054,0.752105,1.18638e-11,0.122993,False,69.0|274,411
1,14|783|14|783|sample|3|71|3|71|6.0,1,793.19,-2.32537,0.878892,1.18642e-11,0.122996,True,6.0|71,783
1,14|783|14|783|sample|4|71|4|71|6.0,1,793.19,-1.77497,0.0833691,1.18642e-11,0.122996,True,6.0|71,783
1,14|783|14|783|sample|5|71|5|71|6.0,1,793.19,0.102938,1.95931,1.18642e-11,0.122996,True,6.0|71,783
1,14|783|14|783|sample|6|71|6|71|6.0,1,793.19,0.344642,6.25989,1.18642e-11,0.122996,True,6.0|71,783
1,14|783|14|783|sample|7|71|7|71|6.0,1,793.19,-2.99007,0.0887213,1.18642e-11,0.122996,True,6.0|71,783
1,14|783|14|783|sample|8|71|8|71|6.0,1,793.19,-2.93234,0.0708234,1.18642e-11,0.122996,True,6.0|71,783
1,14|783|14|783|sample|10|71|10|71|6.0,1,793.19,4.52133,6.68067,1.18642e-11,0.122996,True,6.0|71,783
1,14|783|14|783|sample|9|71|9|71|6.0,1,793.19,-1.81179,0.0297878,1.18642e-11,0.122996,True,6.0|71,783
1,14|783|14|783|sample|12|71|12|71|6.0,1,793.19,-0.894227,0.406066,1.18642e-11,0.122996,True,6.0|71,783
1,14|783|14|783|sample|11|71|11|71|6.0,1,793.19,-0.431373,1.91663,1.18642e-11,0.122996,True,6.0|71,783
1,14|783|14|783|cc|1|1|71|1|71|69.0,1,789.094,0.983611,1.68299,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|cc|2|1|71|1|71|69.0,1,789.094,1.28681,0.531313,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|cc|3|1|71|1|71|69.0,1,789.094,1.59947,4.25771,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|cc|4|1|71|1|71|69.0,1,789.094,-0.256819,8.6413,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|cc|5|1|71|1|71|69.0,1,789.094,2.90862,2.58622,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|cc|6|1|71|1|71|69.0,1,789.094,-0.770655,2.81936,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|cc|7|1|71|1|71|69.0,1,789.094,-3.41471,24.8848,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|cc|8|1|71|1|71|69.0,1,789.094,6.51763,2.83219,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|vc|1|2|71|2|71|69.0,1,789.094,-0.207635,7.18836,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|vc|2|2|71|2|71|69.0,1,789.094,0.184433,0.5868,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|vc|3|2|71|2|71|69.0,1,789.094,1.54852,0.0174984,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|vc|4|2|71|2|71|69.0,1,789.094,2.50961,2.44653,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|vc|5|2|71|2|71|69.0,1,789.094,-1.68296,8.33476,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|vc|6|2|71|2|71|69.0,1,789.094,3.08462,0.0982157,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|vc|7|2|71|2|71|69.0,1,789.094,-2.93718,2.25271,1.18642e-11,0.122996,False,69.0|71,783
1,14|783|14|783|vc|8|2|71|2|71|69.0,1,789.094,-0.892044,0.74073,1.18642e-11,0.122996,False,69.0|71,783
1,14|491|14|491|sample|10|99|10|99|6.0,1,795.58,1.21355,0.40346,1.18675e-11,0.122967,True,6.0|99,491
1,14|491|14|491|sample|9|99|9|99|6.0,1,795.58,-2.19491,5.21362,1.18675e-11,0.122967,True,6.0|99,491
1,14|491|14|491|sample|12|99|12|99|6.0,1,795.58,1.86536,0.780987,1.18675e-11,0.122967,True,6.0|99,491
1,14|491|14|491|sample|11|99|11|99|6.0,1,795.58,-2.19769,0.60522,1.18675e-11,0.122967,True,6.0|99,491
1,14|491|14|491|sample|4|99|4|99|44.0,1,802.416,-4.18053,0.232358,1.18675e-11,0.122967,True,44.0|99,491
1,14|491|14|491|sample|3|99|3|99|44.0,1,802.416,2.03563,0.712742,1.18675e-11,0.122967,True,44.0|99,491
1,14|491|14|491|sample|6|99|6|99|44.0,1,802.416,-0.559156,0.687543,1.18675e-11,0.122967,True,44.0|99,491
1,14|491|14|491|sample|5|99|5|99|44.0,1,802.416,-1.58339,2.00782,1.18675e-11,0.122967,True,44.0|99,491
1,14|491|14|491|sample|7|99|7|99|63.0,1,794.635,0.349472,0.742874,1.18675e-11,0.122967,True,63.0|99,491
1,14|491|14|491|sample|8|99|8|99|63.0,1,794.635,1.7617,2.79555,1.18675e-11,0.122967,True,63.0|99,491
1,14|491|14|491|cc|1|1|99|1|99|69.0,1,787.39,-2.48929,33.6056,1.18675e-11,0.122967,False,69.0|99,491
1,14|491|14|491|cc|2|1|99|1|99|69.0,1,787.39,0.518651,1.37927,1.18675e-11,0.122967,False,69.0|99,491
1,14|491|14|491|cc|3|1|99|1|99|69.0,1,787.39,-3.67414,5.10837,1.18675e-11,0.122967,False,69.0|99,491
1,14|491|14|491|cc|4|1|99|1|99|69.0,1,787.39,2.52241,0.251464,1.18675e-11,0.122967,False,69.0|99,491
1,14|491|14|491|cc|5|1|99|1|99|69.0,1,787.39,1.9795,0.749044,1.18675e-11,0.122967,False,69.0|99,491
1,14|491|14|491|cc|6|1|99|1|99|69.0,1,787.39,-2.94812,0.821376,1.18675e-11,0.122967,False,69.0|99,491
1,14|491|14|491|cc|7|1|99|1|99|69.0,1,787.39,3.43597,2.85302,1.18675e-11,0.122967,False,69.0|99,491
1,14|491|14|491|cc|8|1|99|1|99|69.0,1,787.39,-1.84573,7.58345,1.18675e-11,0.122967,False,69.0|99,491
1,14|491|14|491|vc|1|2|99|2|99|69.0,1,787.39,0.931511,206.858,1.18675e-11,0.122967,False,69.0|99,491
1,14|491|14|491|vc|2|2|99|2|99|69.0,1,787.39,0.388784,0.270514,1.18675e-11,0.122967,False,69.0|99,491
