rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0,7.75439e-08,-2.32625,-1.36707,0,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0,3.12042e-08,-4.34699,1.06644,0,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0,4.15753e-08,-2.56615,2.45089,0,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0,3.21547e-08,-1.71689,0.339364,0,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0,4.06487e-08,4.98301,0.677986,0,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0,6.59963e-09,-0.423259,-0.562553,0,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0,3.73236e-08,-1.08999,-0.854755,0,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0,2.22658e-08,1.12084,1.81868,0,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0,-7.79631e-08,-1.32492,-0.487373,0,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0,-3.37468e-09,-4.97745,0.276185,0,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0,-5.27701e-08,1.98741,-0.922788,0,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0,-5.91638e-08,2.72109,0.126337,0,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0,-6.27047e-08,0.505418,0.886916,0,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0,-8.24963e-08,-3.00493,-0.543363,0,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0,-2.39097e-08,-1.56785,-0.0110144,0,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0,-2.79952e-08,1.73593,3.29075,0,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0,9.85865e-08,-0.881124,-3.73278,0,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0,-8.95524e-08,1.8141,1.36923,0,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0,3.15974e-08,-1.11894,-1.15567,0,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0,-1.4555e-08,-1.787,0.0164913,0,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0,3.20199e-08,-2.18327,0.510708,0,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0,3.62949e-08,2.19914,-0.936022,0,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0,-1.57953e-08,-3.6117,-2.76006,0,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0,-7.17125e-09,-6.62531,0.744889,0,0,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0,-1.31206e-08,3.94609,0.0229474,0,0,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0,4.2799e-08,0.0124054,-0.28488,0,0,False,69.0|274,411
1,14|783|14|783|sample|3|71|3|71|6.0,0,5.25805e-08,-2.32537,-0.129093,0,0,True,6.0|71,783
1,14|783|14|783|sample|4|71|4|71|6.0,0,-7.38299e-08,-1.77497,-2.48448,0,0,True,6.0|71,783
1,14|783|14|783|sample|5|71|5|71|6.0,0,1.64681e-08,0.102938,0.672593,0,0,True,6.0|71,783
1,14|783|14|783|sample|6|71|6|71|6.0,0,5.75042e-08,0.344642,1.83416,0,0,True,6.0|71,783
1,14|783|14|783|sample|7|71|7|71|6.0,0,-4.08113e-08,-2.99007,-2.42226,0,0,True,6.0|71,783
1,14|783|14|783|sample|8|71|8|71|6.0,0,4.40346e-08,-2.93234,-2.64757,0,0,True,6.0|71,783
1,14|783|14|783|sample|10|71|10|71|6.0,0,6.70618e-08,4.52133,1.89922,0,0,True,6.0|71,783
1,14|783|14|783|sample|9|71|9|71|6.0,0,-3.67842e-08,-1.81179,-3.51366,0,0,True,6.0|71,783
1,14|783|14|783|sample|12|71|12|71|6.0,0,-1.79483e-08,-0.894227,-0.90124,0,0,True,6.0|71,783
1,14|783|14|783|sample|11|71|11|71|6.0,0,1.41167e-08,-0.431373,0.650566,0,0,True,6.0|71,783
1,14|783|14|783|cc|1|1|71|1|71|69.0,0,-2.4364e-08,0.983611,0.520573,0,0,False,69.0|71,783
1,14|783|14|783|cc|2|1|71|1|71|69.0,0,-6.58645e-09,1.28681,-0.632404,0,0,False,69.0|71,783
1,14|783|14|783|cc|3|1|71|1|71|69.0,0,-1.79847e-08,1.59947,1.44873,0,0,False,69.0|71,783
1,14|783|14|783|cc|4|1|71|1|71|69.0,0,6.17774e-10,-0.256819,2.15655,0,0,False,69.0|71,783
1,14|783|14|783|cc|5|1|71|1|71|69.0,0,3.30217e-08,2.90862,0.950199,0,0,False,69.0|71,783
1,14|783|14|783|cc|6|1|71|1|71|69.0,0,6.7314e-09,-0.770655,1.03651,0,0,False,69.0|71,783
1,14|783|14|783|cc|7|1|71|1|71|69.0,0,1.93598e-08,-3.41471,3.21426,0,0,False,69.0|71,783
1,14|783|14|783|cc|8|1|71|1|71|69.0,0,6.98641e-08,6.51763,1.04105,0,0,False,69.0|71,783
1,14|783|14|783|vc|1|2|71|2|71|69.0,0,-1.46053e-08,-0.207635,1.97246,0,0,False,69.0|71,783
1,14|783|14|783|vc|2|2|71|2|71|69.0,0,-1.99458e-08,0.184433,-0.53307,0,0,False,69.0|71,783
1,14|783|14|783|vc|3|2|71|2|71|69.0,0,1.08682e-07,1.54852,-4.04564,0,0,False,69.0|71,783
1,14|783|14|783|vc|4|2|71|2|71|69.0,0,6.21856e-08,2.50961,0.894672,0,0,False,69.0|71,783
1,14|783|14|783|vc|5|2|71|2|71|69.0,0,-2.03835e-08,-1.68296,2.12043,0,0,False,69.0|71,783
1,14|783|14|783|vc|6|2|71|2|71|69.0,0,9.16532e-09,3.08462,-2.32059,0,0,False,69.0|71,783
1,14|783|14|783|vc|7|2|71|2|71|69.0,0,-2.45517e-08,-2.93718,0.812135,0,0,False,69.0|71,783
1,14|783|14|783|vc|8|2|71|2|71|69.0,0,-5.23071e-08,-0.892044,-0.300119,0,0,False,69.0|71,783
1,14|491|14|491|sample|10|99|10|99|6.0,0,1.85742e-08,1.21355,-0.907679,0,0,True,6.0|99,491
1,14|491|14|491|sample|9|99|9|99|6.0,0,3.16606e-08,-2.19491,1.65127,0,0,True,6.0|99,491
1,14|491|14|491|sample|12|99|12|99|6.0,0,-1.9146e-08,1.86536,-0.247197,0,0,True,6.0|99,491
1,14|491|14|491|sample|11|99|11|99|6.0,0,3.80131e-08,-2.19769,-0.502164,0,0,True,6.0|99,491
1,14|491|14|491|sample|4|99|4|99|44.0,0,-2.23755e-08,-4.18053,-1.45947,0,0,True,44.0|99,491
1,14|491|14|491|sample|3|99|3|99|44.0,0,-1.03991e-07,2.03563,-0.338636,0,0,True,44.0|99,491
1,14|491|14|491|sample|6|99|6|99|44.0,0,1.54122e-08,-0.559156,-0.374631,0,0,True,44.0|99,491
1,14|491|14|491|sample|5|99|5|99|44.0,0,1.35856e-08,-1.58339,0.697051,0,0,True,44.0|99,491
1,14|491|14|491|sample|7|99|7|99|63.0,0,4.56931e-08,0.349472,-0.297229,0,0,True,63.0|99,491
1,14|491|14|491|sample|8|99|8|99|63.0,0,-4.93903e-08,1.7617,1.02803,0,0,True,63.0|99,491
1,14|491|14|491|cc|1|1|99|1|99|69.0,0,-4.02702e-09,-2.48929,3.51469,0,0,False,69.0|99,491
1,14|491|14|491|cc|2|1|99|1|99|69.0,0,-2.89878e-08,0.518651,0.321553,0,0,False,69.0|99,491
1,14|491|14|491|cc|3|1|99|1|99|69.0,0,-2.90134e-08,-3.67414,1.63088,0,0,False,69.0|99,491
1,14|491|14|491|cc|4|1|99|1|99|69.0,0,6.29377e-08,2.52241,-1.38045,0,0,False,69.0|99,491
1,14|491|14|491|cc|5|1|99|1|99|69.0,0,-3.7366e-08,1.9795,-0.288958,0,0,False,69.0|99,491
1,14|491|14|491|cc|6|1|99|1|99|69.0,0,3.03932e-08,-2.94812,-0.196774,0,0,False,69.0|99,491
1,14|491|14|491|cc|7|1|99|1|99|69.0,0,-3.18466e-08,3.43597,1.04838,0,0,False,69.0|99,491
1,14|491|14|491|cc|8|1|99|1|99|69.0,0,2.35711e-08,-1.84573,2.02597,0,0,False,69.0|99,491
1,14|491|14|491|vc|1|2|99|2|99|69.0,0,-7.92447e-08,0.931511,5.33203,0,0,False,69.0|99,491
1,14|491|14|491|vc|2|2|99|2|99|69.0,0,6.85266e-08,0.388784,-1.30743,0,0,False,69.0|99,491
1,14|491|14|491|vc|3|2|99|2|99|69.0,0,5.88261e-09,-4.05529,-2.38939,0,0,False,69.0|99,491
1,14|491|14|491|vc|4|2|99|2|99|69.0,0,3.6634e-08,-3.25928,-1.42916,0,0,False,69.0|99,491
1,14|491|14|491|vc|5|2|99|2|99|69.0,0,3.18059e-08,-0.779223,2.238,0,0,False,69.0|99,491
