parameter,value,CV
U_run_id_1017,1,
U_run_id_1042,767.173083571539,
U_run_id_1043,0.999998042466725,
U_run_id_1056,1729.68872986153,
U_run_id_1099,0.99999816751496,
U_run_id_1159,1984.87676516648,
U_run_id_1197,841.44742102416,
U_run_id_1241,2002.9839292365,
U_run_id_1260,1.00000027630066,
U_run_id_152,1114.47482607927,
U_run_id_183,1.00000012030336,
U_run_id_291,1.00002273285562,
U_run_id_297,1.0000015151948,
U_run_id_322,0.999999800068834,
U_run_id_394,0.999999806707438,
U_run_id_411,1.00000462964428,
U_run_id_433,1.0000005391506,
U_run_id_462,2322.08875866941,
U_run_id_474,2577.32109238744,
U_run_id_488,1.00003998302788,
U_run_id_491,1.0000029083974,
U_run_id_555,1.00000007367785,
U_run_id_611,0.999999305134311,
U_run_id_705,0.999999482320494,
U_run_id_719,1222.79258823709,
U_run_id_745,0.999999944561421,
U_run_id_75,0.999999978529838,
U_run_id_77,1.00000042621299,
U_run_id_783,1.00000069882849,
U_run_id_84,1.00038060527998,
U_run_id_847,1.00000040427295,
U_run_id_863,1.00002843143013,
U_run_id_963,1.00044244494844,
L_goes_down_False_mab_virus_22.0|103,792.411900432519,
L_goes_down_False_mab_virus_22.0|162,791.279415110279,
L_goes_down_False_mab_virus_22.0|174,794.287046308174,
L_goes_down_False_mab_virus_22.0|218,787.769472835226,
L_goes_down_False_mab_virus_22.0|274,792.988324275248,
L_goes_down_False_mab_virus_22.0|276,788.128437184158,
L_goes_down_False_mab_virus_22.0|292,790.447172767407,
L_goes_down_False_mab_virus_22.0|319,790.404023459578,
L_goes_down_False_mab_virus_22.0|322,789.698732048948,
L_goes_down_False_mab_virus_22.0|65,786.265109356312,
L_goes_down_False_mab_virus_22.0|69,792.729711820865,
L_goes_down_False_mab_virus_28.0|103,789.525423180958,
L_goes_down_False_mab_virus_28.0|162,791.142668724592,
L_goes_down_False_mab_virus_28.0|174,790.245925152266,
L_goes_down_False_mab_virus_28.0|218,795.278390465608,
L_goes_down_False_mab_virus_28.0|274,788.073666818025,
L_goes_down_False_mab_virus_28.0|276,799.057396462762,
L_goes_down_False_mab_virus_28.0|292,786.855693048748,
L_goes_down_False_mab_virus_28.0|319,785.601403156258,
L_goes_down_False_mab_virus_28.0|322,788.491224323817,
L_goes_down_False_mab_virus_28.0|65,792.96119632223,
L_goes_down_False_mab_virus_28.0|69,794.491292386592,
L_goes_down_False_mab_virus_32.0|103,796.083461010679,
L_goes_down_False_mab_virus_32.0|162,793.105924984518,
L_goes_down_False_mab_virus_32.0|174,791.785623847943,
L_goes_down_False_mab_virus_32.0|218,791.419274897689,
L_goes_down_False_mab_virus_32.0|274,787.284773090595,
L_goes_down_False_mab_virus_32.0|276,789.2789857751,
L_goes_down_False_mab_virus_32.0|292,792.680028975026,
L_goes_down_False_mab_virus_32.0|319,787.278757530597,
L_goes_down_False_mab_virus_32.0|322,792.922037842764,
L_goes_down_False_mab_virus_32.0|65,793.335460672708,
L_goes_down_False_mab_virus_32.0|69,787.577172640149,
L_goes_down_False_mab_virus_44.0|99,797.636933280885,
L_goes_down_False_mab_virus_55.0|103,791.859631173936,
L_goes_down_False_mab_virus_55.0|162,790.898609317318,
L_goes_down_False_mab_virus_55.0|174,791.571211581484,
L_goes_down_False_mab_virus_55.0|218,794.142916086284,
L_goes_down_False_mab_virus_55.0|274,790.741105783993,
L_goes_down_False_mab_virus_55.0|276,791.233234332364,
L_goes_down_False_mab_virus_55.0|292,789.65702321756,
L_goes_down_False_mab_virus_55.0|319,796.514393313432,
L_goes_down_False_mab_virus_55.0|322,795.286824212613,
L_goes_down_False_mab_virus_55.0|65,792.656676655486,
L_goes_down_False_mab_virus_55.0|69,788.012201616501,
L_goes_down_False_mab_virus_6.0|233,788.09258101991,
L_goes_down_False_mab_virus_6.0|42,791.420367922331,
L_goes_down_False_mab_virus_6.0|71,791.788870958649,
L_goes_down_False_mab_virus_6.0|73,792.487764714255,
L_goes_down_False_mab_virus_6.0|99,792.528437471205,
L_goes_down_False_mab_virus_63.0|42,780.302577069211,
L_goes_down_False_mab_virus_63.0|99,792.360498586181,
L_goes_down_False_mab_virus_65.0|103,789.079334288571,
L_goes_down_False_mab_virus_65.0|162,784.270666644352,
L_goes_down_False_mab_virus_65.0|174,790.809301491004,
L_goes_down_False_mab_virus_65.0|218,794.672711052434,
L_goes_down_False_mab_virus_65.0|274,790.182085962383,
L_goes_down_False_mab_virus_65.0|276,790.1074893341,
L_goes_down_False_mab_virus_65.0|292,791.669139367045,
L_goes_down_False_mab_virus_65.0|319,790.43762532125,
L_goes_down_False_mab_virus_65.0|322,793.015477347908,
L_goes_down_False_mab_virus_65.0|65,787.85902087797,
L_goes_down_False_mab_virus_65.0|69,795.080489773919,
L_goes_down_False_mab_virus_69.0|103,786.796114608208,
L_goes_down_False_mab_virus_69.0|162,786.849371283253,
L_goes_down_False_mab_virus_69.0|174,790.665698987838,
L_goes_down_False_mab_virus_69.0|218,787.101145436776,
L_goes_down_False_mab_virus_69.0|233,788.402179542097,
L_goes_down_False_mab_virus_69.0|274,790.216090888048,
L_goes_down_False_mab_virus_69.0|276,787.424536462562,
L_goes_down_False_mab_virus_69.0|292,789.01994770244,
L_goes_down_False_mab_virus_69.0|319,787.877415040113,
L_goes_down_False_mab_virus_69.0|322,788.039091851751,
L_goes_down_False_mab_virus_69.0|42,788.181402356689,
L_goes_down_False_mab_virus_69.0|65,786.49767268229,
L_goes_down_False_mab_virus_69.0|69,790.623479295329,
L_goes_down_False_mab_virus_69.0|71,789.434106125448,
L_goes_down_False_mab_virus_69.0|73,789.698419770543,
L_goes_down_False_mab_virus_69.0|99,787.630268214361,
L_goes_down_False_mab_virus_70.0|274,793.885833621264,
L_goes_down_True_mab_virus_22.0|103,794.351886997465,
L_goes_down_True_mab_virus_22.0|162,793.219401675225,
L_goes_down_True_mab_virus_22.0|174,796.227032873119,
L_goes_down_True_mab_virus_22.0|218,789.709459400171,
L_goes_down_True_mab_virus_22.0|274,794.928310840194,
L_goes_down_True_mab_virus_22.0|276,790.068423749104,
L_goes_down_True_mab_virus_22.0|292,792.387159332352,
L_goes_down_True_mab_virus_22.0|319,792.344010024524,
L_goes_down_True_mab_virus_22.0|322,791.638718613894,
L_goes_down_True_mab_virus_22.0|65,788.205095921258,
L_goes_down_True_mab_virus_22.0|69,794.669698385811,
L_goes_down_True_mab_virus_28.0|103,791.465409745904,
L_goes_down_True_mab_virus_28.0|162,793.082655289538,
L_goes_down_True_mab_virus_28.0|174,792.185911717212,
L_goes_down_True_mab_virus_28.0|218,797.218377030554,
L_goes_down_True_mab_virus_28.0|274,790.013653382971,
L_goes_down_True_mab_virus_28.0|276,800.997383027708,
L_goes_down_True_mab_virus_28.0|292,788.795679613694,
L_goes_down_True_mab_virus_28.0|319,787.541389721204,
L_goes_down_True_mab_virus_28.0|322,790.431210888763,
L_goes_down_True_mab_virus_28.0|65,794.901182887176,
L_goes_down_True_mab_virus_28.0|69,796.431278951538,
L_goes_down_True_mab_virus_32.0|103,798.023447575625,
L_goes_down_True_mab_virus_32.0|162,795.045911549464,
L_goes_down_True_mab_virus_32.0|174,793.725610412888,
L_goes_down_True_mab_virus_32.0|218,793.359261462635,
L_goes_down_True_mab_virus_32.0|274,789.224759655541,
L_goes_down_True_mab_virus_32.0|276,791.218972340046,
L_goes_down_True_mab_virus_32.0|292,794.620015539972,
L_goes_down_True_mab_virus_32.0|319,789.218744095543,
L_goes_down_True_mab_virus_32.0|322,794.86202440771,
L_goes_down_True_mab_virus_32.0|65,795.275447237654,
L_goes_down_True_mab_virus_32.0|69,789.517159205095,
L_goes_down_True_mab_virus_44.0|99,799.576919845831,
L_goes_down_True_mab_virus_55.0|103,793.799617738882,
L_goes_down_True_mab_virus_55.0|162,792.838595882264,
L_goes_down_True_mab_virus_55.0|174,793.51119814643,
L_goes_down_True_mab_virus_55.0|218,796.08290265123,
