id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,1,795.745,-12.9415,3.82303,2.10825e-11,1.00676,1,795.745,-4.6431,0.741078,2.11313e-11,1.02157,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,1,795.745,-11.1236,2.70607,2.10825e-11,1.00676,1,795.745,-3.68604,0.625164,2.11313e-11,1.02157,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,1,795.745,-12.8268,2.85098,2.10825e-11,1.00676,1,795.745,-3.59937,0.723678,2.11313e-11,1.02157,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,1,795.745,-15.8202,2.26076,2.10825e-11,1.00676,1,795.745,-3.6134,0.710472,2.11313e-11,1.02157,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,1,795.745,-12.5482,11.0066,2.10825e-11,1.00676,1,795.745,-4.04609,0.678043,2.11313e-11,1.02157,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1,795.745,-15.5031,2.35645,2.10825e-11,1.00676,1,795.745,-3.9275,0.663665,2.11313e-11,1.02157,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,1,795.745,-17.4531,3.41341,2.10825e-11,1.00676,1,795.745,-3.60434,0.690688,2.11313e-11,1.02157,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,1,795.745,-17.2741,1.60067,2.10825e-11,1.00676,1,795.745,-3.60004,0.728505,2.11313e-11,1.02157,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,1,795.745,-13.5404,5.56157,2.10825e-11,1.00676,1,795.745,-3.71964,0.634526,2.11313e-11,1.02157,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,1,795.745,-13.4567,4.3057,2.10825e-11,1.00676,1,795.745,-3.72668,0.651427,2.11313e-11,1.02157,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,1,788.823,2.47712,3.13265,2.10825e-11,1.00676,1,788.823,-4.46492e-08,1,2.11313e-11,1.02157,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,1,788.823,0.756917,6.95493,2.10825e-11,1.00676,1,788.823,4.73585e-07,1,2.11313e-11,1.02157,False,69.0|274,411
