parameter,value,CV
U_pop,1,
beta_U_run_id_1042,1204.86496809783,
beta_U_run_id_1043,-1.43605891596567e-07,
beta_U_run_id_1056,4222.4998738614,
beta_U_run_id_1099,-1.19364970568422e-07,
beta_U_run_id_1159,2299.58075869309,
beta_U_run_id_1197,1953.46754534123,
beta_U_run_id_1241,3261.67960683798,
beta_U_run_id_1260,2.95476515778006e-06,
beta_U_run_id_152,1984.52012752172,
beta_U_run_id_183,1.30910345698823e-06,
beta_U_run_id_291,1771.01656795789,
beta_U_run_id_297,1.5155521507055e-06,
beta_U_run_id_322,-6.97766565531043e-05,
beta_U_run_id_394,-1.97019249284273e-07,
beta_U_run_id_411,9.91032715782911e-09,
beta_U_run_id_433,3.73790737334759e-06,
beta_U_run_id_462,2280.31880593393,
beta_U_run_id_474,3929.1081043044,
beta_U_run_id_488,1791.08763693396,
beta_U_run_id_491,4.26185645437447e-08,
beta_U_run_id_555,1.29089603374819e-05,
beta_U_run_id_611,-4.16684120566882e-09,
beta_U_run_id_705,-5.77875008100593e-09,
beta_U_run_id_719,1840.36559038556,
beta_U_run_id_745,-1.4462255647204e-09,
beta_U_run_id_75,-4.25416631268876e-08,
beta_U_run_id_77,1.15984361194609e-06,
beta_U_run_id_783,9.09622685084072e-07,
beta_U_run_id_84,1.84346064627046e-05,
beta_U_run_id_847,4.18627886385972e-08,
beta_U_run_id_863,8.59866081475211e-05,
beta_U_run_id_963,0.000437603949299299,
L_pop,792.54553698751,
beta_L_goes_down_True,-0.172679092413008,
beta_L_mab_virus_22_0_162,1.28268241586784,
beta_L_mab_virus_22_0_174,0.533879294448752,
beta_L_mab_virus_22_0_218,-5.43702014523183,
beta_L_mab_virus_22_0_274,1.972282998727,
beta_L_mab_virus_22_0_276,1.07610044985131,
beta_L_mab_virus_22_0_292,1.42689295355149,
beta_L_mab_virus_22_0_319,3.83679413664527,
beta_L_mab_virus_22_0_322,-0.3581436163945,
beta_L_mab_virus_22_0_65,-6.03961314801404,
beta_L_mab_virus_22_0_69,1.25052047373697,
beta_L_mab_virus_28_0_103,0.452957600075251,
beta_L_mab_virus_28_0_162,1.04976271281657,
beta_L_mab_virus_28_0_174,0.286101539170431,
beta_L_mab_virus_28_0_218,3.50261685368491,
beta_L_mab_virus_28_0_274,-3.77780713141578,
beta_L_mab_virus_28_0_276,8.94932524011142,
beta_L_mab_virus_28_0_292,-1.10787619669759,
