id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,0,-1.8114e-09,0.991649,3.02866e-10,0,0,0,0,-2.34923e-13,1.01095,1.5854e-13,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,0,3.14183e-09,1.24782,-1.40871e-09,0,0,0,0,1.53655e-13,1.25138,-9.81437e-14,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,0,5.27388e-09,0.857642,-1.52712e-09,0,0,0,0,-2.86438e-14,0.887368,-1.95399e-14,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,0,3.53912e-09,0.847481,-2.88315e-09,0,0,0,0,2.75335e-14,0.890927,8.21565e-14,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,0,1.73218e-10,1.14295,2.17308e-09,0,0,0,0,-5.68434e-13,1.12496,1.42553e-13,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,0,4.30607e-09,1.13832,-1.72763e-09,0,0,0,0,-1.04139e-13,1.14605,-2.75335e-13,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,0,-7.61917e-09,0.924338,5.67359e-09,0,0,0,0,8.83738e-14,0.962648,1.07914e-13,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,0,7.26271e-10,0.826834,3.81631e-09,0,0,0,0,2.67342e-13,0.864094,-1.3145e-13,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,0,-1.04397e-08,1.18415,-3.53153e-09,0,0,0,0,3.9968e-15,1.20608,-1.19016e-13,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,0,6.62884e-09,1.10201,-2.10217e-09,0,0,0,0,-1.66978e-13,1.11548,-1.12799e-13,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,0,-1.33015e-09,0.16488,6.00966e-10,0,0,0,0,1.42109e-14,1.01774e-07,4.85723e-16,0,0,False,69.0|274,411
