rep,id,U,L,L_gap,h,f,alpha,k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,83918,497.073,4.38767,1.05103,0.171399,1.26743e-06,1.00239e-09,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,83918,497.073,4.38767,1.33732,0.171399,1.26743e-06,1.00239e-09,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,83918,497.073,4.38767,0.916853,0.171399,1.26743e-06,1.00239e-09,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,83918,497.073,4.38767,1.05367,0.171399,1.26743e-06,1.00239e-09,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,83918,497.073,4.38767,1.15108,0.171399,1.26743e-06,1.00239e-09,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,83918,497.073,4.38767,1.1739,0.171399,1.26743e-06,1.00239e-09,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,83918,497.073,4.38767,0.94657,0.171399,1.26743e-06,1.00239e-09,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,83918,497.073,4.38767,0.993789,0.171399,1.26743e-06,1.00239e-09,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,83918,497.073,4.38767,1.18043,0.171399,1.26743e-06,1.00239e-09,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,83918,497.073,4.38767,0.963556,0.171399,1.26743e-06,1.00239e-09,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,83918,497.073,3.98942,0.95339,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,83918,497.073,3.98942,-1.5491,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,83918,497.073,3.98942,0.261344,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,83918,497.073,3.98942,0.567915,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,83918,497.073,3.98942,-2.60593,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,83918,497.073,3.98942,-2.08797,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,83918,497.073,3.98942,0.436146,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,83918,497.073,3.98942,3.58875,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,83918,497.073,3.98942,2.91587,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,83918,497.073,3.98942,0.038599,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,83918,497.073,3.98942,2.0335,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,83918,497.073,3.98942,0.0744957,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,83918,497.073,3.98942,-0.855985,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,83918,497.073,3.98942,-2.73815,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,83918,497.073,3.98942,-0.237564,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,83918,497.073,3.98942,0.0692526,1.08515,1.26743e-06,1.00239e-09,False,69.0|274,411
1,14|783|14|783|sample|3|71|3|71|6.0,83918,497.069,1.51943,0.0696887,0.0221887,1.26743e-06,1.00231e-09,True,6.0|71,783
1,14|783|14|783|sample|4|71|4|71|6.0,83918,497.069,1.51943,0.0764813,0.0221887,1.26743e-06,1.00231e-09,True,6.0|71,783
1,14|783|14|783|sample|5|71|5|71|6.0,83918,497.069,1.51943,0.20612,0.0221887,1.26743e-06,1.00231e-09,True,6.0|71,783
1,14|783|14|783|sample|6|71|6|71|6.0,83918,497.069,1.51943,0.135905,0.0221887,1.26743e-06,1.00231e-09,True,6.0|71,783
1,14|783|14|783|sample|7|71|7|71|6.0,83918,497.069,1.51943,1.16069,0.0221887,1.26743e-06,1.00231e-09,True,6.0|71,783
1,14|783|14|783|sample|8|71|8|71|6.0,83918,497.069,1.51943,1.04048,0.0221887,1.26743e-06,1.00231e-09,True,6.0|71,783
1,14|783|14|783|sample|10|71|10|71|6.0,83918,497.069,1.51943,0.160929,0.0221887,1.26743e-06,1.00231e-09,True,6.0|71,783
1,14|783|14|783|sample|9|71|9|71|6.0,83918,497.069,1.51943,0.103967,0.0221887,1.26743e-06,1.00231e-09,True,6.0|71,783
1,14|783|14|783|sample|12|71|12|71|6.0,83918,497.069,1.51943,1.66531,0.0221887,1.26743e-06,1.00231e-09,True,6.0|71,783
1,14|783|14|783|sample|11|71|11|71|6.0,83918,497.069,1.51943,1.85995,0.0221887,1.26743e-06,1.00231e-09,True,6.0|71,783
1,14|783|14|783|cc|1|1|71|1|71|69.0,83918,497.069,1.73809,-2.48987,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|cc|2|1|71|1|71|69.0,83918,497.069,1.73809,-2.01554,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|cc|3|1|71|1|71|69.0,83918,497.069,1.73809,0.945287,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|cc|4|1|71|1|71|69.0,83918,497.069,1.73809,-0.830465,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|cc|5|1|71|1|71|69.0,83918,497.069,1.73809,-1.18372,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|cc|6|1|71|1|71|69.0,83918,497.069,1.73809,-1.42006,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|cc|7|1|71|1|71|69.0,83918,497.069,1.73809,-3.44497,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|cc|8|1|71|1|71|69.0,83918,497.069,1.73809,-0.506421,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|vc|1|2|71|2|71|69.0,83918,497.069,1.73809,1.40967,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|vc|2|2|71|2|71|69.0,83918,497.069,1.73809,1.20531,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|vc|3|2|71|2|71|69.0,83918,497.069,1.73809,3.07589,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|vc|4|2|71|2|71|69.0,83918,497.069,1.73809,-2.22384,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|vc|5|2|71|2|71|69.0,83918,497.069,1.73809,-1.87955,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|vc|6|2|71|2|71|69.0,83918,497.069,1.73809,0.086484,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|vc|7|2|71|2|71|69.0,83918,497.069,1.73809,1.14715,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|783|14|783|vc|8|2|71|2|71|69.0,83918,497.069,1.73809,-0.434331,1.19861,1.26743e-06,1.00231e-09,False,69.0|71,783
1,14|491|14|491|sample|10|99|10|99|6.0,83918,273.459,0.183843,2.25483,0.011856,1.26743e-06,1.00249e-09,True,6.0|99,491
1,14|491|14|491|sample|9|99|9|99|6.0,83918,273.459,0.183843,1.87461,0.011856,1.26743e-06,1.00249e-09,True,6.0|99,491
1,14|491|14|491|sample|12|99|12|99|6.0,83918,273.459,0.183843,1.04089,0.011856,1.26743e-06,1.00249e-09,True,6.0|99,491
1,14|491|14|491|sample|11|99|11|99|6.0,83918,273.459,0.183843,0.953061,0.011856,1.26743e-06,1.00249e-09,True,6.0|99,491
1,14|491|14|491|sample|4|99|4|99|44.0,83918,273.459,0.347105,1.17033,0.0252908,1.26743e-06,1.00249e-09,True,44.0|99,491
1,14|491|14|491|sample|3|99|3|99|44.0,83918,273.459,0.347105,1.11142,0.0252908,1.26743e-06,1.00249e-09,True,44.0|99,491
1,14|491|14|491|sample|6|99|6|99|44.0,83918,273.459,0.347105,0.771949,0.0252908,1.26743e-06,1.00249e-09,True,44.0|99,491
1,14|491|14|491|sample|5|99|5|99|44.0,83918,273.459,0.347105,0.935042,0.0252908,1.26743e-06,1.00249e-09,True,44.0|99,491
1,14|491|14|491|sample|7|99|7|99|63.0,83918,273.459,0.75849,1.39708,0.00147085,1.26743e-06,1.00249e-09,True,63.0|99,491
1,14|491|14|491|sample|8|99|8|99|63.0,83918,273.459,0.75849,1.29235,0.00147085,1.26743e-06,1.00249e-09,True,63.0|99,491
1,14|491|14|491|cc|1|1|99|1|99|69.0,83918,273.459,4.5928,1.18498,1.57945,1.26743e-06,1.00249e-09,False,69.0|99,491
1,14|491|14|491|cc|2|1|99|1|99|69.0,83918,273.459,4.5928,-0.93745,1.57945,1.26743e-06,1.00249e-09,False,69.0|99,491
