parameter,value,CV
U_pop,83917.9623300965,
beta_U_run_id_1042,2.44646504106365e-06,
beta_U_run_id_1043,-0.038805447089652,
beta_U_run_id_1056,0.00560195728956966,
beta_U_run_id_1099,1.81658169821238e-05,
beta_U_run_id_1159,-6.37804289726915e-07,
beta_U_run_id_1197,5.21884272553571e-06,
beta_U_run_id_1241,-4.91962620206976e-06,
beta_U_run_id_1260,-0.00123490114538476,
beta_U_run_id_152,7.12400288489389e-06,
beta_U_run_id_183,-0.00180838655604795,
beta_U_run_id_291,1.02302177277686e-05,
beta_U_run_id_297,0.000341777138185018,
beta_U_run_id_322,3.24253447061798e-06,
beta_U_run_id_394,-0.000509828231270821,
beta_U_run_id_411,6.46119981681652e-06,
beta_U_run_id_433,0.000491821880544764,
beta_U_run_id_462,0.0202390064507884,
beta_U_run_id_474,0.00926882076795928,
beta_U_run_id_488,4.28407272892087e-05,
beta_U_run_id_491,-0.00309902199313061,
beta_U_run_id_555,-0.000322471301947246,
beta_U_run_id_611,-0.00355029142893863,
beta_U_run_id_705,-0.000985404467439174,
beta_U_run_id_719,-0.00122178578551387,
beta_U_run_id_745,-0.000847200875448649,
beta_U_run_id_75,-0.00163526072186886,
beta_U_run_id_77,-0.00228623101322143,
beta_U_run_id_783,0.000670230226055089,
beta_U_run_id_84,-0.00776230173135777,
beta_U_run_id_847,-2.32035734548822e-06,
beta_U_run_id_863,3.45691514833477e-06,
beta_U_run_id_963,-0.000177166974540842,
L_pop,497.073085628835,
beta_L_run_id_1042,-4.86170888950459e-07,
beta_L_run_id_1043,-74.5270902282413,
beta_L_run_id_1056,-3.8317436590228e-07,
beta_L_run_id_1099,-0.0182401620085032,
beta_L_run_id_1159,-3.25166757705881e-07,
beta_L_run_id_1197,0.00536738492263117,
beta_L_run_id_1241,-2.45453143248145e-07,
beta_L_run_id_1260,4.39591220026262e-07,
beta_L_run_id_152,0.0146684634652774,
beta_L_run_id_183,-0.00358831217295279,
beta_L_run_id_291,8.23762746108709e-06,
beta_L_run_id_297,-0.00952293931257134,
beta_L_run_id_322,-0.0024252951994349,
beta_L_run_id_394,8.92475141048908e-07,
beta_L_run_id_411,-2.34432113276421e-07,
beta_L_run_id_433,-0.00138117155139599,
beta_L_run_id_462,0.0453179550097411,
beta_L_run_id_474,-4.57152721137798e-08,
beta_L_run_id_488,154.545527777054,
beta_L_run_id_491,-223.614373081026,
beta_L_run_id_555,-0.00595438852344956,
beta_L_run_id_611,-0.00350827826679216,
beta_L_run_id_705,-190.2751990907,
beta_L_run_id_719,-3.38220750547944e-07,
beta_L_run_id_745,5.29784061218335e-07,
beta_L_run_id_75,-0.000120346820620344,
beta_L_run_id_77,-0.125034466176672,
beta_L_run_id_783,-0.0035903553864627,
beta_L_run_id_84,0.0383723595798169,
beta_L_run_id_847,0.017281272724341,
beta_L_run_id_863,-6.67738443343224e-07,
beta_L_run_id_963,2.51966560041489e-07,
L_gap_pop,4.71142969219371,
beta_L_gap_goes_down_True,-2.46454978398608,
beta_L_gap_mab_virus_22_0_162,-1.12533724245086,
beta_L_gap_mab_virus_22_0_174,1.55042655899568,
beta_L_gap_mab_virus_22_0_218,-1.68558578793105,
beta_L_gap_mab_virus_22_0_274,-1.00321627295794,
beta_L_gap_mab_virus_22_0_276,2.60630705452744,
beta_L_gap_mab_virus_22_0_292,0.411759249423611,
beta_L_gap_mab_virus_22_0_319,0.744291633952558,
beta_L_gap_mab_virus_22_0_322,0.71940014553132,
beta_L_gap_mab_virus_22_0_65,-1.98799074956092,
beta_L_gap_mab_virus_22_0_69,-0.499646908495918,
beta_L_gap_mab_virus_28_0_103,0.815054068410388,
beta_L_gap_mab_virus_28_0_162,0.797748510839119,
beta_L_gap_mab_virus_28_0_174,0.846963199368624,
beta_L_gap_mab_virus_28_0_218,-1.26027434383269,
beta_L_gap_mab_virus_28_0_274,-0.336032774239143,
beta_L_gap_mab_virus_28_0_276,2.48240493085938,
beta_L_gap_mab_virus_28_0_292,-0.393535924663607,
beta_L_gap_mab_virus_28_0_319,0.00520315222735901,
beta_L_gap_mab_virus_28_0_322,0.898418393150471,
beta_L_gap_mab_virus_28_0_65,0.979757943178365,
beta_L_gap_mab_virus_28_0_69,1.65241938965111,
beta_L_gap_mab_virus_32_0_103,1.98136141764346,
beta_L_gap_mab_virus_32_0_162,-0.161691451002371,
beta_L_gap_mab_virus_32_0_174,0.816079351173653,
beta_L_gap_mab_virus_32_0_218,1.00512028427562,
beta_L_gap_mab_virus_32_0_274,-0.810317353985604,
beta_L_gap_mab_virus_32_0_276,2.52622529965222,
beta_L_gap_mab_virus_32_0_292,0.0375748953942203,
beta_L_gap_mab_virus_32_0_319,0.870937942599635,
beta_L_gap_mab_virus_32_0_322,2.96513335033175,
beta_L_gap_mab_virus_32_0_65,2.09248473972366,
beta_L_gap_mab_virus_32_0_69,0.866297770862192,
beta_L_gap_mab_virus_44_0_99,-0.143569255231995,
beta_L_gap_mab_virus_55_0_103,1.7273935345989,
beta_L_gap_mab_virus_55_0_162,2.41574627227176,
beta_L_gap_mab_virus_55_0_174,0.756322758640405,
beta_L_gap_mab_virus_55_0_218,2.55169760725722,
beta_L_gap_mab_virus_55_0_274,-0.278683454312135,
beta_L_gap_mab_virus_55_0_276,2.84688450138646,
beta_L_gap_mab_virus_55_0_292,2.54319980874542,
beta_L_gap_mab_virus_55_0_319,1.73167361664142,
beta_L_gap_mab_virus_55_0_322,1.60423972505613,
beta_L_gap_mab_virus_55_0_65,1.6808411441107,
beta_L_gap_mab_virus_55_0_69,2.30390786294777,
beta_L_gap_mab_virus_6_0_233,0.671271085423836,
beta_L_gap_mab_virus_6_0_42,1.86088208780152,
beta_L_gap_mab_virus_6_0_71,1.33289432078128,
beta_L_gap_mab_virus_6_0_73,3.08072454256646,
