rep,id,U,L,L_gap,h,f,alpha,k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,1.20459,0.0265346,1.06829,-1.46705,0.0884327,1.84683e-05,1.42185e-10,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,1.20459,0.0265346,1.06829,-1.46705,0.0884327,1.84683e-05,1.42185e-10,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,1.20459,0.0265346,1.06829,-1.46705,0.0884327,1.84683e-05,1.42185e-10,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,1.20459,0.0265346,1.06829,-1.46705,0.0884327,1.84683e-05,1.42185e-10,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,1.20459,0.0265346,1.06829,-1.46705,0.0884327,1.84683e-05,1.42185e-10,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,1.20459,0.0265346,1.06829,-1.46705,0.0884327,1.84683e-05,1.42185e-10,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,1.20459,0.0265346,1.06829,-1.46705,0.0884327,1.84683e-05,1.42185e-10,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,1.20459,0.0265346,1.06829,-1.46705,0.0884327,1.84683e-05,1.42185e-10,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,1.20459,0.0265346,1.06829,-1.46705,0.0884327,1.84683e-05,1.42185e-10,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,1.20459,0.0265346,1.06829,-1.46705,0.0884327,1.84683e-05,1.42185e-10,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751493,1.84683e-05,1.42185e-10,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,1.20459,0.0265346,7.21885,0.993391,0.751494,1.84683e-05,1.42185e-10,False,69.0|274,411
1,14|783|14|783|sample|3|71|3|71|6.0,0.999999,0.0265303,0.905485,-3.58646,0.219732,1.84688e-05,1.42184e-10,True,6.0|71,783
1,14|783|14|783|sample|4|71|4|71|6.0,0.999999,0.0265303,0.905485,-3.58646,0.219732,1.84688e-05,1.42184e-10,True,6.0|71,783
1,14|783|14|783|sample|5|71|5|71|6.0,0.999999,0.0265303,0.905485,-3.58646,0.219732,1.84688e-05,1.42184e-10,True,6.0|71,783
1,14|783|14|783|sample|6|71|6|71|6.0,0.999999,0.0265303,0.905485,-3.58646,0.219732,1.84688e-05,1.42184e-10,True,6.0|71,783
1,14|783|14|783|sample|7|71|7|71|6.0,0.999999,0.0265303,0.905485,-3.58646,0.219731,1.84688e-05,1.42184e-10,True,6.0|71,783
1,14|783|14|783|sample|8|71|8|71|6.0,0.999999,0.0265303,0.905484,-3.58646,0.219732,1.84688e-05,1.42184e-10,True,6.0|71,783
1,14|783|14|783|sample|10|71|10|71|6.0,0.999999,0.0265303,0.905484,-3.58646,0.219731,1.84688e-05,1.42184e-10,True,6.0|71,783
1,14|783|14|783|sample|9|71|9|71|6.0,0.999999,0.0265303,0.905485,-3.58646,0.219732,1.84688e-05,1.42184e-10,True,6.0|71,783
1,14|783|14|783|sample|12|71|12|71|6.0,0.999999,0.0265303,0.905484,-3.58646,0.219731,1.84688e-05,1.42184e-10,True,6.0|71,783
1,14|783|14|783|sample|11|71|11|71|6.0,0.999999,0.0265303,0.905485,-3.58646,0.219731,1.84688e-05,1.42184e-10,True,6.0|71,783
1,14|783|14|783|cc|1|1|71|1|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|cc|2|1|71|1|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|cc|3|1|71|1|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|cc|4|1|71|1|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|cc|5|1|71|1|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|cc|6|1|71|1|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|cc|7|1|71|1|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|cc|8|1|71|1|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|vc|1|2|71|2|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|vc|2|2|71|2|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|vc|3|2|71|2|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|vc|4|2|71|2|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|vc|5|2|71|2|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|vc|6|2|71|2|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|vc|7|2|71|2|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|783|14|783|vc|8|2|71|2|71|69.0,0.999999,0.0265303,1.56228,1.22812,1.08975,1.84688e-05,1.42184e-10,False,69.0|71,783
1,14|491|14|491|sample|10|99|10|99|6.0,1.0896,0.011871,0.686901,-1.76563,0.0282276,1.84686e-05,1.42183e-10,True,6.0|99,491
1,14|491|14|491|sample|9|99|9|99|6.0,1.0896,0.011871,0.686901,-1.76563,0.0282276,1.84686e-05,1.42183e-10,True,6.0|99,491
1,14|491|14|491|sample|12|99|12|99|6.0,1.0896,0.011871,0.686901,-1.76563,0.0282276,1.84686e-05,1.42183e-10,True,6.0|99,491
1,14|491|14|491|sample|11|99|11|99|6.0,1.0896,0.011871,0.686901,-1.76563,0.0282276,1.84686e-05,1.42183e-10,True,6.0|99,491
1,14|491|14|491|sample|4|99|4|99|44.0,1.0896,0.011871,0.792567,-3.18242,0.0231218,1.84686e-05,1.42183e-10,True,44.0|99,491
1,14|491|14|491|sample|3|99|3|99|44.0,1.0896,0.011871,0.792567,-3.18242,0.0231218,1.84686e-05,1.42183e-10,True,44.0|99,491
1,14|491|14|491|sample|6|99|6|99|44.0,1.0896,0.011871,0.792567,-3.18242,0.0231218,1.84686e-05,1.42183e-10,True,44.0|99,491
1,14|491|14|491|sample|5|99|5|99|44.0,1.0896,0.011871,0.792567,-3.18242,0.0231218,1.84686e-05,1.42183e-10,True,44.0|99,491
1,14|491|14|491|sample|7|99|7|99|63.0,1.0896,0.011871,1.12922,-2.73748,0.000469268,1.84686e-05,1.42183e-10,True,63.0|99,491
1,14|491|14|491|sample|8|99|8|99|63.0,1.0896,0.011871,1.12922,-2.73748,0.000469268,1.84686e-05,1.42183e-10,True,63.0|99,491
1,14|491|14|491|cc|1|1|99|1|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|cc|2|1|99|1|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|cc|3|1|99|1|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|cc|4|1|99|1|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|cc|5|1|99|1|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|cc|6|1|99|1|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|cc|7|1|99|1|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|cc|8|1|99|1|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|vc|1|2|99|2|99|69.0,1.0896,0.011871,6.64727,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|vc|2|2|99|2|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|vc|3|2|99|2|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|vc|4|2|99|2|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|vc|5|2|99|2|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|vc|6|2|99|2|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|vc|7|2|99|2|99|69.0,1.0896,0.011871,6.64728,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|491|14|491|vc|8|2|99|2|99|69.0,1.0896,0.011871,6.64727,1.79272,1.5888,1.84686e-05,1.42183e-10,False,69.0|99,491
1,14|433|14|433|sample|4|99|4|99|6.0,1.42133,0.0157622,0.686901,-1.76563,0.0282276,1.84677e-05,1.42185e-10,True,6.0|99,433
1,14|433|14|433|sample|3|99|3|99|6.0,1.42133,0.0157622,0.686901,-1.76563,0.0282276,1.84677e-05,1.42185e-10,True,6.0|99,433
