rep,id,eta_U,eta_L,eta_L_gap,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0,0,-3.83073e-08,-12.403,-1.02074e-07,0,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0,0,-1.51956e-08,-7.51693,4.66134e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0,0,1.14717e-08,-13.9765,3.97672e-09,0,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0,0,-3.5635e-08,-0.10623,-4.89063e-09,0,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0,0,-9.17058e-09,-9.15735,-1.58071e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0,0,2.6865e-08,-4.78206,-4.24839e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0,0,-6.38973e-08,-7.60732,-2.17384e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0,0,2.39159e-09,0.106443,-3.26076e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0,0,4.93494e-08,-6.83182,3.4796e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0,0,1.52478e-08,-13.9618,-7.23892e-09,0,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0,0,8.32119e-09,-10.6382,8.78186e-09,0,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0,0,-1.90577e-10,-7.33638,-7.29541e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0,0,2.73476e-08,0.66366,1.12531e-07,0,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0,0,6.95865e-09,4.73509,-7.39501e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0,0,9.91451e-09,3.81667,-2.72999e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0,0,-2.30441e-09,13.3324,-6.72594e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0,0,1.98116e-08,9.71922,-4.664e-09,0,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0,0,-1.96693e-08,-6.88113,1.4076e-07,0,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0,0,4.72958e-09,-3.98997,-6.47358e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0,0,5.73684e-08,26.6359,-5.9015e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0,0,-1.69169e-08,-5.28664,-5.76729e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0,0,2.53939e-08,21.4702,6.21678e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0,0,1.28729e-08,-6.35235,4.32263e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0,0,2.1256e-08,7.99368,-2.71093e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0,0,4.53707e-08,-7.23876,-7.76588e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0,0,-4.83491e-08,2.62291,-3.93866e-08,0,0,False,69.0|274,411
1,14|783|14|783|sample|3|71|3|71|6.0,0,0,1.45975e-08,-12.1733,-1.31473e-07,0,0,True,6.0|71,783
1,14|783|14|783|sample|4|71|4|71|6.0,0,0,-6.11974e-09,-1.37412,5.68216e-09,0,0,True,6.0|71,783
1,14|783|14|783|sample|5|71|5|71|6.0,0,0,2.30599e-09,-0.808133,1.15299e-08,0,0,True,6.0|71,783
1,14|783|14|783|sample|6|71|6|71|6.0,0,0,-2.90732e-08,-5.35941,2.98065e-08,0,0,True,6.0|71,783
1,14|783|14|783|sample|7|71|7|71|6.0,0,0,5.01727e-08,-11.1682,1.21326e-08,0,0,True,6.0|71,783
