id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,0,3.75055e-09,-6.33472,-0.975698,0,0,0,0,-2.30371e-15,-2.25666,-1.16607,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,0,9.67228e-10,-6.12144,-1.28501,0,0,0,0,-1.38778e-15,-2.2649,-1.63425,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,0,6.4909e-09,-5.88116,-0.45364,0,0,0,0,-5.88418e-15,-2.04044,-1.18381,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,0,7.90684e-09,-5.75214,-0.618524,0,0,0,0,-4.91274e-15,-2.27669,-1.12462,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,0,-1.29482e-09,-5.67749,-1.25053,0,0,0,0,-1.36002e-15,-2.27007,-1.41067,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,0,-1.42947e-09,-4.23582,-1.02518,0,0,0,0,1.33227e-15,-2.36025,-1.42793,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,0,-7.73818e-09,-4.45052,-0.814582,0,0,0,0,-2.19269e-15,-2.34995,-1.15472,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,0,-3.5936e-09,-6.62124,-0.481198,0,0,0,0,1.52656e-15,-2.11557,-1.13375,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,0,2.13633e-09,-6.54399,-1.24561,0,0,0,0,-1.17684e-14,-2.09157,-1.67816,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,0,-4.67469e-09,-4.97458,-1.00875,0,0,0,0,-4.19109e-15,-2.26843,-1.50873,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,0,1.03777e-10,0.417558,-0.0812061,0,0,0,0,-4.44089e-16,-4.49579e-07,2.12995e-08,0,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,0,1.47727e-09,1.03638,0.214625,0,0,0,0,8.88178e-16,1.35351e-07,1.49045e-07,0,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,0,2.59549e-09,-1.22618,0.508565,0,0,0,0,0,-3.78863e-07,-6.93817e-08,0,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,0,7.5354e-10,-1.00801,0.112028,0,0,0,0,-8.88178e-16,2.26054e-07,7.96858e-08,0,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,0,-1.49807e-09,-0.286455,-0.168464,0,0,0,0,2.66454e-15,5.11895e-09,-8.04689e-08,0,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,0,1.64485e-10,0.679038,0.641437,0,0,0,0,1.33227e-15,5.35461e-07,-1.8037e-07,0,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,0,9.04388e-10,-0.78844,-0.144949,0,0,0,0,0,6.24876e-07,2.35341e-07,0,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,0,5.20912e-09,-0.0318107,0.0759197,0,0,0,0,4.88498e-15,-1.02553e-07,8.76345e-08,0,0,False,69.0|274,411
