id,importanceSampling
9|411|9|411|sample|4|274|4|274|70.0,185.028920
9|411|9|411|sample|3|274|3|274|70.0,183.807213
9|411|9|411|sample|5|274|5|274|70.0,193.745243
9|411|9|411|sample|6|274|6|274|70.0,194.444114
9|411|9|411|sample|8|274|8|274|70.0,184.285906
9|411|9|411|sample|7|274|7|274|70.0,184.189103
9|411|9|411|sample|9|274|9|274|70.0,193.799983
9|411|9|411|sample|10|274|10|274|70.0,194.049803
9|411|9|411|sample|12|274|12|274|70.0,183.512537
9|411|9|411|sample|11|274|11|274|70.0,184.162876
9|411|9|411|cc|1|1|274|1|274|69.0,16.849692
9|411|9|411|cc|2|1|274|1|274|69.0,17.079854
9|411|9|411|cc|3|1|274|1|274|69.0,16.756974
9|411|9|411|cc|4|1|274|1|274|69.0,-15.517306
9|411|9|411|cc|5|1|274|1|274|69.0,-15.142595
9|411|9|411|cc|6|1|274|1|274|69.0,16.943687
9|411|9|411|cc|7|1|274|1|274|69.0,-15.401443
9|411|9|411|cc|8|1|274|1|274|69.0,-15.029236
9|411|9|411|vc|1|2|274|2|274|69.0,30.935408
9|411|9|411|vc|2|2|274|2|274|69.0,30.674635
9|411|9|411|vc|3|2|274|2|274|69.0,32.443172
9|411|9|411|vc|4|2|274|2|274|69.0,31.103901
9|411|9|411|vc|5|2|274|2|274|69.0,32.230311
9|411|9|411|vc|6|2|274|2|274|69.0,-1.757826
9|411|9|411|vc|7|2|274|2|274|69.0,29.723702
9|411|9|411|vc|8|2|274|2|274|69.0,29.802874
14|783|14|783|sample|3|71|3|71|6.0,198.444637
14|783|14|783|sample|4|71|4|71|6.0,198.159595
14|783|14|783|sample|5|71|5|71|6.0,195.116399
14|783|14|783|sample|6|71|6|71|6.0,195.428094
14|783|14|783|sample|7|71|7|71|6.0,185.997802
14|783|14|783|sample|8|71|8|71|6.0,186.096378
14|783|14|783|sample|10|71|10|71|6.0,198.873490
14|783|14|783|sample|9|71|9|71|6.0,198.834126
14|783|14|783|sample|12|71|12|71|6.0,184.253970
14|783|14|783|sample|11|71|11|71|6.0,184.765343
14|783|14|783|cc|1|1|71|1|71|69.0,15.875603
14|783|14|783|cc|2|1|71|1|71|69.0,15.637496
14|783|14|783|cc|3|1|71|1|71|69.0,15.482391
14|783|14|783|cc|4|1|71|1|71|69.0,15.469684
14|783|14|783|cc|5|1|71|1|71|69.0,15.529338
14|783|14|783|cc|6|1|71|1|71|69.0,15.479545
14|783|14|783|cc|7|1|71|1|71|69.0,15.568473
14|783|14|783|cc|8|1|71|1|71|69.0,15.336780
14|783|14|783|vc|1|2|71|2|71|69.0,34.813116
14|783|14|783|vc|2|2|71|2|71|69.0,35.469124
14|783|14|783|vc|3|2|71|2|71|69.0,34.488206
14|783|14|783|vc|4|2|71|2|71|69.0,34.885570
14|783|14|783|vc|5|2|71|2|71|69.0,32.191919
14|783|14|783|vc|6|2|71|2|71|69.0,32.891769
14|783|14|783|vc|7|2|71|2|71|69.0,33.747998
14|783|14|783|vc|8|2|71|2|71|69.0,30.464722
14|491|14|491|sample|10|99|10|99|6.0,188.677074
14|491|14|491|sample|9|99|9|99|6.0,188.054853
14|491|14|491|sample|12|99|12|99|6.0,188.765371
14|491|14|491|sample|11|99|11|99|6.0,189.580975
