rep,id,eta_U,eta_L,eta_L_gap,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0,0,-2.3682e-08,0.955749,2.91011e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0,0,-3.32886e-09,1.34767,-9.40213e-09,0,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0,0,-7.12556e-08,1.06053,-1.93961e-09,0,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0,0,-9.22842e-09,0.994115,-8.36717e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0,0,-3.52987e-08,1.87248,-3.37177e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0,0,-5.92164e-08,1.29088,-9.55072e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0,0,2.2511e-08,0.714596,1.14288e-09,0,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0,0,3.63465e-08,1.10295,1.84205e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0,0,-3.41268e-08,1.70414,4.951e-08,0,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0,0,2.02678e-08,1.48209,1.11055e-08,0,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0,0,-5.7566e-08,-0.0415921,-1.06581e-07,0,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0,0,4.60607e-08,0.862944,-8.38941e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0,0,-1.87883e-09,0.840362,1.66709e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0,0,1.92324e-08,0.566683,-1.63841e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0,0,-9.54215e-09,-0.0504261,4.78934e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0,0,5.46055e-09,0.806306,8.35776e-09,0,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0,0,-1.65802e-09,-0.781147,-5.00834e-08,0,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0,0,-1.30703e-08,-1.98116,6.75477e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0,0,6.61881e-08,2.02481,-4.17561e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0,0,-2.12171e-08,1.70121,-3.9385e-09,0,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0,0,4.68851e-08,2.60571,2.96226e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0,0,2.05054e-10,-0.408243,-9.34095e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0,0,8.70636e-08,1.62382,-4.29415e-08,0,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0,0,-1.97166e-08,-1.89257,5.19225e-08,0,0,False,69.0|274,411
