id,importanceSampling
9|411|9|411|sample|4|274|4|274|70.0,168.021225
9|411|9|411|sample|3|274|3|274|70.0,164.347369
9|411|9|411|sample|5|274|5|274|70.0,190.049257
9|411|9|411|sample|6|274|6|274|70.0,191.183425
9|411|9|411|sample|8|274|8|274|70.0,165.838501
9|411|9|411|sample|7|274|7|274|70.0,165.701676
9|411|9|411|sample|9|274|9|274|70.0,189.847728
9|411|9|411|sample|10|274|10|274|70.0,190.617443
9|411|9|411|sample|12|274|12|274|70.0,164.264664
9|411|9|411|sample|11|274|11|274|70.0,166.013333
9|411|9|411|cc|1|1|274|1|274|69.0,16.362709
9|411|9|411|cc|2|1|274|1|274|69.0,16.487043
9|411|9|411|cc|3|1|274|1|274|69.0,16.324633
9|411|9|411|cc|4|1|274|1|274|69.0,16.494767
9|411|9|411|cc|5|1|274|1|274|69.0,16.656135
9|411|9|411|cc|6|1|274|1|274|69.0,16.431968
9|411|9|411|cc|7|1|274|1|274|69.0,16.525557
9|411|9|411|cc|8|1|274|1|274|69.0,16.703029
9|411|9|411|vc|1|2|274|2|274|69.0,24.780511
9|411|9|411|vc|2|2|274|2|274|69.0,24.773730
9|411|9|411|vc|3|2|274|2|274|69.0,24.911845
9|411|9|411|vc|4|2|274|2|274|69.0,24.795644
9|411|9|411|vc|5|2|274|2|274|69.0,24.905439
9|411|9|411|vc|6|2|274|2|274|69.0,24.777375
9|411|9|411|vc|7|2|274|2|274|69.0,24.675112
9|411|9|411|vc|8|2|274|2|274|69.0,24.668497
14|783|14|783|sample|3|71|3|71|6.0,197.991467
14|783|14|783|sample|4|71|4|71|6.0,197.904375
14|783|14|783|sample|5|71|5|71|6.0,194.100286
14|783|14|783|sample|6|71|6|71|6.0,194.381948
14|783|14|783|sample|7|71|7|71|6.0,167.437453
14|783|14|783|sample|8|71|8|71|6.0,167.471282
14|783|14|783|sample|10|71|10|71|6.0,198.356131
14|783|14|783|sample|9|71|9|71|6.0,198.369626
14|783|14|783|sample|12|71|12|71|6.0,160.814568
14|783|14|783|sample|11|71|11|71|6.0,161.772108
14|783|14|783|cc|1|1|71|1|71|69.0,15.911155
14|783|14|783|cc|2|1|71|1|71|69.0,15.646373
14|783|14|783|cc|3|1|71|1|71|69.0,15.472147
14|783|14|783|cc|4|1|71|1|71|69.0,15.459710
14|783|14|783|cc|5|1|71|1|71|69.0,15.552820
14|783|14|783|cc|6|1|71|1|71|69.0,15.473220
14|783|14|783|cc|7|1|71|1|71|69.0,15.568077
14|783|14|783|cc|8|1|71|1|71|69.0,15.322009
14|783|14|783|vc|1|2|71|2|71|69.0,25.117843
14|783|14|783|vc|2|2|71|2|71|69.0,25.204924
14|783|14|783|vc|3|2|71|2|71|69.0,25.100831
14|783|14|783|vc|4|2|71|2|71|69.0,25.137724
14|783|14|783|vc|5|2|71|2|71|69.0,24.901917
14|783|14|783|vc|6|2|71|2|71|69.0,24.962136
14|783|14|783|vc|7|2|71|2|71|69.0,25.038301
14|783|14|783|vc|8|2|71|2|71|69.0,24.714474
14|491|14|491|sample|10|99|10|99|6.0,171.034512
14|491|14|491|sample|9|99|9|99|6.0,170.855840
14|491|14|491|sample|12|99|12|99|6.0,178.554060
14|491|14|491|sample|11|99|11|99|6.0,180.555870
14|491|14|491|sample|4|99|4|99|44.0,182.011513
14|491|14|491|sample|3|99|3|99|44.0,182.663478
14|491|14|491|sample|6|99|6|99|44.0,185.824507
14|491|14|491|sample|5|99|5|99|44.0,185.547711
14|491|14|491|sample|7|99|7|99|63.0,164.809799
14|491|14|491|sample|8|99|8|99|63.0,166.045799
14|491|14|491|cc|1|1|99|1|99|69.0,14.584093
14|491|14|491|cc|2|1|99|1|99|69.0,14.631597
14|491|14|491|cc|3|1|99|1|99|69.0,14.641328
14|491|14|491|cc|4|1|99|1|99|69.0,14.614120
14|491|14|491|cc|5|1|99|1|99|69.0,14.615384
14|491|14|491|cc|6|1|99|1|99|69.0,14.631981
14|491|14|491|cc|7|1|99|1|99|69.0,14.617025
14|491|14|491|cc|8|1|99|1|99|69.0,14.672910
14|491|14|491|vc|1|2|99|2|99|69.0,24.381615
14|491|14|491|vc|2|2|99|2|99|69.0,24.742799
14|491|14|491|vc|3|2|99|2|99|69.0,24.665093
14|491|14|491|vc|4|2|99|2|99|69.0,24.630785
14|491|14|491|vc|5|2|99|2|99|69.0,24.531468
14|491|14|491|vc|6|2|99|2|99|69.0,24.639923
14|491|14|491|vc|7|2|99|2|99|69.0,24.556475
