parameter,value,CV
U_pop,1,
beta_U_run_id_1042,3.16249547104488e-05,
beta_U_run_id_1043,0.0458049275098092,
beta_U_run_id_1056,0.372679919361032,
beta_U_run_id_1099,0.0607844425529151,
beta_U_run_id_1159,1.10954987699736,
beta_U_run_id_1197,0.0311925971409293,
beta_U_run_id_1241,0.682930180448749,
beta_U_run_id_1260,4.22090074120628e-06,
beta_U_run_id_152,2.28294042729004e-06,
beta_U_run_id_183,-2.67046778346326e-07,
beta_U_run_id_291,0.304686543553251,
beta_U_run_id_297,0.249384246135884,
beta_U_run_id_322,1.77304289942327e-05,
beta_U_run_id_394,7.27886589214887e-06,
beta_U_run_id_411,9.50095434076836e-06,
beta_U_run_id_433,4.50710559786644e-06,
beta_U_run_id_462,1.39125304699283,
beta_U_run_id_474,0.228164939290772,
beta_U_run_id_488,0.0871787008389747,
beta_U_run_id_491,0.194195973534335,
beta_U_run_id_555,2.38105622456256e-07,
beta_U_run_id_611,-0.0389777543435232,
beta_U_run_id_705,0.0948009303339076,
beta_U_run_id_719,0.102950685675566,
beta_U_run_id_745,9.83639976688408e-06,
beta_U_run_id_75,1.2032648829192e-06,
beta_U_run_id_77,6.10767302223765e-06,
beta_U_run_id_783,-0.27919398482097,
beta_U_run_id_84,-0.0618516240083511,
beta_U_run_id_847,1.0110849498083,
beta_U_run_id_863,0.0562724400740995,
beta_U_run_id_963,3.87567052292733e-06,
L_pop,5.96442424853554e-08,
beta_L_run_id_1042,0.00135080666907587,
beta_L_run_id_1043,-1.62820041980518e-07,
beta_L_run_id_1056,0.00335447205169985,
beta_L_run_id_1099,9.45118253391584e-08,
beta_L_run_id_1159,0.000266809648683553,
beta_L_run_id_1197,1.18865760952754e-06,
beta_L_run_id_1241,-0.00182739330747941,
beta_L_run_id_1260,-0.000151718702701533,
beta_L_run_id_152,1.24592035791036e-07,
beta_L_run_id_183,-1.32142536853838e-07,
beta_L_run_id_291,-5.26434983797861e-07,
