id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,1.00005,-0.00497131,0.560865,1.36387,0.514685,0.000261257,1.44799e-09,1.00005,-0.00496528,0.560865,1.39012,0.514685,0.000266519,1.43735e-09,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,1.00005,-0.00497131,0.560865,1.81984,0.514685,0.000261257,1.44799e-09,1.00005,-0.00496528,0.560865,1.776,0.514685,0.000266519,1.43735e-09,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,1.00005,-0.00497131,0.560865,1.03789,0.514685,0.000261257,1.44799e-09,1.00005,-0.00496528,0.560865,1.24602,0.514685,0.000266519,1.43735e-09,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,1.00005,-0.00497131,0.560865,1.05052,0.514685,0.000261257,1.44799e-09,1.00005,-0.00496528,0.560865,1.18714,0.514685,0.000266519,1.43735e-09,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,1.00005,-0.00497131,0.560865,1.59423,0.514685,0.000261257,1.44799e-09,1.00005,-0.00496528,0.560865,1.5687,0.514685,0.000266519,1.43735e-09,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1.00005,-0.00497131,0.560865,1.7506,0.514685,0.000261257,1.44799e-09,1.00005,-0.00496528,0.560865,1.62562,0.514685,0.000266519,1.43735e-09,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,1.00005,-0.00497131,0.560865,1.18458,0.514685,0.000261257,1.44799e-09,1.00005,-0.00496528,0.560865,1.31458,0.514685,0.000266519,1.43735e-09,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,1.00005,-0.00497131,0.560865,1.12617,0.514685,0.000261257,1.44799e-09,1.00005,-0.00496528,0.560865,1.20957,0.514685,0.000266519,1.43735e-09,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,1.00005,-0.00497131,0.560865,1.7083,0.514685,0.000261257,1.44799e-09,1.00005,-0.00496528,0.560865,1.65103,0.514685,0.000266519,1.43735e-09,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,1.00005,-0.00497131,0.560865,1.58818,0.514685,0.000261257,1.44799e-09,1.00005,-0.00496528,0.560865,1.53117,0.514685,0.000266519,1.43735e-09,True,70.0|274,411
