parameter,value,CV
U_run_id_1017,1,
U_run_id_1042,1.000002566823,
U_run_id_1043,1.00138549149871,
U_run_id_1056,1.00215105691934,
U_run_id_1099,1.00000000038826,
U_run_id_1159,1.3036640263915,
U_run_id_1197,1.00000034211257,
U_run_id_1241,1.5032168083135,
U_run_id_1260,1.00120561129592,
U_run_id_152,1.00223082458984,
U_run_id_183,0.999772497900234,
U_run_id_291,1.00000001894278,
U_run_id_297,1.0000000992414,
U_run_id_322,1.00161037111536,
U_run_id_394,1.0006091074317,
U_run_id_411,1.00004890288541,
U_run_id_433,1.00138809272581,
U_run_id_462,1.96039016520421,
U_run_id_474,1.32378853288453,
U_run_id_488,1.00000007005658,
U_run_id_491,1.00000000950774,
U_run_id_555,1.00011794463588,
U_run_id_611,0.963650447085909,
U_run_id_705,1.00000001105357,
U_run_id_719,1.00000001997536,
U_run_id_745,1.00027879532268,
U_run_id_75,1.00029969825332,
U_run_id_77,1.0011787411618,
U_run_id_783,0.999999991031352,
U_run_id_84,0.999996217499419,
U_run_id_847,1.52041741755154,
U_run_id_863,1.00000060465651,
U_run_id_963,1.00007509771981,
L_run_id_1017,5.76305118316566e-06,
L_run_id_1042,0.00251635764737803,
L_run_id_1043,-1.07459654974103e-05,
L_run_id_1056,0.00362297698600481,
L_run_id_1099,2.91897767256009e-05,
L_run_id_1159,0.00167106191673388,
L_run_id_1197,5.76322067332958e-06,
L_run_id_1241,-0.00196477784502834,
L_run_id_1260,-2.27857832815277e-05,
L_run_id_152,8.0961600086984e-06,
L_run_id_183,5.75364936897181e-06,
L_run_id_291,-0.000642700217442614,
L_run_id_297,-2.3017934096805e-06,
L_run_id_322,2.80753788471911e-05,
L_run_id_394,5.76302594418378e-06,
L_run_id_411,-0.00496528256984919,
L_run_id_433,5.76243330310711e-06,
L_run_id_462,0.00138849912668761,
L_run_id_474,0.00299291368568242,
L_run_id_488,-0.0042894768401987,
L_run_id_491,5.75819078196264e-06,
L_run_id_555,5.75899360886257e-06,
L_run_id_611,5.42070686343902e-05,
L_run_id_705,-9.01857253160455e-06,
L_run_id_719,-0.00192644848312417,
L_run_id_745,-2.55825714799226e-05,
L_run_id_75,2.36202320541078e-05,
L_run_id_77,1.74135222030942e-05,
L_run_id_783,-0.000450410133977414,
L_run_id_84,-0.00200976942697196,
L_run_id_847,0.00242074621004819,
L_run_id_863,0.0019740119569447,
L_run_id_963,3.99358579527669e-05,
L_gap_goes_down_False_mab_virus_22.0|103,0.437945442140347,
L_gap_goes_down_False_mab_virus_22.0|162,0.365371301594098,
L_gap_goes_down_False_mab_virus_22.0|174,0.276733790952598,
L_gap_goes_down_False_mab_virus_22.0|218,0.196528546364564,
L_gap_goes_down_False_mab_virus_22.0|274,0.480538503585828,
L_gap_goes_down_False_mab_virus_22.0|276,0.593712486451864,
L_gap_goes_down_False_mab_virus_22.0|292,0.636200989375761,
L_gap_goes_down_False_mab_virus_22.0|319,0.212664327802926,
L_gap_goes_down_False_mab_virus_22.0|322,0.409318829761036,
L_gap_goes_down_False_mab_virus_22.0|65,0.0941681295118384,
L_gap_goes_down_False_mab_virus_22.0|69,0.651409673108246,
L_gap_goes_down_False_mab_virus_28.0|103,0.386226278615096,
L_gap_goes_down_False_mab_virus_28.0|162,0.475994973427465,
L_gap_goes_down_False_mab_virus_28.0|174,0.256479517207725,
L_gap_goes_down_False_mab_virus_28.0|218,0.19831274322023,
L_gap_goes_down_False_mab_virus_28.0|274,0.370826614743751,
L_gap_goes_down_False_mab_virus_28.0|276,0.521861612885764,
