parameter,value,CV
U_run_id_1017,1,
U_run_id_1042,1.00000065365935,
U_run_id_1043,1.00120118849068,
U_run_id_1056,1.1125051633471,
U_run_id_1099,1.0000000005021,
U_run_id_1159,1.44375111954599,
U_run_id_1197,1.00019192557616,
U_run_id_1241,2.09642034241014,
U_run_id_1260,1.0000449325843,
U_run_id_152,1.0013804138111,
U_run_id_183,0.999669261618008,
U_run_id_291,1.00000054798332,
U_run_id_297,1.00000005833017,
U_run_id_322,1.00162819217942,
U_run_id_394,1.00000164754921,
U_run_id_411,1.00000351617184,
U_run_id_433,1.00000069071976,
U_run_id_462,1.71410951367417,
U_run_id_474,1.13725023656836,
U_run_id_488,1.00002012256991,
U_run_id_491,1.00000007158322,
U_run_id_555,1.00014108390671,
U_run_id_611,0.999999442202146,
U_run_id_705,1.00000012266844,
U_run_id_719,1.0000546418488,
U_run_id_745,1.00091018415873,
U_run_id_75,1.00018516954134,
U_run_id_77,1.00072092871511,
U_run_id_783,0.999991103837489,
U_run_id_84,0.999993985237729,
U_run_id_847,1.52898905760471,
U_run_id_863,1.00226020325707,
U_run_id_963,1.00000781926652,
L_run_id_1017,9.60912997600688e-06,
L_run_id_1042,9.61030003135974e-06,
L_run_id_1043,-3.51440516632365e-05,
L_run_id_1056,0.0039906654576104,
L_run_id_1099,3.8307429265041e-05,
L_run_id_1159,0.00220456315618021,
L_run_id_1197,9.61004124189672e-06,
L_run_id_1241,-0.00248865786397574,
L_run_id_1260,-4.40262408581912e-05,
L_run_id_152,2.01474115419089e-05,
L_run_id_183,9.51915986235788e-06,
L_run_id_291,-0.0010277829375495,
L_run_id_297,8.55599492836449e-06,
L_run_id_322,-0.000445979641507118,
L_run_id_394,9.60911200566094e-06,
L_run_id_411,-0.0050483292537519,
L_run_id_433,9.60845831462939e-06,
L_run_id_462,0.00130404197049134,
L_run_id_474,0.00340952033662655,
L_run_id_488,-0.00360758820615107,
L_run_id_491,9.11184598559313e-06,
L_run_id_555,9.47853391668047e-06,
L_run_id_611,3.25836917981547e-05,
L_run_id_705,6.67900371784178e-06,
L_run_id_719,-0.00238797755301513,
L_run_id_745,-3.56897739090353e-05,
L_run_id_75,3.9259999579949e-05,
L_run_id_77,-0.00245756908957652,
L_run_id_783,-0.000435879766244927,
L_run_id_84,-0.00263475543248021,
L_run_id_847,0.00294343751210754,
L_run_id_863,0.00243310739943757,
L_run_id_963,1.17562133510821e-05,
L_gap_goes_down_False_mab_virus_22.0|103,0.448856915057436,
L_gap_goes_down_False_mab_virus_22.0|162,0.573798161800991,
L_gap_goes_down_False_mab_virus_22.0|174,0.450861493296381,
L_gap_goes_down_False_mab_virus_22.0|218,0.275782602435812,
L_gap_goes_down_False_mab_virus_22.0|274,0.611904708658878,
L_gap_goes_down_False_mab_virus_22.0|276,0.826510750528686,
L_gap_goes_down_False_mab_virus_22.0|292,0.906116258113721,
L_gap_goes_down_False_mab_virus_22.0|319,0.391025146840482,
L_gap_goes_down_False_mab_virus_22.0|322,0.543693666222391,
L_gap_goes_down_False_mab_virus_22.0|65,0.119381259060451,
L_gap_goes_down_False_mab_virus_22.0|69,1.14726752538865,
L_gap_goes_down_False_mab_virus_28.0|103,0.590609695468053,
