id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,1,4.14645e-05,0.655107,1.19963,0.427345,7.02881e-05,3.33246e-09,1,4.19225e-05,0.655107,1.17868,0.427345,7.29182e-05,3.13835e-09,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,1,4.14645e-05,0.655107,1.42083,0.427345,7.02881e-05,3.33246e-09,1,4.19225e-05,0.655107,1.37899,0.427345,7.29182e-05,3.13835e-09,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,1,4.14645e-05,0.655107,0.974845,0.427345,7.02881e-05,3.33246e-09,1,4.19225e-05,0.655107,1.14897,0.427345,7.29182e-05,3.13835e-09,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,1,4.14645e-05,0.655107,0.98296,0.427345,7.02881e-05,3.33246e-09,1,4.19225e-05,0.655107,1.09933,0.427345,7.29182e-05,3.13835e-09,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,1,4.14645e-05,0.655107,1.3203,0.427345,7.02881e-05,3.33246e-09,1,4.19225e-05,0.655107,1.31699,0.427345,7.29182e-05,3.13835e-09,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1,4.14645e-05,0.655107,1.35843,0.427345,7.02881e-05,3.33246e-09,1,4.19225e-05,0.655107,1.31908,0.427345,7.29182e-05,3.13835e-09,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,1,4.14645e-05,0.655107,1.03446,0.427345,7.02881e-05,3.33246e-09,1,4.19225e-05,0.655107,1.20995,0.427345,7.29182e-05,3.13835e-09,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,1,4.14645e-05,0.655107,1.04951,0.427345,7.02881e-05,3.33246e-09,1,4.19225e-05,0.655107,1.11647,0.427345,7.29182e-05,3.13835e-09,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,1,4.14645e-05,0.655107,1.44376,0.427345,7.02881e-05,3.33246e-09,1,4.19225e-05,0.655107,1.39621,0.427345,7.29182e-05,3.13835e-09,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,1,4.14645e-05,0.655107,1.34262,0.427345,7.02881e-05,3.33246e-09,1,4.19225e-05,0.655107,1.2799,0.427345,7.29182e-05,3.13835e-09,True,70.0|274,411
