id,importanceSampling
9|411|9|411|sample|4|274|4|274|70.0,148.827636
9|411|9|411|sample|3|274|3|274|70.0,144.023238
9|411|9|411|sample|5|274|5|274|70.0,173.255964
9|411|9|411|sample|6|274|6|274|70.0,170.586057
9|411|9|411|sample|8|274|8|274|70.0,144.989357
9|411|9|411|sample|7|274|7|274|70.0,145.168975
9|411|9|411|sample|9|274|9|274|70.0,171.400286
9|411|9|411|sample|10|274|10|274|70.0,172.575972
9|411|9|411|sample|12|274|12|274|70.0,143.087151
9|411|9|411|sample|11|274|11|274|70.0,144.249846
9|411|9|411|cc|1|1|274|1|274|69.0,15.862766
9|411|9|411|cc|2|1|274|1|274|69.0,16.753410
9|411|9|411|cc|3|1|274|1|274|69.0,15.003876
9|411|9|411|cc|4|1|274|1|274|69.0,16.057020
9|411|9|411|cc|5|1|274|1|274|69.0,17.606697
9|411|9|411|cc|6|1|274|1|274|69.0,15.927154
9|411|9|411|cc|7|1|274|1|274|69.0,16.976255
9|411|9|411|cc|8|1|274|1|274|69.0,19.075402
9|411|9|411|vc|1|2|274|2|274|69.0,-10.749965
9|411|9|411|vc|2|2|274|2|274|69.0,22.637326
9|411|9|411|vc|3|2|274|2|274|69.0,22.405875
9|411|9|411|vc|4|2|274|2|274|69.0,22.655783
9|411|9|411|vc|5|2|274|2|274|69.0,22.514229
9|411|9|411|vc|6|2|274|2|274|69.0,22.750909
9|411|9|411|vc|7|2|274|2|274|69.0,22.938521
9|411|9|411|vc|8|2|274|2|274|69.0,22.848133
14|783|14|783|sample|3|71|3|71|6.0,197.970175
14|783|14|783|sample|4|71|4|71|6.0,195.889955
14|783|14|783|sample|5|71|5|71|6.0,187.801394
14|783|14|783|sample|6|71|6|71|6.0,188.802117
14|783|14|783|sample|7|71|7|71|6.0,143.626615
14|783|14|783|sample|8|71|8|71|6.0,111.485878
14|783|14|783|sample|10|71|10|71|6.0,201.992184
14|783|14|783|sample|9|71|9|71|6.0,198.628820
14|783|14|783|sample|12|71|12|71|6.0,139.559578
14|783|14|783|sample|11|71|11|71|6.0,138.330493
14|783|14|783|cc|1|1|71|1|71|69.0,12.616800
14|783|14|783|cc|2|1|71|1|71|69.0,12.234865
14|783|14|783|cc|3|1|71|1|71|69.0,12.188144
14|783|14|783|cc|4|1|71|1|71|69.0,12.184338
14|783|14|783|cc|5|1|71|1|71|69.0,12.144778
14|783|14|783|cc|6|1|71|1|71|69.0,12.130805
14|783|14|783|cc|7|1|71|1|71|69.0,12.119240
14|783|14|783|cc|8|1|71|1|71|69.0,12.179010
14|783|14|783|vc|1|2|71|2|71|69.0,22.079537
14|783|14|783|vc|2|2|71|2|71|69.0,-11.223693
14|783|14|783|vc|3|2|71|2|71|69.0,22.172141
14|783|14|783|vc|4|2|71|2|71|69.0,22.087946
14|783|14|783|vc|5|2|71|2|71|69.0,22.470624
14|783|14|783|vc|6|2|71|2|71|69.0,22.314630
14|783|14|783|vc|7|2|71|2|71|69.0,22.171257
14|783|14|783|vc|8|2|71|2|71|69.0,22.549290
14|491|14|491|sample|10|99|10|99|6.0,152.102303
14|491|14|491|sample|9|99|9|99|6.0,152.349589
14|491|14|491|sample|12|99|12|99|6.0,152.617653
14|491|14|491|sample|11|99|11|99|6.0,154.721370
14|491|14|491|sample|4|99|4|99|44.0,167.825797
14|491|14|491|sample|3|99|3|99|44.0,172.459767
14|491|14|491|sample|6|99|6|99|44.0,165.317321
14|491|14|491|sample|5|99|5|99|44.0,97.630119
14|491|14|491|sample|7|99|7|99|63.0,144.854365
14|491|14|491|sample|8|99|8|99|63.0,146.923657
14|491|14|491|cc|1|1|99|1|99|69.0,11.804960
14|491|14|491|cc|2|1|99|1|99|69.0,11.353381
14|491|14|491|cc|3|1|99|1|99|69.0,11.504227
14|491|14|491|cc|4|1|99|1|99|69.0,11.749028
14|491|14|491|cc|5|1|99|1|99|69.0,11.703336
14|491|14|491|cc|6|1|99|1|99|69.0,11.549941
14|491|14|491|cc|7|1|99|1|99|69.0,11.576689
14|491|14|491|cc|8|1|99|1|99|69.0,11.175580
14|491|14|491|vc|1|2|99|2|99|69.0,20.842638
14|491|14|491|vc|2|2|99|2|99|69.0,21.507275
14|491|14|491|vc|3|2|99|2|99|69.0,21.260358
14|491|14|491|vc|4|2|99|2|99|69.0,21.084206
14|491|14|491|vc|5|2|99|2|99|69.0,21.109376
14|491|14|491|vc|6|2|99|2|99|69.0,21.146330
14|491|14|491|vc|7|2|99|2|99|69.0,21.052339
14|491|14|491|vc|8|2|99|2|99|69.0,20.886606
14|433|14|433|sample|4|99|4|99|6.0,163.037868
14|433|14|433|sample|3|99|3|99|6.0,121.088728
14|433|14|433|sample|6|99|6|99|6.0,157.355925
14|433|14|433|sample|5|99|5|99|6.0,180.621317
14|433|14|433|sample|8|99|8|99|6.0,149.330853
14|433|14|433|sample|7|99|7|99|6.0,149.350449
14|433|14|433|sample|10|99|10|99|6.0,165.338950
14|433|14|433|sample|9|99|9|99|6.0,160.588685
14|433|14|433|sample|11|99|11|99|6.0,149.682522
14|433|14|433|sample|12|99|12|99|6.0,166.564341
14|433|14|433|cc|1|1|99|1|99|69.0,13.805521
14|433|14|433|cc|2|1|99|1|99|69.0,13.510039
14|433|14|433|cc|3|1|99|1|99|69.0,13.450904
14|433|14|433|cc|4|1|99|1|99|69.0,13.726478
14|433|14|433|cc|5|1|99|1|99|69.0,13.871537
14|433|14|433|cc|6|1|99|1|99|69.0,13.781797
14|433|14|433|cc|7|1|99|1|99|69.0,13.727643
14|433|14|433|cc|8|1|99|1|99|69.0,13.554936
14|433|14|433|vc|1|2|99|2|99|69.0,22.915356
14|433|14|433|vc|2|2|99|2|99|69.0,22.045010
14|433|14|433|vc|3|2|99|2|99|69.0,21.995037
14|433|14|433|vc|4|2|99|2|99|69.0,22.059579
14|433|14|433|vc|5|2|99|2|99|69.0,22.054569
14|433|14|433|vc|6|2|99|2|99|69.0,22.007037
14|433|14|433|vc|7|2|99|2|99|69.0,22.275446
14|433|14|433|vc|8|2|99|2|99|69.0,24.251770
14|297|14|297|sample|3|71|3|71|6.0,142.494506
14|297|14|297|sample|4|71|4|71|6.0,174.564546
14|297|14|297|sample|5|71|5|71|6.0,145.977118
14|297|14|297|sample|6|71|6|71|6.0,147.357478
14|297|14|297|sample|8|71|8|71|6.0,161.168075
14|297|14|297|sample|7|71|7|71|6.0,158.200397
14|297|14|297|sample|9|71|9|71|6.0,149.205159
14|297|14|297|sample|10|71|10|71|6.0,147.484211
14|297|14|297|sample|12|71|12|71|6.0,147.636629
14|297|14|297|sample|11|71|11|71|6.0,203.871190
14|297|14|297|cc|1|1|71|1|71|69.0,13.470074
14|297|14|297|cc|2|1|71|1|71|69.0,13.311917
14|297|14|297|cc|3|1|71|1|71|69.0,13.266231
14|297|14|297|cc|4|1|71|1|71|69.0,13.651144
14|297|14|297|cc|5|1|71|1|71|69.0,13.351007
14|297|14|297|cc|6|1|71|1|71|69.0,13.357955
14|297|14|297|cc|7|1|71|1|71|69.0,13.279511
14|297|14|297|cc|8|1|71|1|71|69.0,12.835070
14|297|14|297|vc|1|2|71|2|71|69.0,22.979142
14|297|14|297|vc|2|2|71|2|71|69.0,22.054457
14|297|14|297|vc|3|2|71|2|71|69.0,22.084509
14|297|14|297|vc|4|2|71|2|71|69.0,22.058365
14|297|14|297|vc|5|2|71|2|71|69.0,22.043641
14|297|14|297|vc|6|2|71|2|71|69.0,21.999948
14|297|14|297|vc|7|2|71|2|71|69.0,22.002280
14|297|14|297|vc|8|2|71|2|71|69.0,-10.367296
14|183|14|183|sample|4|233|4|233|6.0,159.897264
14|183|14|183|sample|3|233|3|233|6.0,157.557959
14|183|14|183|sample|6|233|6|233|6.0,153.753479
14|183|14|183|sample|5|233|5|233|6.0,152.520498
14|183|14|183|sample|7|233|7|233|6.0,166.786112
14|183|14|183|sample|8|233|8|233|6.0,163.856536
14|183|14|183|sample|10|233|10|233|6.0,150.942500
14|183|14|183|sample|9|233|9|233|6.0,153.598026
14|183|14|183|sample|12|233|12|233|6.0,155.938002
14|183|14|183|sample|11|233|11|233|6.0,130.719333
14|183|14|183|cc|1|1|233|1|233|69.0,12.278168
14|183|14|183|cc|2|1|233|1|233|69.0,12.833656
14|183|14|183|cc|3|1|233|1|233|69.0,12.226837
14|183|14|183|cc|4|1|233|1|233|69.0,12.199334
14|183|14|183|cc|5|1|233|1|233|69.0,12.859393
14|183|14|183|cc|6|1|233|1|233|69.0,12.840318
14|183|14|183|cc|7|1|233|1|233|69.0,13.070547
14|183|14|183|cc|8|1|233|1|233|69.0,21.139232
14|183|14|183|vc|1|2|233|2|233|69.0,25.836677
14|183|14|183|vc|2|2|233|2|233|69.0,24.622940
14|183|14|183|vc|3|2|233|2|233|69.0,24.780428
14|183|14|183|vc|4|2|233|2|233|69.0,24.893307
14|183|14|183|vc|5|2|233|2|233|69.0,24.734734
14|183|14|183|vc|6|2|233|2|233|69.0,24.806862
14|183|14|183|vc|7|2|233|2|233|69.0,24.698523
14|183|14|183|vc|8|2|233|2|233|69.0,25.510948
14|705|14|705|sample|3|233|3|233|6.0,171.925688
14|705|14|705|sample|4|233|4|233|6.0,171.366678
14|705|14|705|sample|5|233|5|233|6.0,170.823309
14|705|14|705|sample|6|233|6|233|6.0,171.018184
14|705|14|705|sample|7|233|7|233|6.0,171.136668
14|705|14|705|sample|8|233|8|233|6.0,137.653433
14|705|14|705|sample|10|233|10|233|6.0,167.375779
14|705|14|705|sample|9|233|9|233|6.0,173.769590
14|705|14|705|sample|12|233|12|233|6.0,166.073561
14|705|14|705|sample|11|233|11|233|6.0,139.208973
14|705|14|705|cc|1|1|233|1|233|69.0,13.004099
14|705|14|705|cc|2|1|233|1|233|69.0,13.343293
14|705|14|705|cc|3|1|233|1|233|69.0,13.378421
14|705|14|705|cc|4|1|233|1|233|69.0,13.329099
14|705|14|705|cc|5|1|233|1|233|69.0,13.363331
14|705|14|705|cc|6|1|233|1|233|69.0,13.123313
14|705|14|705|cc|7|1|233|1|233|69.0,12.984242
14|705|14|705|cc|8|1|233|1|233|69.0,12.739089
14|705|14|705|vc|1|2|233|2|233|69.0,29.963845
14|705|14|705|vc|2|2|233|2|233|69.0,29.449981
14|705|14|705|vc|3|2|233|2|233|69.0,29.097741
14|705|14|705|vc|4|2|233|2|233|69.0,29.404205
14|705|14|705|vc|5|2|233|2|233|69.0,29.291294
14|705|14|705|vc|6|2|233|2|233|69.0,29.291398
14|705|14|705|vc|7|2|233|2|233|69.0,29.159866
14|705|14|705|vc|8|2|233|2|233|69.0,30.222168
14|555|14|555|sample|4|233|4|233|6.0,170.831344
14|555|14|555|sample|3|233|3|233|6.0,170.153394
14|555|14|555|sample|5|233|5|233|6.0,170.213520
14|555|14|555|sample|6|233|6|233|6.0,168.823139
14|555|14|555|sample|7|233|7|233|6.0,140.099048
14|555|14|555|sample|8|233|8|233|6.0,166.806848
14|555|14|555|sample|9|233|9|233|6.0,169.915038
14|555|14|555|sample|10|233|10|233|6.0,171.174366
14|555|14|555|sample|12|233|12|233|6.0,154.706412
14|555|14|555|sample|11|233|11|233|6.0,120.762356
14|555|14|555|cc|1|1|233|1|233|69.0,-21.148252
14|555|14|555|cc|2|1|233|1|233|69.0,12.043342
14|555|14|555|cc|3|1|233|1|233|69.0,12.216175
14|555|14|555|cc|4|1|233|1|233|69.0,12.223338
14|555|14|555|cc|5|1|233|1|233|69.0,12.140756
14|555|14|555|cc|6|1|233|1|233|69.0,12.371589
14|555|14|555|cc|7|1|233|1|233|69.0,12.336154
14|555|14|555|cc|8|1|233|1|233|69.0,12.415271
14|555|14|555|vc|1|2|233|2|233|69.0,26.071432
14|555|14|555|vc|2|2|233|2|233|69.0,26.064672
14|555|14|555|vc|3|2|233|2|233|69.0,25.823179
14|555|14|555|vc|4|2|233|2|233|69.0,-7.250295
14|555|14|555|vc|5|2|233|2|233|69.0,25.796973
14|555|14|555|vc|6|2|233|2|233|69.0,25.783657
14|555|14|555|vc|7|2|233|2|233|69.0,25.857437
14|555|14|555|vc|8|2|233|2|233|69.0,26.498301
14|394|14|394|sample|5|42|5|42|6.0,162.313469
14|394|14|394|sample|6|42|6|42|6.0,161.124483
14|394|14|394|sample|7|42|7|42|6.0,173.845185
14|394|14|394|sample|8|42|8|42|6.0,176.157599
14|394|14|394|sample|10|42|10|42|6.0,153.102332
14|394|14|394|sample|9|42|9|42|6.0,151.601204
14|394|14|394|sample|12|42|12|42|6.0,130.576825
14|394|14|394|sample|11|42|11|42|6.0,166.201862
14|394|14|394|sample|3|42|3|42|63.0,149.595662
14|394|14|394|sample|4|42|4|42|63.0,154.527114
14|394|14|394|cc|1|1|42|1|42|69.0,12.910641
14|394|14|394|cc|2|1|42|1|42|69.0,13.094227
14|394|14|394|cc|3|1|42|1|42|69.0,13.149645
14|394|14|394|cc|4|1|42|1|42|69.0,13.442062
14|394|14|394|cc|5|1|42|1|42|69.0,13.477427
14|394|14|394|cc|6|1|42|1|42|69.0,12.993536
14|394|14|394|cc|7|1|42|1|42|69.0,13.579552
14|394|14|394|cc|8|1|42|1|42|69.0,13.160548
14|394|14|394|vc|1|2|42|2|42|69.0,22.653683
14|394|14|394|vc|2|2|42|2|42|69.0,22.817828
14|394|14|394|vc|3|2|42|2|42|69.0,22.980300
14|394|14|394|vc|4|2|42|2|42|69.0,22.791045
14|394|14|394|vc|5|2|42|2|42|69.0,22.843788
14|394|14|394|vc|6|2|42|2|42|69.0,22.804961
14|394|14|394|vc|7|2|42|2|42|69.0,23.216582
14|394|14|394|vc|8|2|42|2|42|69.0,22.798335
14|1099|14|1099|sample|3|73|3|73|6.0,136.766579
14|1099|14|1099|sample|4|73|4|73|6.0,103.802148
14|1099|14|1099|sample|5|73|5|73|6.0,145.821003
14|1099|14|1099|sample|6|73|6|73|6.0,113.382031
14|1099|14|1099|sample|8|73|8|73|6.0,119.221354
14|1099|14|1099|sample|7|73|7|73|6.0,150.517489
14|1099|14|1099|sample|9|73|9|73|6.0,136.495203
14|1099|14|1099|sample|10|73|10|73|6.0,136.782369
14|1099|14|1099|sample|11|73|11|73|6.0,147.013770
14|1099|14|1099|sample|12|73|12|73|6.0,145.908152
14|1099|14|1099|cc|1|1|73|1|73|69.0,11.820547
14|1099|14|1099|cc|2|1|73|1|73|69.0,11.599623
14|1099|14|1099|cc|3|1|73|1|73|69.0,12.000076
14|1099|14|1099|cc|4|1|73|1|73|69.0,10.960002
14|1099|14|1099|cc|5|1|73|1|73|69.0,11.135884
14|1099|14|1099|cc|6|1|73|1|73|69.0,11.596307
14|1099|14|1099|cc|7|1|73|1|73|69.0,11.567391
14|1099|14|1099|cc|8|1|73|1|73|69.0,14.257153
14|1099|14|1099|vc|1|2|73|2|73|69.0,25.700955
14|1099|14|1099|vc|2|2|73|2|73|69.0,26.006701
14|1099|14|1099|vc|3|2|73|2|73|69.0,26.096525
14|1099|14|1099|vc|4|2|73|2|73|69.0,25.971392
14|1099|14|1099|vc|5|2|73|2|73|69.0,26.427111
14|1099|14|1099|vc|6|2|73|2|73|69.0,25.987452
14|1099|14|1099|vc|7|2|73|2|73|69.0,25.507224
14|1099|14|1099|vc|8|2|73|2|73|69.0,25.807361
14|611|14|611|sample|4|73|4|73|6.0,90.433915
14|611|14|611|sample|3|73|3|73|6.0,155.576238
14|611|14|611|sample|5|73|5|73|6.0,154.087798
14|611|14|611|sample|6|73|6|73|6.0,154.469535
14|611|14|611|sample|7|73|7|73|6.0,154.943316
14|611|14|611|sample|8|73|8|73|6.0,156.485360
14|611|14|611|sample|9|73|9|73|6.0,147.359609
14|611|14|611|sample|10|73|10|73|6.0,148.155985
14|611|14|611|sample|12|73|12|73|6.0,152.679573
14|611|14|611|sample|11|73|11|73|6.0,154.543879
14|611|14|611|cc|1|1|73|1|73|69.0,14.094825
14|611|14|611|cc|2|1|73|1|73|69.0,13.382123
14|611|14|611|cc|3|1|73|1|73|69.0,12.451099
14|611|14|611|cc|4|1|73|1|73|69.0,12.130147
14|611|14|611|cc|5|1|73|1|73|69.0,13.145381
14|611|14|611|cc|6|1|73|1|73|69.0,12.646665
14|611|14|611|cc|7|1|73|1|73|69.0,13.476698
14|611|14|611|cc|8|1|73|1|73|69.0,14.641192
14|611|14|611|vc|1|2|73|2|73|69.0,26.745337
14|611|14|611|vc|2|2|73|2|73|69.0,-7.408259
14|611|14|611|vc|3|2|73|2|73|69.0,26.186943
14|611|14|611|vc|4|2|73|2|73|69.0,26.527453
14|611|14|611|vc|5|2|73|2|73|69.0,26.008506
14|611|14|611|vc|6|2|73|2|73|69.0,-6.627928
14|611|14|611|vc|7|2|73|2|73|69.0,-7.185275
14|611|14|611|vc|8|2|73|2|73|69.0,26.666328
8|84|8|84|sample|5|162|5|162|55.0,170.994403
8|84|8|84|sample|6|162|6|162|55.0,170.413486
8|84|8|84|sample|4|162|4|162|55.0,142.055701
8|84|8|84|sample|3|162|3|162|55.0,175.714231
8|84|8|84|sample|9|162|9|162|32.0,161.007054
8|84|8|84|sample|10|162|10|162|32.0,161.558941
8|84|8|84|sample|7|162|7|162|32.0,171.872420
8|84|8|84|sample|8|162|8|162|32.0,171.197827
8|84|8|84|sample|12|162|12|162|22.0,163.288076
8|84|8|84|sample|11|162|11|162|22.0,162.621151
8|84|8|84|cc|1|1|162|1|162|69.0,12.659659
8|84|8|84|cc|2|1|162|1|162|69.0,12.408240
8|84|8|84|cc|3|1|162|1|162|69.0,12.528014
8|84|8|84|cc|4|1|162|1|162|69.0,12.705538
8|84|8|84|cc|5|1|162|1|162|69.0,12.733827
8|84|8|84|cc|6|1|162|1|162|69.0,12.740460
8|84|8|84|cc|7|1|162|1|162|69.0,12.886319
8|84|8|84|cc|8|1|162|1|162|69.0,12.382468
8|84|8|84|vc|1|2|162|2|162|69.0,21.974324
8|84|8|84|vc|2|2|162|2|162|69.0,22.115509
8|84|8|84|vc|3|2|162|2|162|69.0,21.995875
8|84|8|84|vc|4|2|162|2|162|69.0,22.018823
8|84|8|84|vc|5|2|162|2|162|69.0,22.075317
8|84|8|84|vc|6|2|162|2|162|69.0,22.084229
8|84|8|84|vc|7|2|162|2|162|69.0,22.044035
8|84|8|84|vc|8|2|162|2|162|69.0,22.374901
8|1042|8|1042|sample|8|162|8|162|65.0,154.531149
8|1042|8|1042|sample|7|162|7|162|65.0,141.125573
8|1042|8|1042|sample|6|162|6|162|65.0,162.856014
8|1042|8|1042|sample|5|162|5|162|65.0,162.183718
8|1042|8|1042|sample|12|162|12|162|28.0,140.615779
8|1042|8|1042|sample|7|162|7|162|28.0,15.737080
8|1042|8|1042|sample|11|162|11|162|28.0,152.660383
8|1042|8|1042|sample|9|162|9|162|28.0,162.865373
8|1042|8|1042|sample|10|162|10|162|28.0,161.548001
8|1042|8|1042|sample|4|162|4|162|22.0,158.227570
8|1042|8|1042|sample|3|162|3|162|22.0,157.219796
8|1042|8|1042|sample|12|162|12|162|65.0,16.069565
8|1042|8|1042|cc|1|1|162|1|162|69.0,12.341898
8|1042|8|1042|cc|2|1|162|1|162|69.0,13.164109
8|1042|8|1042|cc|3|1|162|1|162|69.0,12.905491
