id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,856595,6268.44,6.96486e-05,1.00729,0.197816,0.26887,0.0315308,856544,6275.32,6.96486e-05,1.03528,0.197816,0.268895,0.0315328,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,856595,6268.44,6.96486e-05,1.27832,0.197816,0.26887,0.0315308,856544,6275.32,6.96486e-05,1.27552,0.197816,0.268895,0.0315328,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,856595,6268.44,6.96486e-05,0.885914,0.197816,0.26887,0.0315308,856544,6275.32,6.96486e-05,0.914621,0.197816,0.268895,0.0315328,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,856595,6268.44,6.96486e-05,0.889677,0.197816,0.26887,0.0315308,856544,6275.32,6.96486e-05,0.917215,0.197816,0.268895,0.0315328,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,856595,6268.44,6.96486e-05,1.1611,0.197816,0.26887,0.0315308,856544,6275.32,6.96486e-05,1.16275,0.197816,0.268895,0.0315328,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,856595,6268.44,6.96486e-05,1.17781,0.197816,0.26887,0.0315308,856544,6275.32,6.96486e-05,1.18804,0.197816,0.268895,0.0315328,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,856595,6268.44,6.96486e-05,0.933982,0.197816,0.26887,0.0315308,856544,6275.32,6.96486e-05,0.987983,0.197816,0.268895,0.0315328,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,856595,6268.44,6.96486e-05,0.776155,0.197816,0.26887,0.0315308,856544,6275.32,6.96486e-05,0.875735,0.197816,0.268895,0.0315328,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,856595,6268.44,6.96486e-05,1.18409,0.197816,0.26887,0.0315308,856544,6275.32,6.96486e-05,1.20404,0.197816,0.268895,0.0315328,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,856595,6268.44,6.96486e-05,1.1111,0.197816,0.26887,0.0315308,856544,6275.32,6.96486e-05,1.1245,0.197816,0.268895,0.0315328,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,856595,6268.44,0.000161835,0.111301,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,6.2576e-08,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,856595,6268.44,0.000161835,-0.0659842,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,4.00091e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,856595,6268.44,0.000161835,-0.106189,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,-2.0875e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,856595,6268.44,0.000161835,0.0660678,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,3.88214e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,856595,6268.44,0.000161835,-0.025515,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,-2.64311e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,856595,6268.44,0.000161835,0.1068,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,-6.12147e-08,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,856595,6268.44,0.000161835,-0.124281,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,3.59571e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,856595,6268.44,0.000161835,0.0921425,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,-2.22789e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,856595,6268.44,0.000161835,0.0580416,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,-2.257e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,856595,6268.44,0.000161835,-0.151447,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,2.09224e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,856595,6268.44,0.000161835,-0.0876232,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,1.47265e-09,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,856595,6268.44,0.000161835,0.0936054,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,-1.08362e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,856595,6268.44,0.000161835,-0.0800881,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,-4.69179e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,856595,6268.44,0.000161835,-0.0377287,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,-2.38417e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,856595,6268.44,0.000161835,-0.0363295,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,-1.45838e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,856595,6268.44,0.000161835,-0.215787,1.50654,0.26887,0.0315308,856544,6275.32,0.000161835,-1.08494e-07,1.50654,0.268895,0.0315328,False,69.0|274,411
14|783|14|783|sample|3|71|3|71|6.0,856595,6268.44,0.000483853,0.0832841,0.0320199,0.268869,0.0315318,856544,6275.32,0.000483853,0.0849507,0.0320199,0.268894,0.0315339,True,6.0|71,783
14|783|14|783|sample|4|71|4|71|6.0,856595,6268.44,0.000483853,0.0877555,0.0320199,0.268869,0.0315318,856544,6275.32,0.000483853,0.10121,0.0320199,0.268894,0.0315339,True,6.0|71,783
14|783|14|783|sample|5|71|5|71|6.0,856595,6268.44,0.000483853,0.167493,0.0320199,0.268869,0.0315318,856544,6275.32,0.000483853,0.181166,0.0320199,0.268894,0.0315339,True,6.0|71,783
14|783|14|783|sample|6|71|6|71|6.0,856595,6268.44,0.000483853,0.181449,0.0320199,0.268869,0.0315318,856544,6275.32,0.000483853,0.196448,0.0320199,0.268894,0.0315339,True,6.0|71,783
14|783|14|783|sample|7|71|7|71|6.0,856595,6268.44,0.000483853,1.21662,0.0320199,0.268869,0.0315318,856544,6275.32,0.000483853,1.23033,0.0320199,0.268894,0.0315339,True,6.0|71,783
14|783|14|783|sample|8|71|8|71|6.0,856595,6268.44,0.000483853,1.15179,0.0320199,0.268869,0.0315318,856544,6275.32,0.000483853,1.15741,0.0320199,0.268894,0.0315339,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,856595,6268.44,0.000483853,0.0977315,0.0320199,0.268869,0.0315318,856544,6275.32,0.000483853,0.0970341,0.0320199,0.268894,0.0315339,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,856595,6268.44,0.000483853,0.0875701,0.0320199,0.268869,0.0315318,856544,6275.32,0.000483853,0.0929318,0.0320199,0.268894,0.0315339,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,856595,6268.44,0.000483853,2.14583,0.0320199,0.268869,0.0315318,856544,6275.32,0.000483853,2.18992,0.0320199,0.268894,0.0315339,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,856595,6268.44,0.000483853,2.22065,0.0320199,0.268869,0.0315318,856544,6275.32,0.000483853,2.26283,0.0320199,0.268894,0.0315339,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,856595,6268.44,5.57072e-05,-0.0630773,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,-2.09725e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,856595,6268.44,5.57072e-05,0.0462579,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,1.18414e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,856595,6268.44,5.57072e-05,0.0337807,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,3.68088e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,856595,6268.44,5.57072e-05,0.0950783,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,1.99123e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,856595,6268.44,5.57072e-05,0.0591329,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,-5.35698e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,856595,6268.44,5.57072e-05,0.0877434,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,-9.81147e-08,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,856595,6268.44,5.57072e-05,-0.094502,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,6.73493e-08,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,856595,6268.44,5.57072e-05,-0.0325798,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,3.10188e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,856595,6268.44,5.57072e-05,-0.00105552,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,-0.00107577,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,856595,6268.44,5.57072e-05,0.051389,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,2.49158e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,856595,6268.44,5.57072e-05,-0.033704,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,-3.75932e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,856595,6268.44,5.57072e-05,0.00718203,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,9.99594e-08,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,856595,6268.44,5.57072e-05,-0.0303318,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,-4.81445e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,856595,6268.44,5.57072e-05,-0.0306121,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,-3.45642e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,856595,6268.44,5.57072e-05,0.0984116,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,-3.65543e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,856595,6268.44,5.57072e-05,0.173834,1.32145,0.268869,0.0315318,856544,6275.32,5.57072e-05,4.90556e-07,1.32145,0.268894,0.0315339,False,69.0|71,783
14|491|14|491|sample|10|99|10|99|6.0,856595,6268.44,0.000260312,2.91629,0.0234314,0.27944,0.031532,856544,6275.32,0.000260312,2.83365,0.0234314,0.27948,0.0315341,True,6.0|99,491
14|491|14|491|sample|9|99|9|99|6.0,856595,6268.44,0.000260312,2.60141,0.0234314,0.27944,0.031532,856544,6275.32,0.000260312,2.70045,0.0234314,0.27948,0.0315341,True,6.0|99,491
14|491|14|491|sample|12|99|12|99|6.0,856595,6268.44,0.000260312,1.09724,0.0234314,0.27944,0.031532,856544,6275.32,0.000260312,1.10946,0.0234314,0.27948,0.0315341,True,6.0|99,491
14|491|14|491|sample|11|99|11|99|6.0,856595,6268.44,0.000260312,1.00007,0.0234314,0.27944,0.031532,856544,6275.32,0.000260312,1.02092,0.0234314,0.27948,0.0315341,True,6.0|99,491
14|491|14|491|sample|4|99|4|99|44.0,856595,6268.44,0.00640467,0.962176,0.0315452,0.27944,0.031532,856544,6275.32,0.00640467,0.975477,0.0315452,0.27948,0.0315341,True,44.0|99,491
14|491|14|491|sample|3|99|3|99|44.0,856595,6268.44,0.00640467,0.856103,0.0315452,0.27944,0.031532,856544,6275.32,0.00640467,0.910016,0.0315452,0.27948,0.0315341,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,856595,6268.44,0.00640467,0.698609,0.0315452,0.27944,0.031532,856544,6275.32,0.00640467,0.729006,0.0315452,0.27948,0.0315341,True,44.0|99,491
14|491|14|491|sample|5|99|5|99|44.0,856595,6268.44,0.00640467,0.731495,0.0315452,0.27944,0.031532,856544,6275.32,0.00640467,0.752266,0.0315452,0.27948,0.0315341,True,44.0|99,491
14|491|14|491|sample|7|99|7|99|63.0,856595,6268.44,0.000131522,1.05826,0.00127623,0.27944,0.031532,856544,6275.32,0.000131522,1.09458,0.00127623,0.27948,0.0315341,True,63.0|99,491
