id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,1,793960,0.000330009,-1.00498,0.303938,0.40707,0.114717,1,788465,0.000330009,-1.046,0.298775,0.406818,0.114622,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,1,793960,0.000330009,-1.06778,0.911623,0.40707,0.114717,1,788465,0.000330009,-1.1008,0.29304,0.406818,0.114622,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,1,793960,0.000330009,-0.803443,0.157288,0.40707,0.114717,1,788465,0.000330009,-0.750652,0.095701,0.406818,0.114622,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,1,793960,0.000330009,-0.871016,0.309003,0.40707,0.114717,1,788465,0.000330009,-0.785428,0.110736,0.406818,0.114622,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,1,793960,0.000330009,-1.00026,0.177847,0.40707,0.114717,1,788465,0.000330009,-1.03435,0.196456,0.406818,0.114622,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1,793960,0.000330009,-1.02384,12.3518,0.40707,0.114717,1,788465,0.000330009,-1.03583,0.178592,0.406818,0.114622,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,1,793960,0.000330009,-0.881894,0.42394,0.40707,0.114717,1,788465,0.000330009,-0.875095,0.175145,0.406818,0.114622,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,1,793960,0.000330009,-0.961904,27.7851,0.40707,0.114717,1,788465,0.000330009,-0.969987,0.324268,0.406818,0.114622,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,1,793960,0.000330009,-1.00576,383.103,0.40707,0.114717,1,788465,0.000330009,-1.08528,0.903736,0.406818,0.114622,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,1,793960,0.000330009,-1.03305,1.74486,0.40707,0.114717,1,788465,0.000330009,-1.10127,0.542814,0.406818,0.114622,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,1,793960,0.00027303,-0.595098,1076.13,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,1,793960,0.00027303,-0.668557,20278.8,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,1,793960,0.00027303,-0.569566,65409.7,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,1,793960,0.00027303,-0.655562,1596.07,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,1,793960,0.00027303,-0.661436,1965.68,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,1,793960,0.00027303,-0.695204,2233.84,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,1,793960,0.00027303,-0.646318,28102.1,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,1,793960,0.00027303,-0.66683,899.713,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,1,793960,0.00027303,-0.70838,24886.3,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,1,793960,0.00027303,-0.670782,2423.25,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,1,793960,0.00027303,-0.681718,492.871,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,1,793960,0.00027303,-0.712021,38332.5,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,1,793960,0.00027303,-0.613593,86564.9,0.40707,0.114717,1,788465,0.00027303,-0.703856,1,0.406818,0.114622,False,69.0|274,411
