rep,id,U,L,L_gap,h,f,alpha,k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,361829,2568.58,0.00014243,1.05317,0.212128,0.283236,0.0682909,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,361829,2568.58,0.00014243,1.05127,0.212128,0.283236,0.0682909,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,361829,2568.58,0.00014243,0.55904,0.212128,0.283236,0.0682909,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,361829,2568.58,0.00014243,1.00392,0.212128,0.283236,0.0682909,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,361829,2568.58,0.00014243,1.11814,0.212128,0.283236,0.0682909,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,361829,2568.58,0.00014243,1.09878,0.212128,0.283236,0.0682909,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,361829,2568.58,0.00014243,0.946522,0.212128,0.283236,0.0682909,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,361829,2568.58,0.00014243,1.02521,0.212128,0.283236,0.0682909,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,361829,2568.58,0.00014243,1.13281,0.212128,0.283236,0.0682909,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,361829,2568.58,0.00014243,1.08169,0.212128,0.283236,0.0682909,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,361829,2568.58,0.000354587,0.0550262,1.60944,0.283236,0.0682909,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,361829,2568.58,0.000354587,-0.543307,1.60944,0.283236,0.0682909,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,361829,2568.58,0.000354587,-3.35625,1.60944,0.283236,0.0682909,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,361829,2568.58,0.000354587,-0.684431,1.60944,0.283236,0.0682909,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,361829,2568.58,0.000354587,-0.708055,1.60944,0.283236,0.0682909,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,361829,2568.58,0.000354587,0.656765,1.60944,0.283236,0.0682909,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,361829,2568.58,0.000354587,-0.447129,1.60944,0.283236,0.0682909,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,361829,2568.58,0.000354587,0.352501,1.60944,0.283236,0.0682909,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,361829,2568.58,0.000354587,-0.650416,1.60944,0.283236,0.0682909,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,361829,2568.58,0.000354587,-1.37548,1.60944,0.283236,0.0682909,False,69.0|274,411
