id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,0,-4.85751e-09,1.02238,-2.80096e-10,0,0,0,0,-2.66454e-13,1.03322,4.2899e-13,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,0,-2.11598e-09,1.23647,-3.02454e-09,0,0,0,0,-3.55271e-14,1.24046,-1.18128e-13,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,0,9.66639e-09,0.8908,-7.23654e-10,0,0,0,0,2.80664e-13,0.924332,-4.9738e-14,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,0,1.39292e-08,0.883011,2.91096e-09,0,0,0,0,-4.61853e-14,0.925367,1.58762e-13,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,0,7.55785e-09,1.15101,-9.85795e-11,0,0,0,0,1.45661e-13,1.16608,3.20188e-13,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,0,3.10366e-09,1.17166,-1.37551e-09,0,0,0,0,-7.99361e-14,1.18832,-4.12781e-13,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,0,-5.14789e-09,0.968339,2.39479e-09,0,0,0,0,6.57252e-14,0.99377,-2.3781e-13,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,0,-4.55837e-09,0.813604,2.05532e-09,0,0,0,0,-1.93623e-13,0.874569,-1.24789e-13,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,0,-1.32075e-08,1.1573,-2.92015e-09,0,0,0,0,6.03961e-14,1.16512,-9.41469e-14,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,0,1.83263e-08,1.06791,-4.07912e-09,0,0,0,0,2.13163e-13,1.10304,-4.12337e-13,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,0,-3.16794e-09,0.115992,2.99084e-10,0,0,0,0,1.24345e-14,2.96081e-07,-2.9976e-15,0,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,0,-1.93632e-09,0.0054494,-9.88245e-10,0,0,0,0,1.77636e-14,-4.40797e-08,1.01585e-14,0,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,0,3.24584e-09,-0.139234,2.48498e-09,0,0,0,0,4.44089e-14,-1.732e-07,-5.55112e-16,0,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,0,1.04791e-09,0.00507598,-1.34514e-09,0,0,0,0,-2.13163e-14,5.58298e-08,-8.16014e-15,0,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,0,-1.28205e-09,-0.0209569,-2.93268e-09,0,0,0,0,-1.59872e-14,3.52746e-07,1.03251e-14,0,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,0,3.27162e-09,0.0971274,3.98614e-09,0,0,0,0,-3.55271e-15,1.79743e-07,-1.19904e-14,0,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,0,-2.56307e-09,-0.172234,-3.89026e-09,0,0,0,0,-9.76996e-15,4.41822e-07,7.77156e-15,0,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,0,6.85449e-09,-0.073563,-2.97435e-09,0,0,0,0,1.77636e-15,3.96253e-07,-3.33067e-15,0,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0,0,9.19626e-09,-0.0421094,5.67023e-09,0,0,0,0,1.68754e-14,-5.73439e-08,7.32747e-15,0,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0,0,6.33882e-09,-0.199388,4.3844e-10,0,0,0,0,-8.88178e-15,1.2622e-07,6.99441e-15,0,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0,0,6.70729e-09,-0.198347,2.2068e-09,0,0,0,0,-1.77636e-15,4.66406e-07,-1.31006e-14,0,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0,0,1.02609e-08,0.115647,1.37295e-09,0,0,0,0,-5.32907e-15,-1.0394e-07,-9.32587e-15,0,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0,0,-4.40077e-09,-0.0536994,-3.68103e-09,0,0,0,0,2.13163e-14,3.53171e-07,9.10383e-15,0,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0,0,1.0451e-10,-0.00441672,8.63385e-10,0,0,0,0,-1.77636e-14,-2.50168e-07,-3.27516e-15,0,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0,0,5.93559e-09,-0.0124374,-3.87843e-09,0,0,0,0,0,-2.02329e-07,7.54952e-15,0,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0,0,-3.59497e-09,-0.218273,-3.92357e-09,0,0,0,0,-2.4869e-14,4.29e-07,-1.32117e-14,0,0,False,69.0|274,411
14|783|14|783|sample|3|71|3|71|6.0,0,0,2.26609e-09,0.0849816,-7.87219e-09,0,0,0,0,-8.75744e-13,0.0769104,-1.07825e-12,0,0,True,6.0|71,783
14|783|14|783|sample|4|71|4|71|6.0,0,0,1.2427e-08,0.0948495,5.09377e-09,0,0,0,0,5.00933e-13,0.0947109,8.88178e-15,0,0,True,6.0|71,783
14|783|14|783|sample|5|71|5|71|6.0,0,0,2.36829e-09,0.161914,1.72964e-09,0,0,0,0,-2.39808e-13,0.174221,2.17604e-13,0,0,True,6.0|71,783
14|783|14|783|sample|6|71|6|71|6.0,0,0,-6.60509e-09,0.173385,-2.09755e-09,0,0,0,0,-1.74083e-13,0.190756,3.54383e-13,0,0,True,6.0|71,783
14|783|14|783|sample|7|71|7|71|6.0,0,0,2.29681e-09,1.20294,3.36275e-09,0,0,0,0,2.88658e-13,1.21153,1.63425e-13,0,0,True,6.0|71,783
14|783|14|783|sample|8|71|8|71|6.0,0,0,-2.58181e-09,1.13964,-6.8486e-09,0,0,0,0,5.29354e-13,1.14077,7.90479e-14,0,0,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,0,0,6.1186e-09,0.0971894,-7.38038e-09,0,0,0,0,1.47438e-13,0.0900427,-3.59712e-13,0,0,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,0,0,-7.51253e-09,0.067858,-4.63695e-09,0,0,0,0,-6.80345e-13,0.0872903,5.12923e-13,0,0,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,0,0,-1.56537e-09,2.012,8.98244e-09,0,0,0,0,-5.15143e-14,2.11697,-1.85629e-13,0,0,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,0,0,2.20576e-08,2.19006,1.29943e-09,0,0,0,0,3.37508e-14,2.20574,-7.72715e-14,0,0,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,0,0,-1.76309e-09,-0.103878,2.68165e-09,0,0,0,0,-7.10543e-15,-5.25131e-07,-1.09912e-14,0,0,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,0,0,9.69426e-09,0.143349,-2.88044e-09,0,0,0,0,-8.88178e-15,-6.45846e-08,-3.86358e-14,0,0,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,0,0,-6.57723e-09,0.0407849,-5.64374e-09,0,0,0,0,1.42109e-14,-8.6682e-08,-5.44009e-15,0,0,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,0,0,7.79403e-09,0.0695334,-1.10278e-09,0,0,0,0,-3.55271e-15,2.03947e-07,1.93734e-14,0,0,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,0,0,-1.10331e-08,0.112478,-1.47636e-09,0,0,0,0,-3.55271e-15,-4.57715e-07,8.54872e-15,0,0,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,0,0,7.74709e-09,0.109322,2.40789e-09,0,0,0,0,-3.55271e-15,-3.73774e-07,2.16493e-15,0,0,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,0,0,2.08922e-09,-0.060655,-1.90378e-09,0,0,0,0,-2.4869e-14,-3.78998e-07,-1.11022e-15,0,0,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,0,0,3.26315e-09,-0.122951,2.8882e-09,0,0,0,0,7.10543e-15,5.00045e-08,-1.5099e-14,0,0,False,69.0|71,783
