rep,id,U,L,L_gap,h,f,alpha,k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.999964,0.830316,0.000464988,-0.94138,0.55433,0.377112,0.58385,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0.999964,0.830316,0.000464988,-0.94138,0.15874,0.377112,0.58385,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.999964,0.830316,0.000464988,-0.94138,0.358885,0.377112,0.58385,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.999964,0.830316,0.000464988,-0.94138,0.318608,0.377112,0.58385,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0.999964,0.830316,0.000464988,-0.94138,0.237195,0.377112,0.58385,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0.999964,0.830316,0.000464988,-0.94138,0.152463,0.377112,0.58385,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.999964,0.830316,0.000464988,-0.94138,0.378899,0.377112,0.58385,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0.999964,0.830316,0.000464988,-0.94138,0.545626,0.377112,0.58385,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0.999964,0.830316,0.000464988,-0.94138,0.50925,0.377112,0.58385,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0.999964,0.830316,0.000464988,-0.94138,0.149337,0.377112,0.58385,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0.999964,0.830316,0.000678038,1.3158,0.603583,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0.999964,0.830316,0.000678038,1.3158,12.268,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0.999964,0.830316,0.000678038,1.3158,264.429,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0.999964,0.830316,0.000678038,1.3158,14.0058,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0.999964,0.830316,0.000678038,1.3158,0.395239,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0.999964,0.830316,0.000678038,1.3158,0.0325384,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0.999964,0.830316,0.000678038,1.3158,4.89634,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0.999964,0.830316,0.000678038,1.3158,0.00727243,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0.999964,0.830316,0.000678038,1.3158,1.83433,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0.999964,0.830316,0.000678038,1.3158,0.00671818,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0.999964,0.830316,0.000678038,1.3158,5.32588,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0.999964,0.830316,0.000678038,1.3158,0.211642,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0.999964,0.830316,0.000678038,1.3158,0.0996855,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0.999964,0.830316,0.000678038,1.3158,0.143561,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0.999964,0.830316,0.000678038,1.3158,0.0940579,0.377112,0.58385,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0.999964,0.830316,0.000678038,1.3158,43.5405,0.377112,0.58385,False,69.0|274,411
1,14|783|14|783|sample|3|71|3|71|6.0,1.00013,0.830314,0.000136166,-1.1342,35.0703,0.377095,0.582519,True,6.0|71,783
1,14|783|14|783|sample|4|71|4|71|6.0,1.00013,0.830314,0.000136166,-1.1342,74.3622,0.377095,0.582519,True,6.0|71,783
1,14|783|14|783|sample|5|71|5|71|6.0,1.00013,0.830314,0.000136166,-1.1342,213.545,0.377095,0.582519,True,6.0|71,783
1,14|783|14|783|sample|6|71|6|71|6.0,1.00013,0.830314,0.000136166,-1.1342,13.3797,0.377095,0.582519,True,6.0|71,783
1,14|783|14|783|sample|7|71|7|71|6.0,1.00013,0.830314,0.000136166,-1.1342,0.0184948,0.377095,0.582519,True,6.0|71,783
1,14|783|14|783|sample|8|71|8|71|6.0,1.00013,0.830314,0.000136166,-1.1342,0.0278873,0.377095,0.582519,True,6.0|71,783
1,14|783|14|783|sample|10|71|10|71|6.0,1.00013,0.830314,0.000136166,-1.1342,23.4526,0.377095,0.582519,True,6.0|71,783
1,14|783|14|783|sample|9|71|9|71|6.0,1.00013,0.830314,0.000136166,-1.1342,51.261,0.377095,0.582519,True,6.0|71,783
