id,importanceSampling
9|411|9|411|sample|4|274|4|274|70.0,169.695949
9|411|9|411|sample|3|274|3|274|70.0,166.527693
9|411|9|411|sample|5|274|5|274|70.0,190.823435
9|411|9|411|sample|6|274|6|274|70.0,191.853143
9|411|9|411|sample|8|274|8|274|70.0,167.464497
9|411|9|411|sample|7|274|7|274|70.0,167.543946
9|411|9|411|sample|9|274|9|274|70.0,190.688933
9|411|9|411|sample|10|274|10|274|70.0,191.210881
9|411|9|411|sample|12|274|12|274|70.0,165.880164
9|411|9|411|sample|11|274|11|274|70.0,167.611422
9|411|9|411|cc|1|1|274|1|274|69.0,23.295282
9|411|9|411|cc|2|1|274|1|274|69.0,23.635461
9|411|9|411|cc|3|1|274|1|274|69.0,-10.316503
9|411|9|411|cc|4|1|274|1|274|69.0,23.797754
9|411|9|411|cc|5|1|274|1|274|69.0,-10.224704
9|411|9|411|cc|6|1|274|1|274|69.0,23.727990
9|411|9|411|cc|7|1|274|1|274|69.0,23.581981
9|411|9|411|cc|8|1|274|1|274|69.0,-8.623111
9|411|9|411|vc|1|2|274|2|274|69.0,24.845497
9|411|9|411|vc|2|2|274|2|274|69.0,24.806504
9|411|9|411|vc|3|2|274|2|274|69.0,-9.092395
9|411|9|411|vc|4|2|274|2|274|69.0,24.973030
9|411|9|411|vc|5|2|274|2|274|69.0,25.036609
9|411|9|411|vc|6|2|274|2|274|69.0,24.892815
9|411|9|411|vc|7|2|274|2|274|69.0,24.779477
9|411|9|411|vc|8|2|274|2|274|69.0,24.753843
14|783|14|783|sample|3|71|3|71|6.0,198.421252
14|783|14|783|sample|4|71|4|71|6.0,166.543002
14|783|14|783|sample|5|71|5|71|6.0,195.543870
14|783|14|783|sample|6|71|6|71|6.0,163.933638
14|783|14|783|sample|7|71|7|71|6.0,166.407810
14|783|14|783|sample|8|71|8|71|6.0,166.318897
14|783|14|783|sample|10|71|10|71|6.0,198.794852
14|783|14|783|sample|9|71|9|71|6.0,198.816307
14|783|14|783|sample|12|71|12|71|6.0,157.841631
14|783|14|783|sample|11|71|11|71|6.0,125.016918
14|783|14|783|cc|1|1|71|1|71|69.0,23.283521
14|783|14|783|cc|2|1|71|1|71|69.0,23.659596
14|783|14|783|cc|3|1|71|1|71|69.0,23.719880
14|783|14|783|cc|4|1|71|1|71|69.0,-10.278574
14|783|14|783|cc|5|1|71|1|71|69.0,23.738518
14|783|14|783|cc|6|1|71|1|71|69.0,23.635241
14|783|14|783|cc|7|1|71|1|71|69.0,23.546166
14|783|14|783|cc|8|1|71|1|71|69.0,23.267479
14|783|14|783|vc|1|2|71|2|71|69.0,25.142630
14|783|14|783|vc|2|2|71|2|71|69.0,25.151406
14|783|14|783|vc|3|2|71|2|71|69.0,25.120942
14|783|14|783|vc|4|2|71|2|71|69.0,25.144771
14|783|14|783|vc|5|2|71|2|71|69.0,25.003159
14|783|14|783|vc|6|2|71|2|71|69.0,-8.977490
14|783|14|783|vc|7|2|71|2|71|69.0,25.017576
14|783|14|783|vc|8|2|71|2|71|69.0,24.802580
14|491|14|491|sample|10|99|10|99|6.0,170.954392
14|491|14|491|sample|9|99|9|99|6.0,138.969782
14|491|14|491|sample|12|99|12|99|6.0,177.844622
14|491|14|491|sample|11|99|11|99|6.0,180.265319
14|491|14|491|sample|4|99|4|99|44.0,184.988478
14|491|14|491|sample|3|99|3|99|44.0,185.666352
14|491|14|491|sample|6|99|6|99|44.0,186.649938
14|491|14|491|sample|5|99|5|99|44.0,186.253158
14|491|14|491|sample|7|99|7|99|63.0,164.987127
14|491|14|491|sample|8|99|8|99|63.0,165.190665
14|491|14|491|cc|1|1|99|1|99|69.0,23.314666
14|491|14|491|cc|2|1|99|1|99|69.0,23.583137
14|491|14|491|cc|3|1|99|1|99|69.0,23.667145
