rep,id,eta_U,eta_L,eta_L_gap,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0,0,9.53465e-09,-1.18122,-0.289949,0,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0,0,3.40772e-08,-1.57011,-0.491784,0,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0,0,2.3964e-08,-0.209064,5.85315,0,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0,0,-5.97938e-08,-0.294059,1.28228,0,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0,0,-1.26642e-07,-0.912936,-1.37442,0,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0,0,-1.21894e-08,-1.17044,-1.30227,0,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0,0,-9.00808e-08,-0.908647,-1.91441,0,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0,0,1.95068e-08,-0.129533,-2.97872,0,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0,0,-1.12032e-07,-0.791627,-1.48349,0,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0,0,-4.69292e-08,-0.721937,-1.71597,0,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0,0,-9.32182e-09,-3.29216,2.87418,0,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0,0,9.34469e-08,3.05484,0.976079,0,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0,0,-3.28012e-08,3.05172,3.37225,0,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0,0,6.56625e-08,0.23642,-1.38808,0,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0,0,7.01297e-08,-0.495278,-2.39227,0,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0,0,8.3199e-08,-1.67588,-1.79507,0,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0,0,4.91016e-08,-1.65173,-3.2816,0,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0,0,1.33336e-07,-0.552695,0.00021271,0,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0,0,-6.18059e-08,1.1492,-0.607967,0,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0,0,8.70888e-08,-0.948443,1.92531,0,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0,0,-8.18817e-09,-2.62521,-2.34631,0,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0,0,-1.99061e-08,-2.42434,4.49279,0,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0,0,8.52364e-08,0.957843,4.26748,0,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0,0,-7.24412e-08,-2.69658,-0.0428955,0,0,False,69.0|274,411
