parameter,value,CV
U_pop,1,
beta_U_run_id_1042,5.68048645734285e-05,
beta_U_run_id_1043,0.00167890303374665,
beta_U_run_id_1056,5.86225775721606e-05,
beta_U_run_id_1099,0.0518295596563001,
beta_U_run_id_1159,1.25044451006095e-05,
beta_U_run_id_1197,-3.1137008129778e-08,
beta_U_run_id_1241,0.00177660325535631,
beta_U_run_id_1260,2.06707291892955e-07,
beta_U_run_id_152,-4.90327070662062e-05,
beta_U_run_id_183,6.06058976032992e-05,
beta_U_run_id_291,-6.17378152113987e-06,
beta_U_run_id_297,7.24524659856956e-06,
beta_U_run_id_322,0.00215756335256706,
beta_U_run_id_394,1.26901236137258e-07,
beta_U_run_id_411,-6.54259104050494e-05,
beta_U_run_id_433,6.33038728717945e-08,
beta_U_run_id_462,0.000599581292741255,
beta_U_run_id_474,-1.08130954097924e-05,
beta_U_run_id_488,0.090736219932438,
beta_U_run_id_491,0.00604869783292829,
beta_U_run_id_555,-2.70942655019051e-07,
beta_U_run_id_611,8.75510492633845e-08,
beta_U_run_id_705,7.63570201113724e-05,
beta_U_run_id_719,0.00120631062282263,
beta_U_run_id_745,0.00016759768387776,
beta_U_run_id_75,0.00435831000603838,
beta_U_run_id_77,0.000109467148034361,
beta_U_run_id_783,0.000805651500581562,
beta_U_run_id_84,-8.16015909934001e-07,
beta_U_run_id_847,0.000418530424095285,
beta_U_run_id_863,0.00131352379304829,
beta_U_run_id_963,6.46672938010422e-05,
L_pop,0.866814686099266,
beta_L_run_id_1042,-9.97522414079464e-06,
beta_L_run_id_1043,-5.28792056814247e-07,
beta_L_run_id_1056,2.06265645912406e-07,
beta_L_run_id_1099,-5.96286181975869e-07,
beta_L_run_id_1159,0.427750776576391,
beta_L_run_id_1197,3.79368340293897e-06,
beta_L_run_id_1241,9.02636130658969e-08,
beta_L_run_id_1260,0.00167863308484535,
beta_L_run_id_152,-0.00139438786694253,
beta_L_run_id_183,-3.3554061726359e-07,
beta_L_run_id_291,-0.000320620336501623,
beta_L_run_id_297,0.00107078787405101,
beta_L_run_id_322,-7.87705651552172e-07,
beta_L_run_id_394,-2.99335582567343e-07,
beta_L_run_id_411,-7.83370555901196e-07,
beta_L_run_id_433,-4.47429707448415e-07,
beta_L_run_id_462,2.18002390811918e-07,
beta_L_run_id_474,9.36085699169746e-08,
beta_L_run_id_488,2.13681336203734e-07,
beta_L_run_id_491,-3.19336700592392e-07,
beta_L_run_id_555,0.0013863230040632,
beta_L_run_id_611,0.000925737196530554,
beta_L_run_id_705,0.000984129173525838,
beta_L_run_id_719,-0.00137028087700468,
beta_L_run_id_745,0.00124565421745425,
beta_L_run_id_75,-3.29497369607076e-07,
beta_L_run_id_77,-4.15636579873868e-07,
beta_L_run_id_783,-7.03272050054702e-07,
beta_L_run_id_84,-1.60137569261842e-05,
beta_L_run_id_847,0.604902420333597,
beta_L_run_id_863,-0.000274299164475164,
beta_L_run_id_963,-3.21357429265133e-07,
L_gap_pop,0.00205919671256631,
beta_L_gap_goes_down_True,-2.74217081644398,
beta_L_gap_mab_virus_22_0_162,3.38576465255725,
beta_L_gap_mab_virus_22_0_174,3.09252263152331,
beta_L_gap_mab_virus_22_0_218,-0.755026470468195,
beta_L_gap_mab_virus_22_0_274,-0.521209413911315,
beta_L_gap_mab_virus_22_0_276,2.35553165636389,
beta_L_gap_mab_virus_22_0_292,3.31836608707031,
beta_L_gap_mab_virus_22_0_319,-1.62342417567891,
beta_L_gap_mab_virus_22_0_322,1.17429879410311,
beta_L_gap_mab_virus_22_0_65,-2.47652148718323,
beta_L_gap_mab_virus_22_0_69,1.91605287777046,
beta_L_gap_mab_virus_28_0_103,0.247534603852429,
