parameter,value,CV
f_pop,0.203569282795414,
beta_f_goes_down_True,2.4018771914347e-07,
beta_f_mab_virus_22_0_162,1.56666504701883e-07,
beta_f_mab_virus_22_0_174,4.0818823376655e-07,
beta_f_mab_virus_22_0_218,2.69717023597801e-06,
beta_f_mab_virus_22_0_274,-0.942469170336486,
beta_f_mab_virus_22_0_276,-0.273890741808694,
beta_f_mab_virus_22_0_292,1.2651025683122e-07,
beta_f_mab_virus_22_0_319,-1.80763018153065,
beta_f_mab_virus_22_0_322,3.72099649441171e-07,
beta_f_mab_virus_22_0_65,-2.1901043315909,
beta_f_mab_virus_22_0_69,1.72244280152748e-06,
beta_f_mab_virus_28_0_103,-0.481128638916446,
beta_f_mab_virus_28_0_162,-2.50741542454076e-07,
beta_f_mab_virus_28_0_174,5.53996076299484e-07,
beta_f_mab_virus_28_0_218,-2.44318889855226e-07,
beta_f_mab_virus_28_0_274,-0.594012044905962,
beta_f_mab_virus_28_0_276,3.00841197281257e-07,
beta_f_mab_virus_28_0_292,-1.98384913299291,
beta_f_mab_virus_28_0_319,-3.06727464900919e-06,
beta_f_mab_virus_28_0_322,3.82810891320676e-07,
beta_f_mab_virus_28_0_65,-1.76393837134881e-06,
beta_f_mab_virus_28_0_69,-0.924006985494783,
beta_f_mab_virus_32_0_103,1.48705410881171e-07,
beta_f_mab_virus_32_0_162,1.07690353788275e-07,
beta_f_mab_virus_32_0_174,-3.25116432222478,
beta_f_mab_virus_32_0_218,7.57783202320987e-08,
beta_f_mab_virus_32_0_274,-1.88009623719183,
beta_f_mab_virus_32_0_276,-3.11434498529561,
beta_f_mab_virus_32_0_292,-4.95767869712961,
beta_f_mab_virus_32_0_319,4.14172620146264e-07,
beta_f_mab_virus_32_0_322,3.83419536869927e-07,
beta_f_mab_virus_32_0_65,-3.46984444246755e-07,
beta_f_mab_virus_32_0_69,-2.10913484563481,
beta_f_mab_virus_44_0_99,-6.61200251679815e-07,
beta_f_mab_virus_55_0_103,1.55670906476768e-06,
beta_f_mab_virus_55_0_162,-9.36660298599145e-08,
beta_f_mab_virus_55_0_174,1.87554637311002e-07,
beta_f_mab_virus_55_0_218,-4.76975558818201,
beta_f_mab_virus_55_0_274,-1.62299398978789e-07,
beta_f_mab_virus_55_0_276,-5.55840088617797e-08,
beta_f_mab_virus_55_0_292,2.53556755058248e-06,
beta_f_mab_virus_55_0_319,-5.63209874851713,
beta_f_mab_virus_55_0_322,2.52366127438317,
beta_f_mab_virus_55_0_65,-2.68500234973784,
beta_f_mab_virus_55_0_69,-5.19536615889185e-08,
beta_f_mab_virus_6_0_233,2.3160714653928,
beta_f_mab_virus_6_0_42,5.08194692340075,
beta_f_mab_virus_6_0_71,0.187812518981744,
beta_f_mab_virus_6_0_73,-1.87970571026749e-07,
beta_f_mab_virus_6_0_99,4.74798694370898e-07,
beta_f_mab_virus_63_0_42,3.23635046538893e-06,
beta_f_mab_virus_63_0_99,-9.96857478490041e-07,
beta_f_mab_virus_65_0_103,8.61742263054689e-07,
beta_f_mab_virus_65_0_162,0.248773840879442,
beta_f_mab_virus_65_0_174,5.47349623090294e-07,
beta_f_mab_virus_65_0_218,3.86864904943977e-07,
beta_f_mab_virus_65_0_274,2.20793726882573e-07,
beta_f_mab_virus_65_0_276,-4.94870277611804e-07,
beta_f_mab_virus_65_0_292,2.35285343280976e-07,
beta_f_mab_virus_65_0_319,-4.65178910025725,
beta_f_mab_virus_65_0_322,9.03972627413178e-07,
beta_f_mab_virus_65_0_65,-2.5753758514429,
beta_f_mab_virus_65_0_69,1.34747288293883e-07,
beta_f_mab_virus_69_0_103,1.87921903564819e-05,
beta_f_mab_virus_69_0_162,1.95988431458043e-05,
beta_f_mab_virus_69_0_174,3.65033123338156e-06,
beta_f_mab_virus_69_0_218,-1.17846447301316e-05,
beta_f_mab_virus_69_0_233,7.67203898925702e-06,
beta_f_mab_virus_69_0_274,-4.98686387834976e-06,
beta_f_mab_virus_69_0_276,7.87389949220076e-07,
beta_f_mab_virus_69_0_292,6.62155927676109e-06,
beta_f_mab_virus_69_0_319,1.48803308818015e-05,
beta_f_mab_virus_69_0_322,3.19444174510416e-07,
beta_f_mab_virus_69_0_42,1.94568852574345e-06,
beta_f_mab_virus_69_0_65,6.44315587612186e-06,
beta_f_mab_virus_69_0_69,4.55758206556407e-07,
beta_f_mab_virus_69_0_71,3.13772158083702e-06,
beta_f_mab_virus_69_0_73,2.29189294996208e-05,
beta_f_mab_virus_69_0_99,2.77998014192812e-06,
beta_f_mab_virus_70_0_274,-1.66960715452123e-07,
beta_f_run_id_1042,-2.90503745568799e-07,
beta_f_run_id_1043,-3.27036668559938,
beta_f_run_id_1056,-1.33546459318273,
beta_f_run_id_1099,6.37214689087049e-06,
beta_f_run_id_1159,2.13058915166628e-07,
beta_f_run_id_1197,-2.63915708960912,
beta_f_run_id_1241,-0.251523869658716,
beta_f_run_id_1260,1.99947624996575e-07,
beta_f_run_id_152,1.13291571351301e-07,
beta_f_run_id_183,-2.88425069464947,
beta_f_run_id_291,2.04185434726831e-07,
beta_f_run_id_297,4.60268239139882e-06,
beta_f_run_id_322,2.6143376027866e-07,
beta_f_run_id_394,-1.80236342216388,
beta_f_run_id_411,-1.26019072078876e-07,
beta_f_run_id_433,-0.804188262103995,
beta_f_run_id_462,1.8208737585013,
beta_f_run_id_474,-2.80090947324052e-07,
beta_f_run_id_488,1.58904762969353e-07,
beta_f_run_id_491,-2.14520907405276,
beta_f_run_id_555,-6.32038550917285e-07,
beta_f_run_id_611,2.37995140377283e-07,
beta_f_run_id_705,-1.40939106479621e-07,
beta_f_run_id_719,1.02359461164059,
beta_f_run_id_745,-2.77034088724907,
beta_f_run_id_75,-5.98240892184491e-06,
beta_f_run_id_77,1.68162535798824e-07,
beta_f_run_id_783,3.28740463068213,
beta_f_run_id_84,-3.78713664397692e-08,
beta_f_run_id_847,-1.47257828489592e-07,
beta_f_run_id_863,-0.543018278547046,
beta_f_run_id_963,1.44523671361e-07,
h_pop,0.975989525642865,
beta_h_goes_down_True,1.28613411973788e-05,
L_gap_pop,6.70200038310065,
beta_L_gap_goes_down_True,-1.09278244963518e-06,
beta_L_gap_mab_virus_22_0_162,2.34753647987418e-06,
beta_L_gap_mab_virus_22_0_174,9.88139948532307e-07,
beta_L_gap_mab_virus_22_0_218,-3.140922082423e-07,
beta_L_gap_mab_virus_22_0_274,3.04878001600173e-06,
beta_L_gap_mab_virus_22_0_276,2.00303258068857e-06,
beta_L_gap_mab_virus_22_0_292,1.74083590209761e-06,
beta_L_gap_mab_virus_22_0_319,4.90049600898601e-07,
beta_L_gap_mab_virus_22_0_322,1.33179192474131e-06,
beta_L_gap_mab_virus_22_0_65,1.0170720905478e-06,
beta_L_gap_mab_virus_22_0_69,3.45290009917676e-06,
beta_L_gap_mab_virus_28_0_103,-1.69821293027894e-06,
beta_L_gap_mab_virus_28_0_162,1.85415021292101e-06,
beta_L_gap_mab_virus_28_0_174,2.8827264131337e-07,
beta_L_gap_mab_virus_28_0_218,-8.35191954706715e-07,
beta_L_gap_mab_virus_28_0_274,3.38981339709221e-06,
beta_L_gap_mab_virus_28_0_276,2.95772249714332e-06,
beta_L_gap_mab_virus_28_0_292,-1.83423379951364e-06,
beta_L_gap_mab_virus_28_0_319,1.38581016173589e-06,
beta_L_gap_mab_virus_28_0_322,2.7158344835243e-06,
beta_L_gap_mab_virus_28_0_65,4.96061080212939e-07,
beta_L_gap_mab_virus_28_0_69,2.04664003433663e-06,
beta_L_gap_mab_virus_32_0_103,-8.72156252995637e-07,
beta_L_gap_mab_virus_32_0_162,1.01736558377752e-06,
beta_L_gap_mab_virus_32_0_174,1.84139966918906e-06,
beta_L_gap_mab_virus_32_0_218,7.86462265978116e-07,
beta_L_gap_mab_virus_32_0_274,-9.14332588308753e-07,
beta_L_gap_mab_virus_32_0_276,9.85127179831125e-07,
beta_L_gap_mab_virus_32_0_292,2.52798717426117e-06,
beta_L_gap_mab_virus_32_0_319,1.4263308329987e-06,
beta_L_gap_mab_virus_32_0_322,1.04265604861098e-06,
beta_L_gap_mab_virus_32_0_65,-5.56386162031686e-07,
beta_L_gap_mab_virus_32_0_69,1.24679845470155e-06,
beta_L_gap_mab_virus_44_0_99,5.50017759337607e-07,
beta_L_gap_mab_virus_55_0_103,1.65258156670234e-06,
beta_L_gap_mab_virus_55_0_162,1.81182054248552e-06,
beta_L_gap_mab_virus_55_0_174,4.63151046403709e-08,
beta_L_gap_mab_virus_55_0_218,1.76539736784775e-06,
beta_L_gap_mab_virus_55_0_274,2.48656418833093e-06,
beta_L_gap_mab_virus_55_0_276,-1.92870631110509e-06,
beta_L_gap_mab_virus_55_0_292,2.27816115128121e-06,
beta_L_gap_mab_virus_55_0_319,2.47043207224351e-07,
beta_L_gap_mab_virus_55_0_322,1.57039011838833e-06,
beta_L_gap_mab_virus_55_0_65,3.05047368698297e-07,
beta_L_gap_mab_virus_55_0_69,-1.80161705287674e-06,
beta_L_gap_mab_virus_6_0_233,1.06561839885444e-06,
beta_L_gap_mab_virus_6_0_42,-6.87614615912935e-07,
beta_L_gap_mab_virus_6_0_71,5.03418998931693e-07,
beta_L_gap_mab_virus_6_0_73,1.45351478053612e-06,
beta_L_gap_mab_virus_6_0_99,1.69448952647144e-06,
beta_L_gap_mab_virus_63_0_42,2.87280601796169e-06,
beta_L_gap_mab_virus_63_0_99,1.62208349152593e-06,
beta_L_gap_mab_virus_65_0_103,1.8496312712557e-06,
beta_L_gap_mab_virus_65_0_162,1.11389315904376e-06,
beta_L_gap_mab_virus_65_0_174,2.0786925212235e-06,
beta_L_gap_mab_virus_65_0_218,-2.50286078085082e-06,
beta_L_gap_mab_virus_65_0_274,5.10739254622194e-06,
beta_L_gap_mab_virus_65_0_276,2.12841502644778e-06,
beta_L_gap_mab_virus_65_0_292,3.28056479759198e-07,
beta_L_gap_mab_virus_65_0_319,-9.73309553842228e-07,
beta_L_gap_mab_virus_65_0_322,-9.43440991107991e-07,
beta_L_gap_mab_virus_65_0_65,1.32426747612158e-06,
beta_L_gap_mab_virus_65_0_69,-5.41370841489197e-07,
beta_L_gap_mab_virus_69_0_103,-1.82351166344574e-06,
beta_L_gap_mab_virus_69_0_162,4.07768041554846e-08,
beta_L_gap_mab_virus_69_0_174,-2.3984599337723e-06,
beta_L_gap_mab_virus_69_0_218,-1.10309247958185e-07,
beta_L_gap_mab_virus_69_0_233,2.322772861163e-06,
beta_L_gap_mab_virus_69_0_274,-1.12838900889756e-07,
beta_L_gap_mab_virus_69_0_276,7.30594873488144e-07,
beta_L_gap_mab_virus_69_0_292,-3.6185269252087e-06,
beta_L_gap_mab_virus_69_0_319,-9.53152760274634e-07,
beta_L_gap_mab_virus_69_0_322,-9.96230607341886e-07,
beta_L_gap_mab_virus_69_0_42,1.04855890370459e-06,
beta_L_gap_mab_virus_69_0_65,2.61350336927535e-07,
beta_L_gap_mab_virus_69_0_69,8.47475838838818e-07,
beta_L_gap_mab_virus_69_0_71,-1.06595015125777e-06,
beta_L_gap_mab_virus_69_0_73,-2.3808194740127e-06,
beta_L_gap_mab_virus_69_0_99,7.17852028486732e-07,
beta_L_gap_mab_virus_70_0_274,1.27780840841751e-06,
