parameter,value,CV
f_goes_down_False_run_id_1017,1,
f_goes_down_False_run_id_1042,1,
f_goes_down_False_run_id_1043,1,
f_goes_down_False_run_id_1056,1,
f_goes_down_False_run_id_1099,1,
f_goes_down_False_run_id_1159,1,
f_goes_down_False_run_id_1197,1,
f_goes_down_False_run_id_1241,1,
f_goes_down_False_run_id_1260,1,
f_goes_down_False_run_id_152,1,
f_goes_down_False_run_id_183,1,
f_goes_down_False_run_id_291,1,
f_goes_down_False_run_id_297,1,
f_goes_down_False_run_id_322,1,
f_goes_down_False_run_id_394,1,
f_goes_down_False_run_id_411,1,
f_goes_down_False_run_id_433,1,
f_goes_down_False_run_id_462,1,
f_goes_down_False_run_id_474,1,
f_goes_down_False_run_id_488,1,
f_goes_down_False_run_id_491,1,
f_goes_down_False_run_id_555,1,
f_goes_down_False_run_id_611,1,
f_goes_down_False_run_id_705,1,
f_goes_down_False_run_id_719,1,
f_goes_down_False_run_id_745,1,
f_goes_down_False_run_id_75,1,
f_goes_down_False_run_id_77,1,
f_goes_down_False_run_id_783,1,
f_goes_down_False_run_id_84,1,
f_goes_down_False_run_id_847,1,
f_goes_down_False_run_id_863,1,
f_goes_down_False_run_id_963,1,
f_goes_down_True_run_id_1017,1,
f_goes_down_True_run_id_1042,1,
f_goes_down_True_run_id_1043,1,
f_goes_down_True_run_id_1056,1,
f_goes_down_True_run_id_1099,1,
f_goes_down_True_run_id_1159,1,
f_goes_down_True_run_id_1197,1,
f_goes_down_True_run_id_1241,1,
f_goes_down_True_run_id_1260,1,
f_goes_down_True_run_id_152,1,
f_goes_down_True_run_id_183,1,
f_goes_down_True_run_id_291,1,
f_goes_down_True_run_id_297,1,
f_goes_down_True_run_id_322,1,
f_goes_down_True_run_id_394,1,
f_goes_down_True_run_id_411,1,
f_goes_down_True_run_id_433,1,
f_goes_down_True_run_id_462,1,
f_goes_down_True_run_id_474,1,
f_goes_down_True_run_id_488,1,
f_goes_down_True_run_id_491,1,
f_goes_down_True_run_id_555,1,
f_goes_down_True_run_id_611,1,
f_goes_down_True_run_id_705,1,
f_goes_down_True_run_id_719,1,
f_goes_down_True_run_id_745,1,
f_goes_down_True_run_id_75,1,
f_goes_down_True_run_id_77,1,
f_goes_down_True_run_id_783,1,
f_goes_down_True_run_id_84,1,
f_goes_down_True_run_id_847,1,
f_goes_down_True_run_id_863,1,
f_goes_down_True_run_id_963,1,
h_goes_down_False_mab_virus_22.0|103,1.42714041672654,
h_goes_down_False_mab_virus_22.0|162,1.42715334737649,
h_goes_down_False_mab_virus_22.0|174,1.42722655217664,
h_goes_down_False_mab_virus_22.0|218,1.42714774240696,
h_goes_down_False_mab_virus_22.0|274,1.91307665154581,
h_goes_down_False_mab_virus_22.0|276,1.4271436802851,
h_goes_down_False_mab_virus_22.0|292,1.42728845282221,
h_goes_down_False_mab_virus_22.0|319,1.42715079197883,
h_goes_down_False_mab_virus_22.0|322,1.42711547535402,
h_goes_down_False_mab_virus_22.0|65,1.42705821676763,
h_goes_down_False_mab_virus_22.0|69,1.42716262005969,
h_goes_down_False_mab_virus_28.0|103,1.4271616913345,
h_goes_down_False_mab_virus_28.0|162,1.42726795005219,
h_goes_down_False_mab_virus_28.0|174,1.42713728904664,
h_goes_down_False_mab_virus_28.0|218,1.42710376498361,
h_goes_down_False_mab_virus_28.0|274,1.42714489033019,
h_goes_down_False_mab_virus_28.0|276,1.42717558097927,
h_goes_down_False_mab_virus_28.0|292,1.42727005792801,
h_goes_down_False_mab_virus_28.0|319,1.63373172150242,
h_goes_down_False_mab_virus_28.0|322,1.42707744083271,
h_goes_down_False_mab_virus_28.0|65,1.42710436936739,
h_goes_down_False_mab_virus_28.0|69,1.42714352348367,
h_goes_down_False_mab_virus_32.0|103,1.42744463376514,
h_goes_down_False_mab_virus_32.0|162,1.42715506637654,
h_goes_down_False_mab_virus_32.0|174,1.42714375433463,
h_goes_down_False_mab_virus_32.0|218,1.42711257433391,
h_goes_down_False_mab_virus_32.0|274,1.42714105211189,
h_goes_down_False_mab_virus_32.0|276,1.4271526941441,
h_goes_down_False_mab_virus_32.0|292,1.42715117157943,
h_goes_down_False_mab_virus_32.0|319,1.42722718224432,
h_goes_down_False_mab_virus_32.0|322,1.42701735111643,
h_goes_down_False_mab_virus_32.0|65,1.42713363619089,
h_goes_down_False_mab_virus_32.0|69,1.42714596246328,
h_goes_down_False_mab_virus_44.0|99,1.4271239171691,
h_goes_down_False_mab_virus_55.0|103,1.42712455036662,
h_goes_down_False_mab_virus_55.0|162,1.42709076917018,
h_goes_down_False_mab_virus_55.0|174,1.42713461465416,
h_goes_down_False_mab_virus_55.0|218,1.42335357936654,
h_goes_down_False_mab_virus_55.0|274,1.42714756890789,
h_goes_down_False_mab_virus_55.0|276,1.14143104092338,
h_goes_down_False_mab_virus_55.0|292,1.42714155111226,
h_goes_down_False_mab_virus_55.0|319,1.42716349162843,
h_goes_down_False_mab_virus_55.0|322,1.42708745987571,
h_goes_down_False_mab_virus_55.0|65,1.4271363206975,
h_goes_down_False_mab_virus_55.0|69,0.472784217751887,
h_goes_down_False_mab_virus_6.0|233,1.42649660611495,
h_goes_down_False_mab_virus_6.0|42,1.42713331445841,
h_goes_down_False_mab_virus_6.0|71,1.42713331056736,
h_goes_down_False_mab_virus_6.0|73,0.370675928593384,
h_goes_down_False_mab_virus_6.0|99,1.00686457268521,
h_goes_down_False_mab_virus_63.0|42,1.4271338422348,
h_goes_down_False_mab_virus_63.0|99,1.4271528159681,
h_goes_down_False_mab_virus_65.0|103,1.42724910919368,
h_goes_down_False_mab_virus_65.0|162,1.42718335024133,
h_goes_down_False_mab_virus_65.0|174,1.42714423818192,
