id,importanceSampling
411|4,140.674435
411|3,136.221267
411|5,161.883608
411|6,160.585834
411|8,139.570642
411|7,138.582079
411|9,159.817568
411|10,161.581063
411|12,137.637621
411|11,138.424255
411|1,83.994768
411|2,143.540448
783|3,184.289667
783|4,185.923278
783|5,186.198392
783|6,186.542569
783|7,141.377812
783|8,141.156505
783|10,184.824801
783|9,185.069939
783|12,141.904417
783|11,141.077126
783|1,81.768247
783|2,147.191814
491|10,149.247702
491|9,148.442203
491|12,146.115873
491|11,148.301508
491|4,155.788814
491|3,154.000669
491|6,171.519746
491|5,172.097978
491|7,135.701271
491|8,134.237377
491|1,64.220223
491|2,156.078041
433|4,163.104162
433|3,145.905040
433|6,165.828470
433|5,174.559603
433|8,137.264080
433|7,143.657134
433|10,151.204734
433|9,147.044309
433|11,157.182028
433|12,182.810115
433|1,64.683523
433|2,148.400115
297|3,173.675365
297|4,176.454462
297|5,146.746005
297|6,146.023443
297|8,153.842643
297|7,153.864185
297|9,152.505029
297|10,148.228703
297|12,180.198616
297|11,170.673324
297|1,67.948194
297|2,146.311080
183|4,134.246836
183|3,141.506994
183|6,129.359387
183|5,129.969129
183|7,133.053896
183|8,134.551180
183|10,131.392519
183|9,131.593006
183|12,133.403316
183|11,133.109953
183|1,88.137777
183|2,120.852087
705|3,142.233448
705|4,142.412631
705|5,142.824855
705|6,142.503237
705|7,143.957987
705|8,142.910172
705|10,129.201118
705|9,133.274812
705|12,128.504575
705|11,128.237290
705|1,67.305574
705|2,125.781615
555|4,162.430715
555|3,164.362559
555|5,163.893646
555|6,166.748422
555|7,136.153193
555|8,136.610941
555|9,162.550946
555|10,163.215945
555|12,132.785527
555|11,131.120756
555|1,80.116375
555|2,132.081622
394|5,150.397412
394|6,150.086724
394|7,163.293392
394|8,165.583432
394|10,149.741088
394|9,147.330659
394|12,149.975278
394|11,151.277395
394|3,206.310256
394|4,203.024481
394|1,63.418350
394|2,137.325701
1099|3,131.685889
1099|4,131.898943
1099|5,146.407976
1099|6,146.427633
1099|8,137.046523
1099|7,137.759631
