id,eta_f_SAEM,eta_h_SAEM,eta_L_plate_SAEM,eta_L_gap_SAEM,eta_U_SAEM,eta_alpha_SAEM,eta_f_mean,eta_h_mean,eta_L_plate_mean,eta_L_gap_mean,eta_U_mean,eta_alpha_mean,eta_f_mode,eta_h_mode,eta_L_plate_mode,eta_L_gap_mode,eta_U_mode,eta_alpha_mode,eta_f_sd,eta_h_sd,eta_L_plate_sd,eta_L_gap_sd,eta_U_sd,eta_alpha_sd,goes_down,mab_virus,run_id
411|4,-0.307916,1.47399,0.312667,-2.97722e-08,10.1156,-0.369238,-0.311576,1.58477,0.330338,-3.22343e-09,10.7916,-0.288475,-0.337289,1.56704,0.339841,-1.61593e-13,10.8083,-0.169882,0.176809,0.133955,0.103996,1.08253e-07,0.116356,0.392589,True,70.0|274,411
411|3,-0.809969,1.57211,0.446056,-1.37783e-08,10.0501,-0.700423,-1.02683,1.54461,0.405731,3.17131e-09,10.8842,-0.26713,-0.979953,1.55592,0.409463,1.11022e-14,10.8422,-0.302869,0.19234,0.120106,0.088089,1.05575e-07,0.157573,0.414009,True,70.0|274,411
411|5,-0.465234,1.30739,-0.0515995,-3.19228e-09,10.2688,0.057615,-0.343406,1.53141,-0.0369329,-7.93482e-09,10.8798,-0.116052,-0.329362,1.53368,-0.0349413,-8.54872e-14,10.8721,-0.0892158,0.143416,0.160928,0.221507,1.03577e-07,0.0626308,0.311143,True,70.0|274,411
411|6,-0.725009,1.12571,-0.0363584,-5.12367e-09,10.3888,0.00895721,-0.663788,1.25616,-0.00645011,1.53246e-09,11.0199,-0.0605893,-0.659837,1.2501,-0.00813205,-7.22755e-14,11.0173,-0.0170476,0.162698,0.118545,0.229335,1.01573e-07,0.0653925,0.314049,True,70.0|274,411
411|8,-0.522481,1.51727,0.280649,4.06561e-08,10.1102,-0.32198,-0.647977,1.55062,0.277765,2.52475e-09,10.854,-0.0294261,-0.605738,1.55203,0.281814,-1.44773e-13,10.8191,-0.0313392,0.282038,0.156898,0.0974892,1.08021e-07,0.191956,0.500207,True,70.0|274,411
411|7,-0.793937,1.4586,0.368206,-4.78617e-09,10.2715,0.093793,-0.700595,1.59458,0.35167,-5.57666e-09,10.8572,-0.120441,-0.678775,1.59763,0.362077,-8.33777e-14,10.8433,-0.0531769,0.227826,0.153652,0.101844,1.01457e-07,0.152869,0.448326,True,70.0|274,411
411|9,-0.673978,1.2295,0.0075697,-8.72639e-09,10.3335,0.174031,-0.629706,1.34604,-0.0159055,7.62401e-10,10.9781,0.208219,-0.607132,1.35771,-0.0016469,3.32179e-13,10.9656,0.211893,0.155377,0.12722,0.219409,1.04795e-07,0.0668659,0.293532,True,70.0|274,411
411|10,-0.515959,1.23388,-0.0600207,3.30342e-08,10.3447,0.215906,-0.389066,1.43743,-0.0340882,-7.12812e-09,10.9477,0.0986045,-0.387665,1.43246,-0.0363624,-8.87623e-14,10.9467,0.135279,0.130005,0.132588,0.220159,1.08871e-07,0.0649081,0.285603,True,70.0|274,411
411|12,-0.953341,1.32283,0.213297,1.98394e-08,10.2619,0.0969903,-0.767232,1.48855,0.252711,1.6041e-09,10.6833,-0.225309,-0.813884,1.45747,0.248573,-9.25371e-14,10.7589,-0.0364828,0.208974,0.119628,0.0985626,1.05686e-07,0.269596,0.461133,True,70.0|274,411
411|11,-0.712667,1.34802,0.273342,-2.01715e-08,10.1275,-0.372748,-0.781636,1.42185,0.26951,-9.09178e-09,10.8554,-0.210325,-0.728345,1.42669,0.27702,2.58127e-14,10.8162,-0.200346,0.2538,0.139998,0.110997,1.0506e-07,0.205724,0.45465,True,70.0|274,411
411|1,0.426334,-0.0256488,0.546733,-7.19381e-09,6.84299,-0.20927,0.75514,-0.389526,0.547689,3.08058e-10,2.41409,-0.00200455,1.5792e-08,-3.59438e-08,0.547819,3.9968e-15,5.32871e-07,-3.12449e-08,2.40035,1.45824,0.0218397,1.05773e-07,9.20878,0.5583,False,69.0|274,411
411|2,-2.45968,1.56602,-0.00100145,2.62514e-08,10.3311,0.068323,-1.64271,1.25033,0.0116384,6.73584e-09,11.0001,0.137306,-1.35726e-06,9.39074e-07,-3.80192e-05,1.15463e-14,11.0019,0.161662,1.99818,0.860114,0.225188,1.0654e-07,0.0629152,0.205347,False,69.0|274,411
783|3,2.02799,0.521149,0.02321,1.03182e-08,10.5525,0.231246,2.17255,0.673857,-0.0130776,-1.40625e-09,11.1675,0.0943224,2.25192,0.694043,-0.00303361,1.8785e-13,11.1408,0.0578665,0.346684,0.114091,0.225792,1.07615e-07,0.087989,0.321697,True,6.0|71,783
783|4,0.88224,0.348058,0.0150817,7.68089e-09,10.7385,0.524913,2.01717,0.640902,-0.00800621,6.49113e-09,11.1578,0.00153062,2.01426,0.630797,-0.00167176,7.50511e-14,11.1579,0.0455921,0.383393,0.10812,0.235272,1.03478e-07,0.0862342,0.336286,True,6.0|71,783
783|5,1.10794,0.542877,-0.0280547,-3.08585e-09,10.4923,0.140625,1.18629,0.661993,-0.00538107,4.59298e-09,11.1166,0.023803,1.25187,0.670579,-0.00956411,1.06803e-13,11.1043,0.022326,0.383278,0.0871578,0.236208,9.99027e-08,0.0857779,0.319963,True,6.0|71,783
783|6,0.747175,0.502968,-0.0276686,-7.75135e-09,10.5632,0.0650413,0.929173,0.633718,-0.007652,-5.20344e-09,11.1637,-0.0712127,0.906196,0.617934,-0.0142007,-1.50768e-13,11.1691,-0.00669649,0.450768,0.0918927,0.225329,9.95255e-08,0.0956464,0.348201,True,6.0|71,783
783|7,-2.4788,1.52372,0.159116,1.12194e-08,10.1895,-0.763541,-2.54052,1.57299,0.150493,-3.99857e-09,10.8598,-0.65887,-2.5296,1.57098,0.153552,1.37668e-13,10.85,-0.636814,0.187173,0.147149,0.0920247,1.05467e-07,0.107019,0.42928,True,6.0|71,783
783|8,-2.39025,1.43798,0.0639922,1.82911e-08,10.2066,-0.558336,-2.49251,1.45864,0.0207095,7.83216e-09,10.8995,-0.42304,-2.51835,1.43851,0.0235945,6.30607e-14,10.907,-0.356279,0.172017,0.116729,0.109045,1.03716e-07,0.0959725,0.387262,True,6.0|71,783
783|10,1.87789,0.53455,-0.0156773,-2.04132e-08,10.559,-0.0490307,1.90251,0.653547,0.00140221,-2.58943e-09,11.1965,-0.0792163,2.08358,0.690848,-0.00324583,-1.71863e-13,11.1513,-0.162849,0.488292,0.12606,0.226881,1.05485e-07,0.114807,0.363832,True,6.0|71,783
