id,importanceSampling
411|4,152.415597
411|3,150.737958
411|5,177.244895
411|6,176.946949
411|8,150.399201
411|7,150.959586
411|9,177.852216
411|10,178.510049
411|12,150.259749
411|11,150.789520
411|1,140.554220
411|2,187.460591
783|3,179.341077
783|4,178.301288
783|5,176.074013
783|6,176.202755
783|7,151.433640
783|8,149.140033
783|10,177.093421
783|9,179.033991
783|12,141.729227
783|11,139.529317
783|1,96.439296
783|2,183.333997
491|10,157.226386
491|9,158.732766
491|12,166.988458
491|11,167.671955
491|4,175.574531
491|3,174.358614
491|6,174.813546
491|5,174.540248
491|7,159.270577
491|8,155.637638
491|1,118.732784
491|2,192.147516
433|4,159.384114
433|3,155.990750
433|6,171.143797
433|5,174.125344
433|8,112.423321
433|7,147.779718
433|10,164.759872
433|9,161.580238
433|11,168.167181
433|12,166.425000
433|1,107.717967
433|2,184.323035
297|3,169.203201
297|4,171.376679
297|5,148.438654
297|6,151.390094
297|8,158.691258
297|7,158.292308
297|9,153.879349
297|10,152.191214
297|12,176.353212
297|11,176.875375
297|1,103.969904
297|2,148.565991
183|4,141.715543
183|3,147.714079
183|6,136.337148
183|5,136.448721
183|7,141.749407
183|8,142.910634
183|10,136.570470
183|9,102.505850
183|12,142.419366
183|11,143.342715
183|1,95.650547
183|2,149.387286
705|3,160.115202
705|4,162.418353
705|5,159.946669
705|6,158.565570
705|7,159.848241
705|8,159.899028
705|10,131.443103
705|9,174.254422
705|12,164.393672
705|11,171.417831
705|1,91.004030
705|2,226.191147
555|4,172.723447
555|3,172.072262
555|5,172.575367
555|6,173.269140
555|7,160.434666
555|8,161.297562
555|9,171.946888
555|10,175.103553
555|12,155.273274
555|11,149.792947
555|1,96.937232
555|2,212.302825
394|5,167.643489
394|6,131.337278
394|7,175.116145
394|8,174.220754
394|10,159.466701
394|9,157.989600
394|12,166.689717
394|11,168.059939
394|3,156.686150
394|4,161.827724
394|1,117.168052
394|2,200.504845
1099|3,149.570400
1099|4,112.795798
1099|5,158.215757
1099|6,160.284945
1099|8,168.821026
1099|7,169.335722
1099|9,151.106465
1099|10,150.309346
1099|11,163.089670
1099|12,162.788896
1099|1,112.330765
1099|2,242.906646
611|4,175.168825
611|3,172.633249
611|5,168.504835
611|6,169.278705
611|7,170.434998
611|8,171.776399
611|9,158.262980
611|10,162.061562
611|12,170.762871
611|11,170.883159
611|1,102.508766
611|2,240.989358
84|5,175.384207
84|6,175.052585
84|4,180.361718
84|3,180.504524
84|9,132.569814
84|10,167.739138
84|7,176.113824
84|8,176.188177
84|12,170.567186
84|11,170.691834
84|1,103.127023
84|2,180.401262
1042|8,160.403644
1042|7,159.459670
1042|6,169.477329
1042|5,168.387571
1042|12,158.114887
1042|11,158.638557
1042|9,166.561279
1042|10,166.742972
1042|4,163.934308
1042|3,162.260236
1042|1,105.879450
1042|2,182.015768
719|5,172.903367
719|6,172.066994
719|3,182.190410
719|4,183.054704
719|10,163.010472
719|9,163.232236
719|8,172.631570
719|7,173.309440
719|12,158.806900
719|11,159.421412
719|1,105.490203
719|2,180.948835
863|7,153.505081
863|8,153.765605
863|6,159.961151
863|5,159.128274
863|11,149.836084
863|12,152.517283
863|9,156.964167
863|10,160.772890
863|3,151.370432
863|4,155.006466
863|1,102.918974
863|2,181.349040
488|6,180.554889
488|5,181.974441
488|4,186.333841
488|3,150.933675
488|10,173.203810
488|9,173.354509
488|8,179.987608
488|7,145.478847
488|11,164.398072
488|12,166.373791
488|1,104.443974
488|2,146.763053
152|8,158.654652
152|7,159.961509
152|6,168.287275
152|5,168.386865
152|12,152.986601
152|11,152.497568
152|10,126.662775
152|9,161.494365
152|3,161.753489
152|4,162.407574
152|1,104.337310
152|2,181.112072
847|6,190.441241
847|3,173.963607
847|4,206.335146
847|10,163.591105
847|9,163.590204
847|7,180.144027
847|8,181.003068
847|12,175.167364
847|11,177.001336
847|5,194.438325
847|1,109.402024
847|2,211.028006
1241|8,165.882069
1241|7,167.070175
1241|5,185.527371
1241|6,182.505478
1241|11,164.129793
1241|12,123.112514
1241|9,174.049350
1241|10,171.651877
1241|3,183.868525
1241|4,182.124707
1241|1,110.120234
1241|2,220.257056
474|5,189.410563
474|6,187.866874
474|3,203.091016
474|4,201.158940
474|9,159.786007
474|10,160.521555
474|8,172.344871
474|7,172.763334
474|12,168.168023
474|11,171.879701
474|1,110.474695
474|2,200.932875
1056|8,156.587269
1056|7,160.722235
1056|6,166.628160
1056|5,166.716140
1056|12,148.359840
1056|11,151.556914
1056|10,160.515669
1056|9,160.131521
1056|4,161.776762
1056|3,159.449698
1056|1,107.421264
1056|2,199.917137
462|6,182.563434
462|5,184.175736
462|4,158.185175
462|3,156.576558
462|9,151.477847
462|10,151.687845
462|7,164.755449
462|8,165.360524
462|11,169.374739
462|12,167.735937
462|1,101.133627
462|2,208.747134
1159|8,161.059232
1159|7,161.032123
1159|5,169.218605
1159|6,169.892457
1159|11,148.857757
1159|12,145.520512
1159|9,160.941378
1159|10,160.321565
1159|4,164.807554
1159|3,164.938778
1159|1,100.868444
1159|2,188.662430
75|6,143.855970
75|5,146.840190
75|3,164.229690
75|4,165.134342
75|9,167.154215
75|10,168.197477
75|7,175.169119
75|8,172.201035
75|12,149.827751
75|11,153.681585
75|1,96.334499
75|2,237.046058
1017|7,102.745597
1017|8,136.495537
1017|5,150.968176
1017|6,116.225931
1017|12,106.800956
1017|11,144.548530
1017|10,156.563752
1017|9,157.551906
1017|4,147.284735
1017|3,144.171667
1017|1,96.644444
1017|2,236.494871
291|6,167.171919
291|5,165.726467
291|4,182.126449
291|3,181.892309
291|9,149.609721
291|10,149.922637
291|8,126.625382
291|7,160.686358
291|11,150.345073
291|12,152.503100
291|1,98.431174
291|2,148.973605
1197|7,141.599163
1197|8,142.167516
1197|6,151.365880
1197|5,152.747893
1197|12,141.717825
1197|10,149.849170
1197|9,148.853344
1197|3,145.103607
1197|4,144.210404
1197|11,144.399431
1197|1,100.450406
1197|2,184.328009
77|6,133.951020
77|5,140.506280
77|3,149.840362
77|4,146.265530
77|9,148.185884
77|10,149.420159
77|8,123.422397
77|7,123.352001
77|12,145.046422
77|11,111.699795
77|1,97.536421
77|2,168.063229
745|7,130.919568
745|8,133.566806
745|6,149.387198
745|5,146.092139
745|3,149.647382
745|11,142.606632
745|12,145.859556
745|10,155.464073
745|9,152.795278
745|4,152.316477
745|1,97.943705
745|2,198.928346
322|6,146.618469
322|5,147.385910
322|3,156.104261
322|4,157.192426
322|10,144.403058
322|9,146.341603
322|7,156.943640
322|8,154.709684
322|12,149.050314
322|11,148.592174
322|1,97.883348
322|2,187.675278
1043|6,141.259213
1043|7,128.328175
1043|8,129.629957
1043|5,105.722051
1043|11,132.066829
1043|12,130.981530
1043|10,140.268247
1043|9,143.479561
1043|4,137.838306
1043|3,139.353381
1043|1,94.938527
1043|2,174.198116
963|6,126.389344
963|5,128.802347
963|4,148.284846
963|3,147.935079
963|10,148.734119
963|9,148.080081
963|7,158.812154
963|8,161.559517
963|11,162.977991
963|12,161.373059
963|1,98.626544
963|2,196.383831
1260|8,124.629020
1260|7,123.104100
1260|6,144.013743
1260|5,143.216972
1260|11,141.902680
1260|12,142.528068
1260|10,119.560619
1260|9,152.710577
1260|4,152.128344
1260|3,153.535381
1260|1,96.714922
1260|2,198.230880
