id,f_SAEM,h_SAEM,L_plate_SAEM,L_gap_SAEM,U_SAEM,alpha_SAEM,m_SAEM,f_mean,h_mean,L_plate_mean,L_gap_mean,U_mean,alpha_mean,m_mean,f_mode,h_mode,L_plate_mode,L_gap_mode,U_mode,alpha_mode,m_mode,f_sd,h_sd,L_plate_sd,L_gap_sd,U_sd,alpha_sd,m_sd,goes_down,mab_virus,run_id
411|4,0.556283,1.46049,702.944,-0.168516,59581,0.292164,-1.27747e-05,0.529458,1.40668,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.534044,1.42742,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.0588622,0.0922546,0,3.0207e-08,0,0,0,True,70.0|274,411
411|3,0.31939,1.46792,702.944,-0.168516,59581,0.292164,-1.27747e-05,0.325181,1.48567,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.315996,1.46131,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.0335502,0.0958505,0,2.43572e-08,0,0,0,True,70.0|274,411
411|5,0.599164,1.40157,702.944,-0.168516,59581,0.292164,-1.27747e-05,0.594506,1.40347,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.560379,1.35154,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.082483,0.139483,0,2.42144e-08,0,0,0,True,70.0|274,411
411|6,0.586728,1.30478,702.944,-0.168516,59581,0.292164,-1.27747e-05,0.558982,1.25718,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.524381,1.2264,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.0852789,0.116448,0,2.74385e-08,0,0,0,True,70.0|274,411
411|8,0.451335,1.51139,702.944,-0.168516,59581,0.292164,-1.27747e-05,0.441979,1.48751,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.420278,1.45337,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.0609443,0.1208,0,2.6077e-08,0,0,0,True,70.0|274,411
411|7,0.413997,1.50229,702.944,-0.168516,59581,0.292164,-1.27747e-05,0.400453,1.46646,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.397859,1.46815,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.0434913,0.0997788,0,2.51285e-08,0,0,0,True,70.0|274,411
411|9,0.52252,1.34616,702.944,-0.168516,59581,0.292164,-1.27747e-05,0.505882,1.33498,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.499073,1.32807,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.0638636,0.112438,0,2.62097e-08,0,0,0,True,70.0|274,411
411|10,0.57978,1.32359,702.944,-0.168516,59581,0.292164,-1.27747e-05,0.604713,1.34555,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.603512,1.35981,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.0870789,0.142441,0,2.71844e-08,0,0,0,True,70.0|274,411
411|12,0.367643,1.38568,702.944,-0.168516,59581,0.292164,-1.27747e-05,0.392018,1.44671,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.380871,1.43015,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.0517535,0.103824,0,2.29642e-08,0,0,0,True,70.0|274,411
411|11,0.430439,1.41813,702.944,-0.168516,59581,0.292164,-1.27747e-05,0.413531,1.39162,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.41308,1.39093,703.178,-0.168516,59802.1,0.290989,-1.28831e-05,0.0479958,0.0923454,0,2.34131e-08,0,0,0,True,70.0|274,411
