id,importanceSampling
411|4,140.376952
411|3,139.116654
411|5,161.978443
411|6,160.282429
411|8,137.135998
411|7,138.239286
411|9,158.166262
411|10,161.401034
411|12,134.536664
411|11,137.092865
411|1,115.509342
411|2,159.744065
152|8,147.942582
152|7,149.133258
152|6,155.368534
152|5,155.411053
152|12,149.875985
152|11,144.059785
152|10,149.439506
152|9,152.025006
152|3,151.106933
152|4,151.042119
152|1,92.295561
152|2,167.890756
1056|8,149.379085
1056|7,153.337179
1056|6,153.447095
1056|5,154.621972
1056|12,146.225240
1056|11,146.921514
1056|10,155.591442
1056|9,158.038675
1056|4,153.192596
1056|3,149.390836
1056|1,91.948364
1056|2,173.080869
462|6,169.869087
462|5,174.142839
462|4,179.193732
462|3,177.329413
462|9,150.219395
462|10,156.007843
462|7,156.647633
462|8,158.857728
462|11,173.388993
462|12,172.845712
462|1,95.347541
462|2,182.832302
1159|8,155.601674
1159|7,157.879232
1159|5,162.832302
1159|6,162.456330
1159|11,141.553663
1159|12,142.659756
1159|9,151.187591
1159|10,155.503761
1159|4,155.923680
1159|3,154.303155
1159|1,96.928763
1159|2,190.005537
1197|7,133.791092
1197|8,132.513361
1197|6,140.344848
1197|5,141.180641
1197|12,139.484809
1197|10,144.079468
1197|9,139.257368
1197|3,134.457458
1197|4,133.286928
1197|11,135.825375
1197|1,96.392831
1197|2,179.299486
