parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
f_pop,1,,0.639780046791449,63.9780046791449,0.360116,2.77688
beta_f_goes_down_True,0,,nan,nan,nan,nan
beta_f_mab_virus_22_0_276,0,,2.60138755138636,inf,-5.09863,5.09863
beta_f_mab_virus_22_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_22_0_322,0,,1.7002249096947,inf,-3.33238,3.33238
beta_f_mab_virus_28_0_103,0,,nan,nan,nan,nan
beta_f_mab_virus_28_0_276,0,,1.26985077483751,inf,-2.48886,2.48886
beta_f_mab_virus_28_0_292,0,,2.48840696362168,inf,-4.87719,4.87719
beta_f_mab_virus_28_0_322,0,,nan,nan,nan,nan
beta_f_mab_virus_32_0_292,0,,1.56996778682776,inf,-3.07708,3.07708
beta_f_mab_virus_55_0_292,0,,2.62745038897992,inf,-5.14971,5.14971
beta_f_mab_virus_65_0_103,0,,1.53624147136196,inf,-3.01098,3.01098
beta_f_mab_virus_65_0_276,0,,nan,nan,nan,nan
beta_f_mab_virus_65_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_65_0_322,0,,1.4766490786816,inf,-2.89418,2.89418
beta_f_mab_virus_69_0_103,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_274,0,,7.00778856730021,inf,-13.735,13.735
beta_f_mab_virus_69_0_276,0,,4.20783411168341,inf,-8.2472,8.2472
beta_f_mab_virus_69_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_322,0,,6.37898768540311,inf,-12.5026,12.5026
beta_f_mab_virus_70_0_274,0,,nan,nan,nan,nan
h_pop,0,,nan,nan,nan,nan
beta_h_goes_down_True,0,,nan,nan,nan,nan
beta_h_mab_virus_22_0_276,0,,2.29086522224269,inf,-4.49001,4.49001
beta_h_mab_virus_22_0_292,0,,nan,nan,nan,nan
beta_h_mab_virus_22_0_322,0,,1.49149121955069,inf,-2.92327,2.92327
beta_h_mab_virus_28_0_103,0,,nan,nan,nan,nan
beta_h_mab_virus_28_0_276,0,,1.77810467868807,inf,-3.48502,3.48502
beta_h_mab_virus_28_0_292,0,,2.31322551906571,inf,-4.53384,4.53384
beta_h_mab_virus_28_0_322,0,,nan,nan,nan,nan
beta_h_mab_virus_32_0_292,0,,1.9193599216785,inf,-3.76188,3.76188
beta_h_mab_virus_55_0_292,0,,1.27363621122953,inf,-2.49628,2.49628
beta_h_mab_virus_65_0_103,0,,1.6848647705506,inf,-3.30227,3.30227
beta_h_mab_virus_65_0_276,0,,0.588632527753789,inf,-1.1537,1.1537
beta_h_mab_virus_65_0_292,0,,nan,nan,nan,nan
beta_h_mab_virus_65_0_322,0,,1.42937275841784,inf,-2.80152,2.80152
beta_h_mab_virus_69_0_103,0,,nan,nan,nan,nan
beta_h_mab_virus_69_0_274,0,,3.8669465535619,inf,-7.57908,7.57908
beta_h_mab_virus_69_0_276,0,,2.63541643281471,inf,-5.16532,5.16532
beta_h_mab_virus_69_0_292,0,,1.37149880539008,inf,-2.68809,2.68809
beta_h_mab_virus_69_0_322,0,,3.46834090199093,inf,-6.79782,6.79782
beta_h_mab_virus_70_0_274,0,,nan,nan,nan,nan
L_plate_pop,703.178163591294,,20.6819614643766,2.9412121330317,663.813,744.877
beta_L_plate_run_id_1159,-0.228864075776926,,0.0505149850514738,22.0720464231838,-0.327872,-0.129857
beta_L_plate_run_id_1197,-0.25612384158403,,0.0453643787733346,17.7118922208775,-0.345036,-0.167211
beta_L_plate_run_id_152,-0.0870490906503681,,0.0481644161342402,55.330177230331,-0.18145,0.00735143
beta_L_plate_run_id_411,-4.75119008656424e-09,,0.0601742072539923,1266508099.18461,-0.117939,0.117939
beta_L_plate_run_id_462,7.9681143711678e-11,,0.0872808058623224,109537591701.926,-0.171067,0.171067
L_gap_pop,0.172347288381525,,nan,nan,nan,nan
beta_L_gap_goes_down_True,3.05434752943531,,nan,nan,nan,nan
beta_L_gap_mab_virus_22_0_276,-3.35019559991112,,nan,nan,nan,nan
beta_L_gap_mab_virus_22_0_292,-1.65398145897231,,nan,nan,nan,nan
beta_L_gap_mab_virus_22_0_322,-1.1131894721301,,4.70753970464333e-08,4.2288755171529e-06,-1.11319,-1.11319
beta_L_gap_mab_virus_28_0_103,-2.30192748619293,,1.53313065419206e-07,6.66020395250437e-06,-2.30193,-2.30193
beta_L_gap_mab_virus_28_0_276,-3.42048897413329,,2.98773932301974e-08,8.73483103034063e-07,-3.42049,-3.42049
beta_L_gap_mab_virus_28_0_292,-3.54267045286279,,3.62530402383616e-08,1.02332522092384e-06,-3.54267,-3.54267
beta_L_gap_mab_virus_28_0_322,-1.45250668236414,,nan,nan,nan,nan
beta_L_gap_mab_virus_32_0_292,-2.5876310524902,,nan,nan,nan,nan
beta_L_gap_mab_virus_55_0_292,-3.91787220088986,,9.07233756081381e-08,2.31562876368281e-06,-3.91787,-3.91787
beta_L_gap_mab_virus_65_0_103,-6.41579662459869,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_276,-2.62920111000134,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_292,-1.17268747342439,,6.20836220410345e-08,5.29413193608549e-06,-1.17269,-1.17269
beta_L_gap_mab_virus_65_0_322,-3.56266915498492,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_103,1.04307260117382,,2.69070512605398e-07,2.57959524871615e-05,1.04307,1.04307
beta_L_gap_mab_virus_69_0_274,0.110058392256659,,1.39426078766706e-07,0.000126683732069755,0.110058,0.110059
beta_L_gap_mab_virus_69_0_276,-4.04499148101002,,7.70079254625828e-08,1.90378461423494e-06,-4.04499,-4.04499
