id,f_SAEM,h_SAEM,L_SAEM,U_SAEM,alpha_SAEM,m_SAEM,f_mean,h_mean,L_mean,U_mean,alpha_mean,m_mean,f_mode,h_mode,L_mode,U_mode,alpha_mode,m_mode,f_sd,h_sd,L_sd,U_sd,alpha_sd,m_sd,goes_down,mab_virus,run_id
411|4,0.67624,1.58741,834.593,52330,-0.0395155,-0.00486813,0.788667,1.63349,834.593,46435.7,-0.21739,-0.0234802,0.769787,1.62917,834.593,46316.5,-0.157827,-0.0188934,0.13768,0.136764,3.73762e-05,6395.69,0.289691,0.026803,True,70.0|274,411
411|3,0.52997,1.78568,834.593,40832.8,-0.62472,-0.0338708,0.403327,1.60167,834.593,49408.1,-0.37327,-0.0189106,0.394909,1.59301,834.593,48448.4,-0.285077,-0.0153619,0.0866297,0.13166,2.85466e-05,10923.4,0.35667,0.0310378,True,70.0|274,411
411|5,0.773466,1.52105,834.593,52251.7,0.0837733,-0.0246028,0.876667,1.49064,834.593,51537.5,0.270001,-0.0451905,0.84435,1.5493,834.593,50736.5,0.191861,-0.0384843,0.190222,0.218464,4.44866e-05,3988.02,0.358102,0.0306639,True,70.0|274,411
411|6,0.586991,1.25475,834.593,59521.9,0.0847391,-0.0225994,0.595008,1.29101,834.593,59270.1,0.00749831,-0.0203105,0.554867,1.27134,834.593,59526,0.0753625,-0.015521,0.137207,0.163703,0,4962.29,0.370567,0.030203,True,70.0|274,411
411|8,0.592642,1.59341,834.593,45779,-0.131115,-0.0306805,0.618742,1.64102,834.593,45737.6,-0.0980338,-0.0280935,0.604279,1.63248,834.593,45490.8,-0.0180674,-0.025912,0.110346,0.131636,2.41263e-05,6503.45,0.304625,0.0254072,True,70.0|274,411
411|7,0.50849,1.62206,834.593,51070.1,-0.070616,-0.00501169,0.549824,1.65945,834.593,48871.8,-0.166243,-0.0161404,0.553532,1.66955,834.593,47514.9,-0.125376,-0.0134764,0.10561,0.133963,4.17879e-05,7668.26,0.33273,0.0275996,True,70.0|274,411
411|9,0.708706,1.46268,834.593,53638.9,0.242962,-0.0284371,0.591764,1.42431,834.593,56564.4,0.121673,-0.00695059,0.547936,1.39177,834.593,57571.9,0.229178,-0.00190136,0.114527,0.146114,6.19815e-05,4185.79,0.355051,0.0306511,True,70.0|274,411
411|10,0.919498,1.19287,834.593,57687.9,0.681058,-0.0643975,0.772645,1.35937,834.593,56950.5,0.39825,-0.0332366,0.803768,1.40411,834.593,55404.7,0.43543,-0.0389166,0.185916,0.19958,3.73762e-05,4815.89,0.34773,0.0324563,True,70.0|274,411
411|12,0.538646,1.56006,834.593,38971,-0.0911343,-0.0463924,0.509669,1.55396,834.593,44601.8,-0.0143363,-0.030329,0.471758,1.51665,834.593,46100.8,0.070533,-0.0210928,0.110838,0.129601,4.17879e-05,10926.8,0.204452,0.0338906,True,70.0|274,411
411|11,0.510214,1.52959,834.593,52170.2,-0.0230872,-0.0145524,0.55808,1.51423,834.593,45076.9,-0.198793,-0.0384472,0.529036,1.49403,834.593,46553.2,-0.0736436,-0.0308114,0.10366,0.128046,3.5785e-05,7761.76,0.244167,0.0284534,True,70.0|274,411
