parameter,value,CV
h_mab_virus_22.0|103,1.4262812188101,
h_mab_virus_22.0|162,1.4263028746537,
h_mab_virus_22.0|174,1.42642171428238,
h_mab_virus_22.0|218,1.42631388843695,
h_mab_virus_22.0|274,1.42629682691074,
h_mab_virus_22.0|276,1.42625211547426,
h_mab_virus_22.0|292,1.42635018877869,
h_mab_virus_22.0|319,1.4263095827277,
h_mab_virus_22.0|322,1.42628623899781,
h_mab_virus_22.0|65,1.42623298028832,
h_mab_virus_22.0|69,1.42630614244745,
h_mab_virus_28.0|103,1.42629795750916,
h_mab_virus_28.0|162,1.42631854361573,
h_mab_virus_28.0|174,1.42628999509446,
h_mab_virus_28.0|218,1.42627038050427,
h_mab_virus_28.0|274,1.42631151833891,
h_mab_virus_28.0|276,1.42627326146364,
h_mab_virus_28.0|292,1.42628100237621,
h_mab_virus_28.0|319,1.42637618178009,
h_mab_virus_28.0|322,1.42629640485306,
h_mab_virus_28.0|65,1.42628596970992,
h_mab_virus_28.0|69,1.42632374831407,
h_mab_virus_32.0|103,1.42628088267664,
h_mab_virus_32.0|162,1.42623349804518,
h_mab_virus_32.0|174,1.42628491410125,
h_mab_virus_32.0|218,1.42625540269657,
h_mab_virus_32.0|274,1.42631959335912,
h_mab_virus_32.0|276,1.42632343865998,
h_mab_virus_32.0|292,1.42631970703784,
h_mab_virus_32.0|319,1.42627073795771,
h_mab_virus_32.0|322,1.42626542414405,
h_mab_virus_32.0|65,1.42627714822994,
h_mab_virus_32.0|69,1.42635565842869,
h_mab_virus_44.0|99,1.42628512394096,
h_mab_virus_55.0|103,1.42628020166585,
h_mab_virus_55.0|162,1.42628080684934,
h_mab_virus_55.0|174,0.923549622168749,
h_mab_virus_55.0|218,1.42628200044657,
h_mab_virus_55.0|274,1.42676596868341,
h_mab_virus_55.0|276,1.42625201312603,
h_mab_virus_55.0|292,1.42629282625587,
h_mab_virus_55.0|319,1.42629280180922,
h_mab_virus_55.0|322,1.42627338202179,
h_mab_virus_55.0|65,1.42627897288162,
h_mab_virus_55.0|69,1.42626833889022,
h_mab_virus_6.0|233,1.42628085859597,
h_mab_virus_6.0|42,1.42627468719503,
h_mab_virus_6.0|71,1.42629007611364,
h_mab_virus_6.0|73,0.368255358890246,
h_mab_virus_6.0|99,1.42625172597063,
h_mab_virus_63.0|42,1.42627629116779,
h_mab_virus_63.0|99,1.42636662978654,
h_mab_virus_65.0|103,1.90117481745109,
h_mab_virus_65.0|162,1.80944762037948,
h_mab_virus_65.0|174,1.42634751377462,
h_mab_virus_65.0|218,1.42629594583459,
h_mab_virus_65.0|274,1.42628651441882,
h_mab_virus_65.0|276,1.42631355479778,
h_mab_virus_65.0|292,1.42633889861567,
h_mab_virus_65.0|319,1.42627003495357,
h_mab_virus_65.0|322,1.42628403904082,
h_mab_virus_65.0|65,1.42615728953569,
h_mab_virus_65.0|69,1.42624930462767,
h_mab_virus_69.0|103,1.42644527048167,
h_mab_virus_69.0|162,1.42633258430223,
h_mab_virus_69.0|174,1.42626758187886,
h_mab_virus_69.0|218,1.42635216109803,
h_mab_virus_69.0|233,1.42623179075873,
h_mab_virus_69.0|274,1.42621931568599,
h_mab_virus_69.0|276,1.42630139884433,
h_mab_virus_69.0|292,1.42627057894371,
h_mab_virus_69.0|319,1.42626765619916,
h_mab_virus_69.0|322,1.42627667204051,
h_mab_virus_69.0|42,1.42623439384548,
h_mab_virus_69.0|65,1.42628787344389,
h_mab_virus_69.0|69,1.42632778743154,
h_mab_virus_69.0|71,1.42629194524816,
h_mab_virus_69.0|73,1.42627609330509,
h_mab_virus_69.0|99,1.42643579526026,
h_mab_virus_70.0|274,1.42628502495794,
eta_alpha_run_id_1017,0.0251221623408869,
eta_alpha_run_id_1042,0.0253500823221113,
eta_alpha_run_id_1043,0.0251244530749544,
eta_alpha_run_id_1056,0.0251500251331583,
eta_alpha_run_id_1099,0.0251166405038165,
eta_alpha_run_id_1159,0.0251235460877843,
eta_alpha_run_id_1197,0.0260015987720527,
eta_alpha_run_id_1241,0.0249273844687224,
eta_alpha_run_id_1260,0.025167802187084,
eta_alpha_run_id_152,0.0250906351451145,
eta_alpha_run_id_183,0.0259078515883504,
eta_alpha_run_id_291,0.0251907555338771,
eta_alpha_run_id_297,0.0251273925424166,
eta_alpha_run_id_322,0.0251132463751313,
eta_alpha_run_id_394,0.0251187240588731,
eta_alpha_run_id_411,0.0256802472842403,
eta_alpha_run_id_433,-0.0904496403302191,
eta_alpha_run_id_462,0.0252185632128947,
eta_alpha_run_id_474,0.0251376017092776,
eta_alpha_run_id_488,0.0251181695459839,
eta_alpha_run_id_491,0.0251222701456565,
eta_alpha_run_id_555,0.0251285652267526,
eta_alpha_run_id_611,0.0250955359176956,
eta_alpha_run_id_705,0.0251132478456543,
eta_alpha_run_id_719,0.025020710572217,
eta_alpha_run_id_745,0.0251147626887741,
eta_alpha_run_id_75,0.0251061178653506,
eta_alpha_run_id_77,0.0251596835648255,
eta_alpha_run_id_783,0.0251214544537618,
eta_alpha_run_id_84,0.0249745736281877,
eta_alpha_run_id_847,0.0251045174339378,
eta_alpha_run_id_863,0.0251019873722447,
eta_alpha_run_id_963,0.0250739583712221,
omega_f,3.14500805298477,14054.2862552591
omega_L_gap,6.39056157861944e-08,-1744.95532935836
acc,2.22044604925031e-16,
bcc,0.0628646688969533,
asample,31.8363724399686,
bsample,0.233854604789941,
avc,90.5801616559458,
bvc,0.052179834448508,
