rep,id,f,h,L_gap,eta_alpha,m_m4b,mab_virus,run_id
1,411|4,2.64638e-05,0.995,6.905,-1.32633,93473.2,70.0|274,411
1,411|3,0.000552157,0.995,6.905,2.10105,7.46794e-07,70.0|274,411
1,411|5,0.00291619,0.995,6.905,4.16159,0.00020773,70.0|274,411
1,411|6,0.0084961,0.995,6.905,3.71641,6.43544,70.0|274,411
1,411|8,5.51491e-09,0.995,6.905,0.0675906,2.79695e+08,70.0|274,411
1,411|7,2.85488e-06,0.995,6.905,2.47889,1.30788e+06,70.0|274,411
1,411|9,0.00149833,0.995,6.905,2.34139,0.909284,70.0|274,411
1,411|10,0.00118475,0.995,6.905,-3.47653,248.639,70.0|274,411
1,411|12,8.37889e-05,0.995,6.905,-4.54874,1.93647,70.0|274,411
1,411|11,0.000310076,0.995,6.905,-1.83536,3.3853e-06,70.0|274,411
1,411|1,123.867,0.994999,6.905,-4.24652,0.00588237,69.0|274,411
1,411|2,0.00589334,0.994999,6.905,2.29742,64.9217,69.0|274,411
1,783|3,0.0177241,0.995,6.905,-0.727175,6.31631,6.0|71,783
1,783|4,0.0154452,0.995,6.905,-1.76483,0.183965,6.0|71,783
1,783|5,0.0140879,0.995,6.905,-3.46621,0.0556449,6.0|71,783
1,783|6,0.0273398,0.995,6.905,0.399674,0.0552199,6.0|71,783
1,783|7,3.20985e-06,0.995,6.905,-0.427923,93447.4,6.0|71,783
1,783|8,0.000610664,0.995,6.905,-1.96469,0.146267,6.0|71,783
1,783|10,0.00905432,0.995,6.905,-0.224855,1.70983,6.0|71,783
1,783|9,0.0152,0.995,6.905,3.79571,0.00568371,6.0|71,783
1,783|12,4.98992e-06,0.995,6.905,-2.91585,1950.77,6.0|71,783
1,783|11,1.45457e-05,0.995,6.905,2.55646,0.0096055,6.0|71,783
1,783|1,56.1772,0.995,6.905,5.82283,148.938,69.0|71,783
1,783|2,8.68247,0.995,6.905,1.56719,0.00213212,69.0|71,783
1,491|10,4.37965e-05,0.995,6.905,-1.40535,40.0091,6.0|99,491
1,491|9,4.86804e-05,0.995,6.905,-1.11641,0.00905775,6.0|99,491
1,491|12,3.4079e-06,0.995,6.905,-0.781922,1.37765,6.0|99,491
1,491|11,2.03154e-05,0.995,6.905,-5.21333,43.1028,6.0|99,491
1,491|4,0.000265649,0.995,6.905,-0.133539,0.000503378,44.0|99,491
1,491|3,0.0001693,0.995,6.905,-2.83686,3.51868,44.0|99,491
1,491|6,0.00117944,0.995,6.905,-0.00572421,0.00797206,44.0|99,491
1,491|5,0.000501196,0.995,6.905,-0.633708,0.455446,44.0|99,491
1,491|7,6.18035e-06,0.994999,6.905,-1.16089,5441.35,63.0|99,491
1,491|8,8.60586e-07,0.994999,6.905,0.190199,51384,63.0|99,491
1,491|1,0.000604587,0.995,6.905,1.79762,1.3785,69.0|99,491
1,491|2,0.000284018,0.995,6.905,1.10366,770.687,69.0|99,491
1,433|4,7.30413e-05,0.995,6.905,1.73196,134.909,6.0|99,433
1,433|3,4.77952e-05,0.995,6.905,-0.61342,1.97324e-06,6.0|99,433
1,433|6,0.00548881,0.995,6.905,0.400002,0.137377,6.0|99,433
1,433|5,0.00525096,0.995,6.905,3.61409,160.377,6.0|99,433
1,433|8,1.49611e-05,0.995,6.905,-0.21895,8686.8,6.0|99,433
1,433|7,1.00061e-05,0.995,6.905,2.93577,8851.04,6.0|99,433
1,433|10,0.000181619,0.995,6.905,2.2815,0.0270666,6.0|99,433
1,433|9,0.000452005,0.995,6.905,0.243619,0.00104552,6.0|99,433
1,433|11,0.00015319,0.995,6.905,1.55891,27.3795,6.0|99,433
1,433|12,8.47438e-05,0.995,6.905,3.80268,12.7922,6.0|99,433
1,433|1,5.38231e-11,0.994999,6.905,-3.39439,0.157397,69.0|99,433
1,433|2,0.113797,0.995,6.905,-1.39119,0.000962381,69.0|99,433
1,297|3,0.000509901,0.995,6.905,-2.21219,8.74989e-05,6.0|71,297
1,297|4,0.00129292,0.995,6.905,0.216193,25.2418,6.0|71,297
1,297|5,1.12263e-05,0.995,6.905,-5.23154,24633.8,6.0|71,297
1,297|6,4.48855e-05,0.995,6.905,0.662474,5527.39,6.0|71,297
1,297|8,0.000567278,0.995,6.905,0.661515,87.9718,6.0|71,297
1,297|7,1.09094e-05,0.995,6.905,0.296486,225868,6.0|71,297
1,297|9,0.000139154,0.995,6.905,-2.20747,0.000614969,6.0|71,297
1,297|10,2.24157e-05,0.995,6.905,1.19639,879.134,6.0|71,297
1,297|12,0.000383878,0.995,6.905,1.78325,0.0167941,6.0|71,297
1,297|11,0.000746242,0.995,6.905,0.573711,11.0826,6.0|71,297
1,297|1,33.2353,0.994999,6.905,5.20666,9.36568e-06,69.0|71,297
1,297|2,2175.66,0.994999,6.905,0.5869,1.59555e-06,69.0|71,297
1,183|4,0.000343491,0.995,6.905,0.356959,13.4154,6.0|233,183
1,183|3,0.000127627,0.995,6.905,0.952272,0.0185276,6.0|233,183
1,183|6,5.38496e-05,0.995,6.905,-0.574544,1340.31,6.0|233,183
1,183|5,9.84134e-05,0.995,6.905,0.064086,0.0836115,6.0|233,183
1,183|7,0.00361576,0.995,6.905,0.167712,0.000779401,6.0|233,183
1,183|8,0.00260804,0.995,6.905,-1.16011,0.0336772,6.0|233,183
1,183|10,1.38014e-05,0.995,6.905,0.114665,0.00492532,6.0|233,183
1,183|9,7.64701e-05,0.995,6.905,3.2065,1.16457,6.0|233,183
1,183|12,1.01502e-06,0.995,6.905,-0.922172,6.94841e-05,6.0|233,183
1,183|11,8.93626e-05,0.995,6.905,4.24701,0.135164,6.0|233,183
1,183|1,1.62595,0.995,6.905,-0.326324,1.90579,69.0|233,183
1,183|2,131.545,0.995,6.905,-1.66236,0.0573955,69.0|233,183
1,705|3,0.00559981,0.995,6.905,-1.80531,0.00109773,6.0|233,705
1,705|4,0.0094808,0.995,6.905,6.20355,1.26337,6.0|233,705
1,705|5,0.00630819,0.995,6.905,3.02033,1.03511,6.0|233,705
1,705|6,0.0253623,0.995,6.905,2.87846,0.588465,6.0|233,705
1,705|7,0.0188551,0.995,6.905,-2.79245,0.137029,6.0|233,705
1,705|8,0.00720819,0.995,6.905,0.349127,5.52804,6.0|233,705
1,705|10,4.30247e-05,0.995,6.905,5.20126,307.207,6.0|233,705
1,705|9,0.000228927,0.995,6.905,-0.0633707,7.71161,6.0|233,705
1,705|12,2.98291e-07,0.995,6.905,-4.84919,621.808,6.0|233,705
1,705|11,5.5854e-05,0.995,6.905,-1.49326,38.9625,6.0|233,705
1,705|1,3.54728,0.995,6.905,-1.10933,0.224653,69.0|233,705
1,705|2,0.741869,0.995,6.905,-0.666187,0.000347071,69.0|233,705
1,555|4,0.00761713,0.995,6.905,-4.86777,0.000934475,6.0|233,555
1,555|3,0.00244246,0.995,6.905,-1.57074,0.0677327,6.0|233,555
1,555|5,0.0137153,0.995,6.905,-3.19799,0.00042926,6.0|233,555
1,555|6,0.0219099,0.995,6.905,3.62039,4.70509,6.0|233,555
1,555|7,1.0298e-05,0.995,6.905,-2.32131,43062.6,6.0|233,555
1,555|8,0.00313293,0.995,6.905,-2.77735,1.35541e-06,6.0|233,555
1,555|9,0.00549312,0.995,6.905,-5.96728,0.0265364,6.0|233,555
1,555|10,0.00198856,0.995,6.905,-2.60253,0.367612,6.0|233,555
1,555|12,2.72918e-05,0.995,6.905,-2.97352,0.000108186,6.0|233,555
1,555|11,2.46285e-05,0.995,6.905,-3.71415,1.24574,6.0|233,555
