rep,id,eta_f,eta_h,eta_L_gap,eta_eta_alpha,eta_m_m4b,mab_virus,run_id
1,411|4,-10.5397,-8.86093e-08,-4.09419e-08,-1.32633,11.4454,70.0|274,411
1,411|3,-7.50168,-1.23243e-08,-1.13702e-07,2.10105,-14.1075,70.0|274,411
1,411|5,-5.83748,-1.05434e-07,2.93944e-08,4.16159,-8.47927,70.0|274,411
1,411|6,-4.76815,4.86836e-09,-5.03084e-08,3.71641,1.86182,70.0|274,411
1,411|8,-19.0158,5.2106e-08,-3.58654e-08,0.0675906,19.4492,70.0|274,411
1,411|7,-12.7665,-6.4861e-09,7.53047e-08,2.47889,14.0839,70.0|274,411
1,411|9,-6.5034,-6.53861e-08,-5.2293e-09,2.34139,-0.0950974,70.0|274,411
1,411|10,-6.73822,2.46569e-09,-3.40885e-08,-3.47653,5.516,70.0|274,411
1,411|12,-9.38721,2.1169e-08,-3.3192e-08,-4.54874,0.660864,70.0|274,411
1,411|11,-8.07869,-6.02968e-08,-2.61658e-08,-1.83536,-12.5961,70.0|274,411
1,411|1,4.81921,-3.43396e-08,2.11129e-08,-4.24652,-5.1358,69.0|274,411
1,411|2,-5.13393,-3.079e-08,5.40872e-08,2.29742,4.17318,69.0|274,411
1,783|3,-4.03283,1.21288e-08,-6.59429e-08,-0.727175,1.84314,6.0|71,783
1,783|4,-4.17045,-8.1398e-08,-8.77642e-08,-1.76483,-1.69301,6.0|71,783
1,783|5,-4.26244,-2.89966e-08,-2.43353e-08,-3.46621,-2.88876,6.0|71,783
1,783|6,-3.59941,-2.36069e-08,2.7227e-09,0.399674,-2.89643,6.0|71,783
1,783|7,-12.6493,-5.77524e-08,2.6752e-08,-0.427923,11.4452,6.0|71,783
1,783|8,-7.40096,-1.12277e-07,1.57791e-08,-1.96469,-1.92232,6.0|71,783
1,783|10,-4.70451,-5.34143e-08,5.74109e-08,-0.224855,0.536396,6.0|71,783
1,783|9,-4.18646,-4.06796e-08,-5.0798e-08,3.79571,-5.17015,6.0|71,783
1,783|12,-12.2081,-6.21712e-08,8.67648e-08,-2.91585,7.57598,6.0|71,783
1,783|11,-11.1382,2.04485e-08,8.95954e-08,2.55646,-4.64542,6.0|71,783
1,783|1,4.02851,6.3227e-08,1.08872e-08,5.82283,5.00353,69.0|71,783
1,783|2,2.16131,3.06924e-08,2.98227e-08,1.56719,-6.15064,69.0|71,783
1,491|10,-10.036,1.09512e-09,-5.3647e-08,-1.40535,3.68911,6.0|99,491
1,491|9,-9.93023,-3.61613e-08,-9.26746e-08,-1.11641,-4.70413,6.0|99,491
1,491|12,-12.5894,1.53252e-08,-4.95431e-08,-0.781922,0.320381,6.0|99,491
1,491|11,-10.8041,-4.15372e-08,1.54234e-08,-5.21333,3.76359,6.0|99,491
1,491|4,-8.23334,1.09546e-08,1.63787e-09,-0.133539,-7.59417,44.0|99,491
1,491|3,-8.68384,-7.82709e-09,-5.78652e-08,-2.83686,1.25809,44.0|99,491
1,491|6,-6.74272,-7.81026e-08,4.93018e-09,-0.00572421,-4.83181,44.0|99,491
1,491|5,-7.59851,8.93108e-08,-4.32638e-08,-0.633708,-0.786477,44.0|99,491
1,491|7,-11.9941,7.42624e-08,-1.20623e-08,-1.16089,8.60178,63.0|99,491
1,491|8,-13.9657,3.41856e-08,-5.34524e-08,0.190199,10.8471,63.0|99,491
1,491|1,-7.41097,-3.79284e-08,-4.56337e-08,1.79762,0.320993,69.0|99,491
1,491|2,-8.16647,8.05984e-08,-1.67456e-08,1.10366,6.64728,69.0|99,491
1,433|4,-9.52449,-1.49861e-08,1.75764e-08,1.73196,4.9046,6.0|99,433
1,433|3,-9.94859,9.9813e-08,6.42058e-08,-0.61342,-13.1358,6.0|99,433
1,433|6,-5.20504,3.93464e-08,8.44533e-09,0.400002,-1.98502,6.0|99,433
1,433|5,-5.24935,8.56538e-08,-3.76763e-08,3.61409,5.07753,6.0|99,433
1,433|8,-11.1101,1.01394e-07,3.70958e-08,-0.21895,9.06956,6.0|99,433
1,433|7,-11.5123,1.20899e-08,8.83781e-08,2.93577,9.08829,6.0|99,433
1,433|10,-8.6136,-2.64433e-09,-1.10533e-07,2.2815,-3.60946,6.0|99,433
1,433|9,-7.70182,-1.19165e-07,3.5724e-08,0.243619,-6.86324,6.0|99,433
1,433|11,-8.78383,2.53371e-08,-5.62157e-08,1.55891,3.30979,6.0|99,433
1,433|12,-9.37588,-5.82534e-08,1.13165e-08,3.80268,2.54884,6.0|99,433
1,433|1,-23.6453,-5.37786e-08,1.13163e-07,-3.39439,-1.84898,69.0|99,433
1,433|2,-2.17334,-2.60987e-08,-4.19809e-08,-1.39119,-6.9461,69.0|99,433
1,297|3,-7.58129,-3.44586e-10,5.67393e-08,-2.21219,-9.34388,6.0|71,297
1,297|4,-6.65085,-1.4181e-07,3.87546e-08,0.216193,3.2285,6.0|71,297
1,297|5,-11.3973,-6.15246e-08,9.08389e-08,-5.23154,10.1119,6.0|71,297
1,297|6,-10.0114,8.48001e-09,-9.11524e-08,0.662474,8.61747,6.0|71,297
1,297|8,-7.47466,-7.74883e-08,7.32576e-08,0.661515,4.47702,6.0|71,297
1,297|7,-11.4259,1.49967e-07,7.44223e-08,0.296486,12.3277,6.0|71,297
