id,f_SAEM,h_SAEM,L_gap_SAEM,eta_alpha_SAEM,m_m4b_SAEM,f_mode,h_mode,L_gap_mode,eta_alpha_mode,m_m4b_mode,mab_virus,run_id
411|4,0.00121736,0.995,6.905,-0.17225,8496.85,0.00140999,0.995,6.905,-1.5886e-05,1.04778,70.0|274,411
411|3,0.000321558,0.995,6.905,0.574118,30792.5,0.00033611,0.995,6.905,-1.38342e-05,1.01771,70.0|274,411
411|5,0.00296042,0.995,6.905,0.175256,4.04128,0.00259971,0.995,6.905,-0.000130935,0.799288,70.0|274,411
411|6,0.00690458,0.995,6.905,0.213946,691.427,0.00619606,0.995,6.905,-0.000188435,0.680659,70.0|274,411
411|8,1.95742e-05,0.995,6.905,-0.566727,3.13285e+07,9.15911e-05,0.995,6.905,-4.93747e-05,22551.9,70.0|274,411
411|7,0.000560188,0.995,6.905,0.532416,339076,7.88835e-05,0.995,6.905,-5.06342e-05,24339.6,70.0|274,411
411|9,0.00127111,0.995,6.905,-0.0367141,12.8868,0.00117699,0.995,6.905,-8.49e-05,0.890921,70.0|274,411
411|10,0.000598707,0.995,6.905,-0.153151,20.0878,0.000533973,0.995,6.905,-5.33916e-05,0.928921,70.0|274,411
411|12,8.106e-05,0.995,6.905,-0.174875,971.686,7.12099e-05,0.995,6.905,-1.55766e-05,0.999777,70.0|274,411
411|11,0.000232842,0.995,6.905,-0.0750168,439.315,0.000204701,0.995,6.905,-1.41814e-05,1.00137,70.0|274,411
411|1,4.98748e+08,0.994999,6.905,0.161528,54277.4,1,0.994999,6.905,2.93181e-07,1,69.0|274,411
411|2,8.64357e+08,0.994999,6.905,-0.561783,395.467,1,0.994999,6.905,-5.63238e-05,1.0004,69.0|274,411
783|3,0.0113652,0.995,6.905,0.41206,37.4629,0.00975984,0.995,6.905,-0.00023269,0.94605,6.0|71,783
783|4,0.0160553,0.995,6.905,0.295476,31.6184,0.0140532,0.995,6.905,-0.000258239,0.918398,6.0|71,783
