rep,id,eta_U,eta_L,eta_alpha
1,411,0.196871,219.998,2.56019
2,411,-1.5096,209.755,2.41524
3,411,10.4191,196.386,2.42307
4,411,7.06688,188.857,2.56885
5,411,10.3929,201.341,2.56379
6,411,-0.537931,187.096,2.54736
7,411,-13.2071,205.913,2.64052
8,411,-3.83597,167.734,2.64984
9,411,-28.6617,182.271,2.52445
10,411,3.84846,220.658,2.75603
1,152,-25.757,10.9704,2.04529
2,152,-10.8243,-7.3092,1.99249
3,152,-12.7166,-7.37982,1.80963
4,152,-8.16757,-26.8845,2.03614
5,152,6.49289,-7.64767,1.70785
6,152,-5.2727,-17.6043,1.05585
7,152,16.7919,9.38361,1.81875
8,152,-11.6342,-6.57114,1.59336
9,152,-22.6594,-7.97831,1.03137
10,152,21.7895,-28.1065,1.58295
1,1056,-5.58427,38.5974,-1.06513
2,1056,-32.4054,11.7291,-1.50789
3,1056,-8.19732,16.2493,-2.64362
4,1056,-11.1891,2.77368,-2.50466
5,1056,21.5533,15.9026,-0.139181
6,1056,-10.1432,-6.68457,-3.15632
7,1056,-0.104327,13.6582,-0.796423
8,1056,11.1813,-9.215,-2.36935
9,1056,-12.8854,-3.02996,0.442744
10,1056,2.93142,11.5609,-1.18069
1,462,-15.9215,-32.5709,-0.868401
2,462,22.5019,-61.5651,-2.99997
3,462,17.6169,-57.3991,-1.06598
4,462,3.92568,-38.1692,-4.41458
5,462,-21.0713,-94.047,0.0236803
6,462,-8.87439,-52.9361,-1.16073
7,462,37.3563,-68.5687,-0.0149988
8,462,3.46054,-62.8116,-5.12009
9,462,6.54362,-78.7428,0.0499291
10,462,4.60562,-68.3083,-2.80241
1,1159,-1.78637,-67.1188,-1.14272
2,1159,-33.5422,-53.0391,-0.318033
3,1159,-10.0359,-46.625,-2.26002
4,1159,21.659,-24.8199,-1.65239
5,1159,-21.5749,-50.9688,-0.867128
6,1159,-12.0089,-56.8504,-1.8868
7,1159,10.901,-57.7008,-2.19448
8,1159,-12.7786,-72.2953,-2.03322
9,1159,1.88665,-31.8495,-4.11329
10,1159,7.50221,-73.6589,0.00745276
1,1197,-8.72091,-58.0667,1.7761
2,1197,-6.51381,-66.2784,1.03743
3,1197,-31.7938,-101.576,1.71302
4,1197,-1.80811,-53.0231,0.926262
5,1197,-15.3281,-60.2265,1.49419
6,1197,20.6326,-78.2519,0.245926
7,1197,-2.21644,-52.4526,1.7521
8,1197,-11.9125,-84.8704,1.02128
9,1197,15.0214,-59.8779,1.1519
10,1197,22.1989,-61.2461,1.32962
