parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
U_pop,120016.00100601,,176.544514817203,0.147100814339216,119670,120362
L_pop,708.382179551458,,38.9526557672712,5.49881926616728,632.036,784.728
alpha_pop,0.200939446002328,,1.52662536392539,759.743989693146,0.0117881,3.42519
omega_U,14.4622238132801,0.0120502463771942,64.0827204062931,443.104194995573,1.21095,172.721
omega_L,93.6605239959013,13.2217504476477,28.3771891580107,30.2979184263933,53.5721,163.748
omega_alpha,2.07671190109117,858.161769777434,1.73153553697969,83.3787072761457,0.613774,7.02658
acc,42.9703375898621,,31.9812600884703,74.4263645161949,13.8419,133.396
bcc,8.43075179875985e-05,,0.0451435081596018,53546.2426568439,6.19543e-07,0.0114726
avc,18370.8728301458,,17407.2033244803,94.7543618935507,4919.16,68607
bvc,2.22044604925031e-16,,0.235992610856326,1.06281623431474e+17,2.18547e-21,2.25598e-11
