parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
U_pop,125944.593094502,,7768.64979746665,6.16830751252456,110718,141171
beta_U_mean_cc_643_5,1.2596109873242e-10,,9135.11577219386,7.25233096894436e+15,-17904.5,17904.5
beta_U_mean_cc_654_75,21522.769042372,,11410.8140923954,53.0174071465009,-842.016,43887.6
beta_U_mean_cc_695_25,-32423.1964227686,,8310.77002673884,25.6321737017352,-48712,-16134.4
beta_U_mean_cc_713_75,-3606.79442937096,,8649.59559787911,239.813933598307,-20559.7,13346.1
beta_U_mean_cc_910_0,-68185.5902149772,,8694.38758468128,12.7510630285217,-85226.3,-51144.9
L_pop,664.594794862735,,19.4686405677868,2.92940009736426,626.437,702.753
beta_L_mean_cc_643_5,-1.87941816166251e-07,,24.0042939299063,12772194299.0444,-47.0476,47.0476
beta_L_mean_cc_654_75,-9.81393628916,,25.4490948478212,259.315875893051,-59.6932,40.0654
beta_L_mean_cc_695_25,30.648214120135,,25.3127216476892,82.5911798595125,-18.9638,80.2602
beta_L_mean_cc_713_75,2.6205103011075e-09,,36.7163952916561,1401116235877.37,-71.9628,71.9628
beta_L_mean_cc_910_0,245.405210478608,,25.5487166786865,10.4108289424089,195.331,295.48
alpha_pop,1.03095554365114,,0.212153716923277,20.578357450015,0.697019,1.52488
beta_alpha_mean_cc_643_5,-22.4112074124199,,nan,nan,nan,nan
beta_alpha_mean_cc_654_75,-0.464794900738059,,0.461266744011327,99.2409218084946,-1.36886,0.439271
beta_alpha_mean_cc_695_25,-18.3445351439878,,nan,nan,nan,nan
beta_alpha_mean_cc_713_75,-20.8033045124574,,nan,nan,nan,nan
beta_alpha_mean_cc_910_0,-4.37747836387425,,29.6773734463166,677.955913871173,-62.5441,53.7891
acc,47.2411486442625,,49.0640695120706,103.858756444589,11.7758,189.518
bcc,2.22044604925031e-16,,0.0663850822471891,2.989718316714e+16,2.70502e-21,1.82268e-11
avc,2.22044604925031e-16,,nan,nan,nan,nan
bvc,0.0836025263023385,,0.0103251725768067,12.3503116873131,0.0658057,0.106212
