parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
U_mean_cc_636.5,118904.99447299,,9096.86633472241,7.65053341538886,101075.46408476,136734.524861221
U_mean_cc_643.5,144695.428246649,,12376.2661265289,8.55332215848053,120438.392375569,168952.464117728
U_mean_cc_654.75,118904.994473213,,nan,0,nan,nan
U_mean_cc_695.25,94084.6726661308,,5594.36855185855,5.94609981979822,83119.9117882446,105049.433544017
U_mean_cc_713.75,122844.451452971,,5580.84068652209,4.5430140478576,111906.204703932,133782.69820201
U_mean_cc_910.0,118904.994472849,,18877.6208025992,15.876221925152,81905.5375859503,155904.451359748
L_mean_cc_636.5,675.126966779318,,19.6615393998089,2.91227285640862,636.591057675077,713.662875883559
L_mean_cc_643.5,643.499046737469,,16.3665258262212,2.54336442442289,611.421245566031,675.576847908907
L_mean_cc_654.75,654.749738374271,,16.2993848178526,2.48940684700748,622.80353116112,686.695945587421
L_mean_cc_695.25,695.237474943783,,16.3597544326042,2.35311746305492,663.172945459959,727.302004427607
L_mean_cc_713.75,675.126966793795,,19.7809872575634,2.92996550730362,636.356944190325,713.896989397265
L_mean_cc_910.0,910.001712670973,,16.2837937837608,1.78942452052818,878.086063323124,941.917362018821
alpha_mean_cc_636.5,0.899472677400458,,0.497215973428677,55.2786077800237,0.359133674336653,2.25278539776123
alpha_mean_cc_643.5,0.682419292724162,,0.620319798986529,90.9000969931936,0.188713895458003,2.46773609305194
alpha_mean_cc_654.75,1.42423037984396e-11,,nan,0,nan,nan
alpha_mean_cc_695.25,4.65734337378937e-09,,nan,0,nan,nan
alpha_mean_cc_713.75,1.97386486233285e-10,,nan,0,nan,nan
alpha_mean_cc_910.0,2.67378559452523,,0.406074649105937,15.1872554754354,1.99525510633974,3.58306533474088
acc,46.0499601834304,,39.9833134006268,86.8259456498152,13.1934,160.732
bcc,2.22044604925031e-16,,0.0557550801691103,2.51098558273617e+16,2.78645e-21,1.76941e-11
avc,15682.6478587208,,nan,nan,nan,nan
bvc,2.22044604925031e-16,,0.0490757882833325,2.2101770182573e+16,2.84769e-21,1.73136e-11
