rep,id,U,L,alpha
1,411,110016,916.768,2.23009
2,411,110006,901.498,2.70065
3,411,110014,876.965,2.16102
4,411,110012,923.008,1.94923
5,411,110019,920.77,2.0889
6,411,110011,904.953,2.47288
7,411,110006,912.751,1.89389
8,411,110007,881.37,2.5476
9,411,109999,923.137,2.09194
10,411,110025,939.736,2.33578
1,152,109991,719.623,0.64659
2,152,110001,683.218,0.830749
3,152,109999,701.152,0.779483
4,152,109993,712.012,0.662831
5,152,110009,701.332,0.511768
6,152,110004,688.2,0.699449
7,152,110011,717.358,0.586956
8,152,110006,704.46,0.705483
9,152,109996,699.555,0.681479
10,152,110019,678.57,0.0848767
1,1056,110008,711.261,-0.453904
2,1056,110015,704.954,-0.56771
3,1056,110006,726.147,-0.915075
4,1056,110004,707.596,-0.690761
5,1056,110000,713.771,-0.303945
6,1056,110001,707.949,-1.20856
7,1056,110009,722.774,-0.519927
8,1056,110011,699.557,-0.748272
9,1056,109999,676.93,-0.413467
10,1056,110018,718.399,-0.48914
1,462,110012,634.534,-0.924091
2,462,110028,652.837,-0.516456
3,462,110001,650.689,-0.275508
4,462,110006,655.736,-1.45289
5,462,109998,612.256,-0.469723
6,462,110001,642.594,-0.653496
7,462,110022,658.519,0.0214507
8,462,110000,657.472,-1.16956
9,462,110018,636.271,-0.693612
10,462,110015,656.424,-0.42324
1,1159,110013,645.634,-1.03786
2,1159,109990,618.481,-0.970915
3,1159,109999,643.23,-0.836489
4,1159,110026,661.441,-1.15397
5,1159,110003,668.319,-0.0964662
6,1159,110001,664.219,-1.1562
7,1159,110010,667.342,-0.990573
8,1159,109995,627.059,-0.928951
9,1159,110014,647.291,-1.08073
10,1159,110007,651.774,-0.680318
1,1197,110008,646.256,0.514679
2,1197,110001,635.908,0.885562
3,1197,109988,604.377,0.38056
4,1197,110013,640.254,0.139298
5,1197,109998,669.235,0.365099
6,1197,110026,632.244,0.759969
7,1197,110008,620.048,0.470628
8,1197,109993,633.696,0.630404
9,1197,110002,621.88,0.568147
10,1197,110025,648.506,0.615161
