parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
U_mean_cc_636.5,122610.37782465,,3796.79540214012,3.09663461568486,115168.795579789,130051.960069512
U_mean_cc_643.5,159668.37325854,,4296.26006811044,2.6907395500008,151247.858256826,168088.888260254
U_mean_cc_654.75,155907.082527882,,4313.00142022763,2.76639223202468,147453.755078965,164360.409976798
U_mean_cc_695.25,96485.2246725175,,3028.64769113024,3.138975632186,90549.1842760419,102421.265068993
U_mean_cc_713.75,122610.374626298,,4230.347843281,3.45023645525479,114319.04521139,130901.704041205
U_mean_cc_910.0,60744.8526881778,,1835.59683723522,3.02181461638884,57147.1489970611,64342.5563792945
L_mean_cc_636.5,645.63594627379,,14.5357698014998,2.25138793547529,617.146360975285,674.125531572295
L_mean_cc_643.5,643.492441988823,,14.4815932551561,2.25046827440557,615.109040769959,671.875843207687
L_mean_cc_654.75,645.635946200326,,14.5187751041328,2.24875569422337,617.179669896589,674.092222504063
L_mean_cc_695.25,695.258918088514,,14.3907059821364,2.06983407299557,667.053652651422,723.464183525607
L_mean_cc_713.75,713.745667025913,,14.4002822285421,2.01756492456847,685.521632490758,741.969701561067
L_mean_cc_910.0,910.018497484741,,14.367865514018,1.57885422699982,881.85799854255,938.178996426931
alpha_mean_cc_636.5,0.646954098659037,,0.0754584185054187,11.6636433190274,0.515917993033464,0.811271580800591
alpha_mean_cc_643.5,0.73686095258056,,0.0653855926508543,8.87353203095746,0.619859960025852,0.875946340227049
alpha_mean_cc_654.75,0.580691399589444,,0.0736328148120955,12.6801972380088,0.454229898628457,0.742360867427105
alpha_mean_cc_695.25,0.101510185848018,,0.235118609244914,231.62070612001,0.0135694419885953,0.759376681779513
alpha_mean_cc_713.75,0.0353312687885037,,4213.25993446889,11925017.3541456,4.3448331300984e-05,28.7306443499068
alpha_mean_cc_910.0,0.183344164691186,,0.118741962630552,64.7645169567051,0.0654438162280361,0.513647960399776
acc,40.6332087017236,,28.4627307865869,70.0479526377635,13.6939,120.569
bcc,2.22044604925031e-16,,0.0401100562435121,1.80639634352091e+16,2.94751e-21,1.67273e-11
avc,2.22044604925031e-16,,1408.3290611773,6.34255023513315e+20,5.56803e-22,8.85481e-11
bvc,0.0425354300250752,,0.0153684599661267,36.1309617818998,0.0221689,0.0816125
